# Time-averaged data for fix msd
# TimeStep c_msd[4]
500 0.000379834
600 0.0484018
700 0.166517
800 0.339088
900 0.559818
1000 0.82107
1100 1.11876
1200 1.45235
1300 1.80264
1400 2.17037
1500 2.54989
1600 2.93632
1700 3.32885
1800 3.72528
1900 4.11945
2000 4.53409
2100 4.95297
2200 5.37924
2300 5.81434
2400 6.25011
2500 6.67096
2600 7.09884
2700 7.53804
2800 8.00161
2900 8.48726
3000 8.96993
3100 9.43853
3200 9.88832
3300 10.332
3400 10.7537
3500 11.1825
3600 11.6214
3700 12.0543
3800 12.4935
3900 12.9241
4000 13.3767
4100 13.8416
4200 14.2968
4300 14.7543
4400 15.2346
4500 15.7075
4600 16.17
4700 16.6226
4800 17.0815
4900 17.4819
5000 17.8866
5100 18.3027
5200 18.6866
5300 19.0964
5400 19.5039
5500 19.9157
5600 20.2767
5700 20.6671
5800 21.0457
5900 21.4472
6000 21.8189
6100 22.1872
6200 22.5651
6300 22.9217
6400 23.2804
6500 23.6671
6600 24.0611
6700 24.4531
6800 24.838
6900 25.2491
7000 25.6584
7100 26.0505
7200 26.4556
7300 26.8507
7400 27.2452
7500 27.6435
7600 28.0252
7700 28.3788
7800 28.7325
7900 29.0759
8000 29.4148
8100 29.75
8200 30.115
8300 30.4522
8400 30.7763
8500 31.1202
8600 31.4902
8700 31.8283
8800 32.1762
8900 32.5133
9000 32.8948
9100 33.2722
9200 33.6534
9300 34.0034
9400 34.3581
9500 34.6876
9600 35.0286
9700 35.3818
9800 35.7033
9900 36.0403
10000 36.3429
10100 36.6412
10200 36.9827
10300 37.3105
10400 37.5999
10500 37.9253
10600 38.2664
10700 38.6089
10800 38.9561
10900 39.3034
11000 39.6505
11100 39.9985
11200 40.3729
11300 40.7345
11400 41.0852
11500 41.4115
11600 41.7113
11700 42.0127
11800 42.3155
11900 42.6709
12000 42.9911
12100 43.3231
12200 43.6856
12300 44.0395
12400 44.353
12500 44.6622
12600 44.9518
12700 45.2251
12800 45.4867
12900 45.7662
13000 46.0421
13100 46.3351
13200 46.6114
13300 46.9193
13400 47.2556
13500 47.5525
13600 47.8237
13700 48.087
13800 48.38
13900 48.6924
14000 48.9635
14100 49.1747
14200 49.3637
14300 49.5598
14400 49.7787
14500 50.0277
14600 50.2971
14700 50.5644
14800 50.7978
14900 51.0665
15000 51.319
15100 51.6026
15200 51.8239
15300 52.1075
15400 52.4105
15500 52.6641
15600 52.9446
15700 53.195
15800 53.47
15900 53.735
16000 54.0036
16100 54.2528
16200 54.4967
16300 54.7644
16400 55.0415
16500 55.2835
16600 55.5136
16700 55.7202
16800 55.9502
16900 56.1986
17000 56.4237
17100 56.6494
17200 56.9264
17300 57.1804
17400 57.3915
17500 57.5944
17600 57.776
17700 57.9344
17800 58.1072
17900 58.3063
18000 58.4986
18100 58.7098
18200 58.9242
18300 59.1546
18400 59.3911
18500 59.6541
18600 59.8908
18700 60.1315
18800 60.3282
18900 60.5231
19000 60.6952
19100 60.8564
19200 61.0349
19300 61.2105
19400 61.3387
19500 61.5289
19600 61.6806
19700 61.8741
19800 62.044
19900 62.1937
20000 62.3887
20100 62.5588
20200 62.6932
20300 62.8535
20400 62.9807
20500 63.123
20600 63.2804
20700 63.4793
20800 63.6647
20900 63.8463
21000 63.9675
21100 64.1371
21200 64.3029
21300 64.487
21400 64.6696
21500 64.8497
21600 64.9732
21700 65.1008
21800 65.2097
21900 65.3059
22000 65.4387
22100 65.4979
22200 65.5884
22300 65.6491
22400 65.717
22500 65.8313
22600 65.8989
22700 66.0169
22800 66.1669
22900 66.2972
23000 66.426
23100 66.5647
23200 66.6649
23300 66.7735
23400 66.8496
23500 66.9046
23600 66.9766
23700 67.0595
23800 67.1312
23900 67.2128
24000 67.324
24100 67.4458
24200 67.526
24300 67.5901
24400 67.674
24500 67.7947
24600 67.9176
24700 68.0119
24800 68.1481
24900 68.3247
25000 68.4235
25100 68.5471
25200 68.6347
25300 68.7172
25400 68.8012
25500 68.9066
25600 69.045
25700 69.128
25800 69.2077
25900 69.2978
26000 69.4114
26100 69.5198
26200 69.5892
26300 69.6878
26400 69.7412
26500 69.839
26600 69.941
26700 70.0406
26800 70.1461
26900 70.2598
27000 70.3628
27100 70.4894
27200 70.6106
27300 70.7173
27400 70.8132
27500 70.9197
27600 70.9594
27700 71.024
27800 71.1475
27900 71.2578
28000 71.3979
28100 71.5189
28200 71.6261
28300 71.7792
28400 71.9329
28500 72.0291
28600 72.1588
28700 72.2631
28800 72.3108
28900 72.3869
29000 72.4031
29100 72.4464
29200 72.5391
29300 72.5716
29400 72.6422
29500 72.7133
29600 72.7917
29700 72.887
29800 72.9476
29900 73.0232
30000 73.0853
30100 73.1553
30200 73.2583
30300 73.3335
30400 73.367
30500 73.4143
30600 73.4056
30700 73.4011
30800 73.4353
30900 73.4475
31000 73.4724
31100 73.5042
31200 73.5702
31300 73.6532
31400 73.6713
31500 73.6995
31600 73.6883
31700 73.7566
31800 73.8497
31900 73.9493
32000 73.9765
32100 74.0021
32200 74.0607
32300 74.1086
32400 74.1961
32500 74.3064
32600 74.4103
32700 74.5321
32800 74.6268
32900 74.7174
33000 74.7891
33100 74.9024
33200 74.9855
33300 75.0862
33400 75.1735
33500 75.2993
33600 75.4035
33700 75.513
33800 75.5596
33900 75.6487
34000 75.7123
34100 75.7829
34200 75.8342
34300 75.8832
34400 75.9154
34500 75.9463
34600 75.9701
34700 76.0244
34800 76.1286
34900 76.1648
35000 76.1699
35100 76.2278
35200 76.2862
35300 76.2906
35400 76.3007
35500 76.3354
35600 76.4008
35700 76.4073
35800 76.4295
35900 76.5295
36000 76.5888
36100 76.6859
36200 76.7803
36300 76.9187
36400 77.0062
36500 77.0434
36600 77.1337
36700 77.17
36800 77.2092
36900 77.2624
37000 77.3168
37100 77.3537
37200 77.3815
37300 77.3922
37400 77.4205
37500 77.4534
37600 77.5046
37700 77.4963
37800 77.5502
37900 77.5497
38000 77.5229
38100 77.5632
38200 77.6368
38300 77.6632
38400 77.6725
38500 77.7325
38600 77.7699
38700 77.8476
38800 77.8654
38900 77.9294
39000 77.9885
39100 78.0112
39200 78.0575
39300 78.1032
39400 78.1673
39500 78.2742
39600 78.3422
39700 78.4379
39800 78.5074
39900 78.5454
40000 78.6138
40100 78.6813
40200 78.7052
40300 78.7304
40400 78.8211
40500 78.8953
40600 78.9243
40700 78.9674
40800 79.0131
40900 79.0727
41000 79.1076
41100 79.1221
41200 79.1448
41300 79.1609
41400 79.1876
41500 79.1981
41600 79.2055
41700 79.2305
41800 79.2075
41900 79.1897
42000 79.1791
42100 79.1316
42200 79.1285
42300 79.1249
42400 79.1295
42500 79.0783
42600 79.048
42700 78.9985
42800 78.9731
42900 78.9445
43000 78.9838
43100 78.9449
43200 78.9516
43300 78.9218
43400 78.9105
43500 78.9173
43600 78.935
43700 78.9405
43800 78.9072
43900 78.9058
44000 78.8588
44100 78.8607
44200 78.8487
44300 78.8437
44400 78.8889
44500 78.9113
44600 78.9248
44700 78.9271
44800 78.9972
44900 79.0085
45000 79.0603
45100 79.109
45200 79.1079
45300 79.1206
45400 79.1744
45500 79.1914
45600 79.2034
45700 79.2616
45800 79.3338
45900 79.3953
46000 79.4316
46100 79.4878
46200 79.5391
46300 79.5696
46400 79.5736
46500 79.6028
46600 79.6367
46700 79.67
46800 79.7138
46900 79.7254
47000 79.763
47100 79.8163
47200 79.8276
47300 79.9038
47400 79.9341
47500 79.9781
47600 79.992
47700 80.02
47800 80.0941
47900 80.1498
48000 80.1868
48100 80.2643
48200 80.2815
48300 80.287
48400 80.305
48500 80.3555
48600 80.4259
48700 80.534
48800 80.5725
48900 80.6655
49000 80.7346
49100 80.8002
49200 80.8893
49300 80.995
49400 81.0846
49500 81.1495
49600 81.2008
49700 81.2407
49800 81.2543
49900 81.2895
50000 81.2499
50100 81.2267
50200 81.2655
50300 81.2801
50400 81.2838
50500 81.2637
50600 81.2819
50700 81.2679
50800 81.2845
50900 81.2834
51000 81.3009
51100 81.2414
51200 81.2512
51300 81.2078
51400 81.1865
51500 81.1981
51600 81.2108
51700 81.2063
51800 81.2295
51900 81.2871
52000 81.3388
52100 81.4027
52200 81.4508
52300 81.534
52400 81.6115
52500 81.6959
52600 81.7718
52700 81.8242
52800 81.8735
52900 81.9267
53000 81.9877
53100 82.0646
53200 82.1223
53300 82.2008
53400 82.227
53500 82.28
53600 82.3234
53700 82.3386
53800 82.3616
53900 82.4315
54000 82.4424
54100 82.5318
54200 82.6027
54300 82.6529
54400 82.6634
54500 82.6875
54600 82.6847
54700 82.7256
54800 82.7318
54900 82.7454
55000 82.7901
55100 82.8385
55200 82.9077
55300 82.947
55400 83.0132
55500 83.0398
55600 83.0698
55700 83.1221
55800 83.1788
55900 83.2311
56000 83.202
56100 83.2066
56200 83.2087
56300 83.1704
56400 83.1661
56500 83.1499
56600 83.1917
56700 83.2069
56800 83.2489
56900 83.3168
57000 83.3456
57100 83.346
57200 83.3705
57300 83.3928
57400 83.459
57500 83.4865
57600 83.5624
57700 83.646
57800 83.7707
57900 83.8616
58000 83.9977
58100 84.0418
58200 84.1259
58300 84.1639
58400 84.2627
58500 84.35
58600 84.4162
58700 84.4503
58800 84.4794
58900 84.5281
59000 84.607
59100 84.6273
59200 84.6567
59300 84.6654
59400 84.7534
59500 84.7362
59600 84.8049
59700 84.8367
59800 84.8536
59900 84.9045
60000 84.9427
60100 85.0019
60200 85.0389
60300 85.0578
60400 85.1299
60500 85.2076
60600 85.2814
60700 85.3142
60800 85.3505
60900 85.3941
61000 85.4241
61100 85.472
61200 85.5025
61300 85.5369
61400 85.5912
61500 85.6919
61600 85.7659
61700 85.8093
61800 85.8734
61900 85.9022
62000 85.9149
62100 85.9534
62200 85.9425
62300 85.9589
62400 85.9167
62500 85.8702
62600 85.8764
62700 85.916
62800 85.8824
62900 85.9044
63000 85.9658
63100 85.9955
63200 86.0255
63300 86.0442
63400 86.1115
63500 86.1584
63600 86.2372
63700 86.2659
63800 86.3057
63900 86.3016
64000 86.2522
64100 86.2635
64200 86.2565
64300 86.2551
64400 86.2637
64500 86.2819
64600 86.2549
64700 86.2325
64800 86.2484
64900 86.2326
65000 86.2769
65100 86.2924
65200 86.2694
65300 86.2676
65400 86.2785
65500 86.3321
65600 86.3803
65700 86.4031
65800 86.4276
65900 86.488
66000 86.5172
66100 86.5558
66200 86.598
66300 86.6469
66400 86.7346
66500 86.7832
66600 86.7512
66700 86.7631
66800 86.8402
66900 86.8961
67000 86.9448
67100 87.0061
67200 87.0794
67300 87.0941
67400 87.1363
67500 87.1582
67600 87.1454
67700 87.174
67800 87.1664
67900 87.217
68000 87.2016
68100 87.2285
68200 87.3026
68300 87.3096
68400 87.3185
68500 87.3523
68600 87.3575
68700 87.4018
68800 87.4364
68900 87.5224
69000 87.6171
69100 87.7054
69200 87.6788
69300 87.7013
69400 87.765
69500 87.7763
69600 87.8962
69700 87.9176
69800 87.9189
69900 87.9764
70000 88.044
70100 88.1196
70200 88.17
70300 88.2425
70400 88.3163
70500 88.3827
70600 88.4207
70700 88.451
70800 88.5009
70900 88.5674
71000 88.5298
71100 88.4979
71200 88.5333
71300 88.5616
71400 88.5917
71500 88.5871
71600 88.6073
71700 88.6509
71800 88.6679
71900 88.6704
72000 88.7365
72100 88.8167
72200 88.9064
72300 88.9314
72400 88.9944
72500 89.0341
72600 89.0776
72700 89.1748
72800 89.252
72900 89.3605
73000 89.4219
73100 89.4441
73200 89.4792
73300 89.4727
