# Time-averaged data for fix com
# TimeStep c_com[1] c_com[2] c_com[3]
400 8.36968 8.79313 8.63981
500 8.36968 8.79313 8.63981
600 8.36968 8.79313 8.63981
700 8.36968 8.79313 8.63981
800 8.36968 8.79313 8.63981
900 8.36968 8.79313 8.63981
1000 8.36968 8.79313 8.63981
1100 8.36968 8.79313 8.63981
1200 8.36968 8.79313 8.63981
1300 8.36968 8.79313 8.63981
1400 8.36968 8.79313 8.63981
1500 8.36968 8.79313 8.63981
1600 8.36968 8.79313 8.63981
1700 8.36968 8.79313 8.63981
1800 8.36968 8.79313 8.63981
1900 8.36968 8.79313 8.63981
2000 8.36968 8.79313 8.63981
2100 8.36968 8.79313 8.63981
2200 8.36968 8.79313 8.63981
2300 8.36968 8.79313 8.63981
2400 8.36968 8.79313 8.63981
2500 8.36968 8.79313 8.63981
2600 8.36968 8.79313 8.63981
2700 8.36968 8.79313 8.63981
2800 8.36968 8.79313 8.63981
2900 8.36968 8.79313 8.63981
3000 8.36968 8.79313 8.63981
3100 8.36968 8.79313 8.63981
3200 8.36968 8.79313 8.63981
3300 8.36968 8.79313 8.63981
3400 8.36968 8.79313 8.63981
3500 8.36968 8.79313 8.63981
3600 8.36968 8.79313 8.63981
3700 8.36968 8.79313 8.63981
3800 8.36968 8.79313 8.63981
3900 8.36968 8.79313 8.63981
4000 8.36968 8.79313 8.63981
4100 8.36968 8.79313 8.63981
4200 8.36968 8.79313 8.63981
4300 8.36968 8.79313 8.63981
4400 8.36968 8.79313 8.63981
4500 8.36968 8.79313 8.63981
4600 8.36968 8.79313 8.63981
4700 8.36968 8.79313 8.63981
4800 8.36968 8.79313 8.63981
4900 8.36968 8.79313 8.63981
5000 8.36968 8.79313 8.63981
5100 8.36968 8.79313 8.63981
5200 8.36968 8.79313 8.63981
5300 8.36968 8.79313 8.63981
5400 8.36968 8.79313 8.63981
5500 8.36968 8.79313 8.63981
5600 8.36968 8.79313 8.63981
5700 8.36968 8.79313 8.63981
5800 8.36968 8.79313 8.63981
5900 8.36968 8.79313 8.63981
6000 8.36968 8.79313 8.63981
6100 8.36968 8.79313 8.63981
6200 8.36968 8.79313 8.63981
6300 8.36968 8.79313 8.63981
6400 8.36968 8.79313 8.63981
6500 8.36968 8.79313 8.63981
6600 8.36968 8.79313 8.63981
6700 8.36968 8.79313 8.63981
6800 8.36968 8.79313 8.63981
6900 8.36968 8.79313 8.63981
7000 8.36968 8.79313 8.63981
7100 8.36968 8.79313 8.63981
7200 8.36968 8.79313 8.63981
7300 8.36968 8.79313 8.63981
7400 8.36968 8.79313 8.63981
7500 8.36968 8.79313 8.63981
7600 8.36968 8.79313 8.63981
7700 8.36968 8.79313 8.63981
7800 8.36968 8.79313 8.63981
7900 8.36968 8.79313 8.63981
8000 8.36968 8.79313 8.63981
8100 8.36968 8.79313 8.63981
8200 8.36968 8.79313 8.63981
8300 8.36968 8.79313 8.63981
8400 8.36968 8.79313 8.63981
8500 8.36968 8.79313 8.63981
8600 8.36968 8.79313 8.63981
8700 8.36968 8.79313 8.63981
8800 8.36968 8.79313 8.63981
8900 8.36968 8.79313 8.63981
9000 8.36968 8.79313 8.63981
9100 8.36968 8.79313 8.63981
9200 8.36968 8.79313 8.63981
9300 8.36968 8.79313 8.63981
9400 8.36968 8.79313 8.63981
9500 8.36968 8.79313 8.63981
9600 8.36968 8.79313 8.63981
9700 8.36968 8.79313 8.63981
9800 8.36968 8.79313 8.63981
9900 8.36968 8.79313 8.63981
10000 8.36968 8.79313 8.63981
10100 8.36968 8.79313 8.63981
10200 8.36968 8.79313 8.63981
10300 8.36968 8.79313 8.63981
10400 8.36968 8.79313 8.63981
10500 8.36968 8.79313 8.63981
10600 8.36968 8.79313 8.63981
10700 8.36968 8.79313 8.63981
10800 8.36968 8.79313 8.63981
10900 8.36968 8.79313 8.63981
11000 8.36968 8.79313 8.63981
11100 8.36968 8.79313 8.63981
11200 8.36968 8.79313 8.63981
11300 8.36968 8.79313 8.63981
11400 8.36968 8.79313 8.63981
11500 8.36968 8.79313 8.63981
11600 8.36968 8.79313 8.63981
11700 8.36968 8.79313 8.63981
11800 8.36968 8.79313 8.63981
11900 8.36968 8.79313 8.63981
12000 8.36968 8.79313 8.63981
12100 8.36968 8.79313 8.63981
12200 8.36968 8.79313 8.63981
12300 8.36968 8.79313 8.63981
12400 8.36968 8.79313 8.63981
12500 8.36968 8.79313 8.63981
12600 8.36968 8.79313 8.63981
12700 8.36968 8.79313 8.63981
12800 8.36968 8.79313 8.63981
12900 8.36968 8.79313 8.63981
13000 8.36968 8.79313 8.63981
13100 8.36968 8.79313 8.63981
13200 8.36968 8.79313 8.63981
13300 8.36968 8.79313 8.63981
13400 8.36968 8.79313 8.63981
13500 8.36968 8.79313 8.63981
13600 8.36968 8.79313 8.63981
13700 8.36968 8.79313 8.63981
13800 8.36968 8.79313 8.63981
13900 8.36968 8.79313 8.63981
14000 8.36968 8.79313 8.63981
14100 8.36968 8.79313 8.63981
14200 8.36968 8.79313 8.63981
14300 8.36968 8.79313 8.63981
14400 8.36968 8.79313 8.63981
14500 8.36968 8.79313 8.63981
14600 8.36968 8.79313 8.63981
14700 8.36968 8.79313 8.63981
14800 8.36968 8.79313 8.63981
14900 8.36968 8.79313 8.63981
15000 8.36968 8.79313 8.63981
15100 8.36968 8.79313 8.63981
15200 8.36968 8.79313 8.63981
15300 8.36968 8.79313 8.63981
15400 8.36968 8.79313 8.63981
15500 8.36968 8.79313 8.63981
15600 8.36968 8.79313 8.63981
15700 8.36968 8.79313 8.63981
15800 8.36968 8.79313 8.63981
15900 8.36968 8.79313 8.63981
16000 8.36968 8.79313 8.63981
16100 8.36968 8.79313 8.63981
16200 8.36968 8.79313 8.63981
16300 8.36968 8.79313 8.63981
16400 8.36968 8.79313 8.63981
16500 8.36968 8.79313 8.63981
16600 8.36968 8.79313 8.63981
16700 8.36968 8.79313 8.63981
16800 8.36968 8.79313 8.63981
16900 8.36968 8.79313 8.63981
17000 8.36968 8.79313 8.63981
17100 8.36968 8.79313 8.63981
17200 8.36968 8.79313 8.63981
17300 8.36968 8.79313 8.63981
17400 8.36968 8.79313 8.63981
17500 8.36968 8.79313 8.63981
17600 8.36968 8.79313 8.63981
17700 8.36968 8.79313 8.63981
17800 8.36968 8.79313 8.63981
17900 8.36968 8.79313 8.63981
18000 8.36968 8.79313 8.63981
18100 8.36968 8.79313 8.63981
18200 8.36968 8.79313 8.63981
18300 8.36968 8.79313 8.63981
18400 8.36968 8.79313 8.63981
18500 8.36968 8.79313 8.63981
18600 8.36968 8.79313 8.63981
18700 8.36968 8.79313 8.63981
18800 8.36968 8.79313 8.63981
18900 8.36968 8.79313 8.63981
19000 8.36968 8.79313 8.63981
19100 8.36968 8.79313 8.63981
19200 8.36968 8.79313 8.63981
19300 8.36968 8.79313 8.63981
19400 8.36968 8.79313 8.63981
19500 8.36968 8.79313 8.63981
19600 8.36968 8.79313 8.63981
19700 8.36968 8.79313 8.63981
19800 8.36968 8.79313 8.63981
19900 8.36968 8.79313 8.63981
20000 8.36968 8.79313 8.63981
