# Time-averaged data for fix msd
# TimeStep c_msd[4]
200 0.036936
300 0.32286
400 0.821724
500 1.47445
600 2.31505
700 3.4416
800 4.85519
900 6.30877
1000 7.6708
1100 9.13315
1200 10.6603
1300 12.1247
1400 13.4719
1500 14.9204
1600 16.4579
1700 17.9493
1800 19.4775
1900 21.2625
2000 23.1983
2100 25.0454
2200 26.8829
2300 28.6925
2400 30.4902
2500 32.1927
2600 33.8863
2700 35.0663
2800 36.2694
2900 37.9415
3000 39.6662
3100 41.2011
3200 42.4154
3300 43.3238
3400 44.635
3500 45.7956
3600 46.8564
3700 47.3434
3800 47.8037
3900 49.0609
4000 50.6533
4100 53.007
4200 54.9303
4300 56.8451
4400 58.8424
4500 60.8164
4600 62.8152
4700 65.2549
4800 67.7203
4900 69.7648
5000 71.3762
5100 73.6742
5200 76.5165
5300 79.6433
5400 82.7473
5500 85.7431
5600 88.5582
5700 90.9057
5800 92.8627
5900 94.657
6000 95.7817
6100 96.7114
6200 98.1692
6300 100.28
6400 102.541
6500 104.633
6600 106.451
6700 108.154
6800 110.191
6900 113.241
7000 116.415
7100 119.816
7200 123.81
7300 127.152
7400 129.78
7500 132.161
7600 134.281
7700 136.587
7800 138.315
7900 140.124
8000 142.213
8100 143.791
8200 144.544
8300 144.794
8400 145.493
8500 146.404
8600 147.641
8700 149.414
8800 150.373
8900 151.396
9000 152.493
9100 153.521
9200 153.994
9300 154.547
9400 155.036
9500 156.149
9600 157.527
9700 158.941
9800 160.508
9900 161.885
10000 163.784
10100 166.382
10200 168.618
10300 171.165
10400 173.931
10500 176.559
10600 179.376
10700 182.252
10800 185.382
10900 188.311
11000 191.56
11100 196.141
11200 200.999
11300 205.613
11400 210.078
11500 214.278
11600 218.06
11700 222.204
11800 226.665
11900 229.533
12000 232.226
12100 234.102
12200 235.932
12300 237.892
12400 239.805
12500 241.063
12600 242.769
12700 245.467
12800 248.163
12900 250.927
13000 253.892
13100 255.927
13200 257.075
13300 258.629
13400 261.559
13500 264.824
13600 267.367
13700 268.651
13800 270.302
13900 273.496
14000 276.58
14100 280.659
14200 284.527
14300 289.36
14400 294.289
14500 298.855
14600 302.742
14700 307.688
14800 312.176
14900 316.71
15000 321.021
15100 325.49
15200 329.6
15300 332.601
15400 336.497
15500 340.062
15600 343.163
15700 347.157
15800 350.524
15900 353.136
16000 356.19
16100 358.283
16200 360.921
16300 365.048
16400 368.737
16500 372.8
16600 376.607
16700 379.397
16800 382.752
16900 385.539
17000 387.915
17100 389.922
17200 392.127
17300 394.809
17400 397.08
17500 397.15
17600 398.266
17700 399.271
17800 400.814
17900 403.801
18000 406.744
18100 408.358
18200 410.75
18300 414.74
18400 418.657
18500 423.358
18600 427.179
18700 431.374
18800 435.218
18900 440.417
19000 445.19
19100 449.465
19200 453.264
19300 456.364
19400 458.88
19500 461.632
19600 463.538
19700 465.282
19800 468.684
19900 473.269
20000 476.415
20100 477.797
20200 480.588
20300 484.253
20400 488.113
20500 491.214
20600 493.517
20700 494.264
20800 494.087
20900 494.707
21000 496.524
21100 498.288
21200 498.7
21300 500.8
21400 503.748
21500 505.897
21600 507.906
21700 507.717
21800 507.784
21900 510.541
22000 514.828
