# Time-averaged data for fix msd
# TimeStep c_msd[4]
100 0.147759
200 0.584531
300 1.31932
400 2.2843
500 3.43914
600 4.60862
700 5.77793
800 6.91696
900 8.01119
1000 8.96594
1100 9.74348
1200 10.3246
1300 10.9988
1400 11.837
1500 12.812
1600 14.0097
1700 15.3626
1800 16.8085
1900 18.3914
2000 20.3108
2100 22.3364
2200 24.2124
2300 26.0985
2400 27.8638
2500 29.3731
2600 30.91
2700 32.4157
2800 34.1549
2900 35.6036
3000 36.7967
3100 37.6522
3200 38.7619
3300 39.7748
3400 40.9758
3500 42.5753
3600 44.2587
3700 45.9019
3800 47.5606
3900 49.3118
4000 51.0364
4100 53.1856
4200 54.7835
4300 56.3486
4400 57.9334
4500 59.2662
4600 60.4916
4700 61.8483
4800 63.4364
4900 65.1024
5000 67.007
5100 68.7181
5200 69.8458
5300 70.705
5400 71.4923
5500 72.0048
5600 72.0349
5700 72.9981
5800 74.146
5900 75.2097
6000 76.888
6100 79.0634
6200 80.7338
6300 82.6067
6400 84.2939
6500 85.9747
6600 87.9375
6700 90.3055
6800 93.0401
6900 96.6226
7000 100.47
7100 104.143
7200 106.936
7300 109.857
7400 113.084
7500 116.143
7600 119.038
7700 122.012
7800 123.959
7900 125.696
8000 127.354
8100 128.964
8200 130.055
8300 131.027
8400 132.177
8500 133.567
8600 135.418
8700 137.207
8800 138.919
8900 139.55
9000 139.4
9100 139.448
9200 139.671
9300 140.615
9400 141.745
9500 143.167
9600 143.614
9700 144.173
9800 144.769
9900 145.363
10000 146.398
10100 147.447
10200 148.231
10300 149.788
10400 151.597
10500 153.639
10600 155.844
10700 158.145
10800 160.936
10900 163.446
11000 165.897
11100 168.157
11200 170.889
11300 173.894
11400 176.897
11500 179.386
11600 181.656
11700 184.338
11800 187.665
11900 190.549
12000 193.438
12100 196.044
12200 197.86
12300 198.746
12400 198.979
12500 199.437
12600 200.506
12700 201.712
12800 202.741
12900 204.643
13000 206.324
13100 208.392
13200 210.159
13300 212.494
13400 214.022
13500 215.159
13600 217.152
13700 219.848
13800 223.572
13900 226.382
14000 228.22
14100 230.656
14200 230.69
14300 230.401
14400 231.04
14500 232.003
14600 232.609
14700 233.293
14800 233.277
14900 232.334
15000 232.732
15100 233.51
15200 233.101
15300 233.195
15400 233.874
15500 234.544
15600 234.783
15700 235.422
15800 236.124
15900 235.925
16000 235.154
16100 234.054
16200 233.416
16300 232.719
16400 232.734
16500 232.607
16600 232.634
16700 232.566
16800 232.574
16900 232.782
17000 234.13
17100 235.479
17200 236.798
17300 236.863
17400 236.384
17500 235.773
17600 235.168
17700 234.79
17800 234.732
17900 235.373
18000 236.555
18100 238.68
18200 240.368
18300 240.961
18400 241.876
18500 243.182
18600 244.999
18700 247.278
18800 249.793
18900 251.473
19000 253.138
19100 254.839
19200 256.605
19300 258.647
19400 260.954
19500 262.559
19600 265.192
19700 267.652
19800 269.492
19900 270.856
20000 272.624
20100 274.007
20200 275.521
20300 276.934
20400 277.853
20500 278.32
20600 279.671
20700 280.2
20800 281.785
20900 283.66
21000 284.828
21100 285.945
21200 286.798
21300 288.943
21400 290.231
21500 290.816
21600 290.504
