# Time-averaged data for fix msd
# TimeStep c_msd[4]
100 0.147996
200 0.589227
300 1.30174
400 2.19796
500 3.09213
600 4.12127
700 5.25793
800 6.37713
900 7.55948
1000 9.03884
1100 10.7542
1200 12.5278
1300 14.2601
1400 15.9095
1500 17.3142
1600 18.5958
1700 19.5962
1800 20.4987
1900 21.6588
2000 23.2725
2100 24.8173
2200 26.7349
2300 28.7548
2400 30.7296
2500 32.7307
2600 34.5819
2700 36.8262
2800 38.901
2900 40.974
3000 43.1771
3100 45.4737
3200 47.0322
3300 48.3897
3400 49.717
3500 51.0001
3600 52.4243
3700 53.7337
3800 55.3016
3900 56.5531
4000 58.5259
4100 60.5085
4200 62.65
4300 64.638
4400 66.7372
4500 68.5775
4600 70.529
4700 71.6074
4800 72.9497
4900 75.0884
5000 77.3429
5100 79.728
5200 81.9534
5300 83.443
5400 84.1427
5500 85.1431
5600 86.5425
5700 88.0895
5800 89.0488
5900 90.3173
6000 91.9632
6100 93.7912
6200 95.5254
6300 97.6149
6400 99.8021
6500 101.688
6600 103.007
6700 104.232
6800 104.847
6900 105.786
7000 106.873
7100 107.665
7200 108.656
7300 109.716
7400 110.803
7500 112.192
7600 113.667
7700 114.585
7800 115.666
7900 117.052
8000 118.393
8100 120.328
8200 122.382
8300 123.981
8400 125.423
8500 127.362
8600 130.102
8700 133.003
8800 136.379
8900 140.409
9000 144.252
9100 147.414
9200 150.277
9300 152.983
9400 156.529
9500 159.731
9600 162.35
9700 165.326
9800 167.887
9900 170.515
10000 173.222
10100 176.161
10200 179.495
10300 183.456
10400 186.65
10500 188.604
10600 190.341
10700 193.276
10800 196.17
10900 198.366
11000 199.771
11100 201.54
11200 203.878
11300 206.627
11400 209.839
11500 213.767
11600 216.788
11700 219.917
11800 222.737
11900 224.198
12000 225.543
12100 227.104
12200 228.722
12300 229.987
12400 230.66
12500 230.898
12600 231.937
12700 233.295
12800 234.72
12900 236.6
13000 238.642
13100 240.509
13200 241.723
13300 243.38
13400 245.524
13500 247.566
13600 249.25
13700 250.976
13800 252.631
13900 255.412
14000 258.491
14100 261.084
14200 264.112
14300 267.72
14400 271.206
14500 274.435
14600 277.568
14700 280.34
14800 283.319
14900 286.154
15000 287.778
15100 288.716
15200 289.539
15300 290.19
15400 290.858
15500 291.959
15600 292.668
15700 294.485
15800 296.867
15900 298.491
16000 299.955
16100 301.421
16200 302.459
16300 303.315
16400 303.724
16500 304.049
16600 304.72
16700 305.448
16800 306.186
16900 307.316
17000 309.069
17100 311.044
17200 312.472
17300 314.4
17400 316.321
17500 318.35
17600 319.871
17700 321.066
17800 322.848
17900 324.974
18000 327.167
18100 329.548
18200 332.479
18300 335.24
18400 339.388
18500 344.778
18600 349.297
18700 353.506
18800 357.649
18900 360.946
19000 364.322
19100 368.858
19200 372.472
19300 375.59
19400 378.729
19500 382.421
19600 386.256
19700 390.08
19800 392.477
19900 394.914
20000 397.241
20100 399.481
20200 401.798
20300 404.397
20400 407.577
20500 410.108
20600 412.915
20700 417.358
20800 421.842
20900 425.107
21000 427.848
21100 430.708
21200 433.031
21300 435.106
21400 437.267
21500 438.082
21600 438.405
21700 439.609
21800 441.376
21900 443.759
22000 447.071
22100 450.584
22200 454.055
22300 456.138
22400 459.489
22500 463.095
22600 466.177
22700 468.919
22800 471.29
22900 473.506
23000 475.844
23100 476.871
23200 479.548
23300 483.095
23400 486.588
23500 489.831
23600 493.299
23700 497.35
23800 500.471
23900 503.224
24000 505.752
24100 508.069
24200 512.439
24300 517.239
24400 521.932
24500 526.363
24600 531.249
24700 536.849
24800 540.999
24900 544.662
25000 548.159
25100 552.028
25200 554.587
25300 555.184
25400 556.49
25500 559.447
25600 564.25
25700 568.246
25800 570.869
25900 573.738
26000 576.54
26100 578.063
26200 581.002
26300 583.884
26400 586.449
26500 587.723
26600 589.743
26700 592.402
26800 593.96
26900 594.27
27000 595.153
27100 596.365
27200 598.4
27300 601.147
27400 604.782
27500 607.838
27600 610.737
27700 613.864
27800 616.799
27900 619.524
28000 622.755
28100 626.8
28200 631.311
28300 635.931
28400 640.173
28500 643.384
28600 646.204
28700 647.625
28800 648.858
28900 651.665
29000 655.796
29100 659.99
29200 664.68
29300 667.875
29400 671.067
29500 673.94
29600 675.929
29700 676.85
29800 677.511
29900 679.538
30000 683.306
30100 687.495
30200 691.239
30300 693.616
30400 696.353
30500 699.474
30600 702.6
30700 704.425
30800 707.105
30900 710.977
31000 712.783
31100 714.586
31200 715.281
31300 714.632
31400 714.582
31500 713.919
31600 713.393
31700 713.923
31800 714.566
31900 715.736
32000 716.548
32100 717.944
32200 719.472
32300 722.12
32400 724.781
32500 729.689
32600 735.456
32700 740.515
32800 746.053
32900 750.783
33000 754.262
33100 756.498
33200 758.149
33300 759.847
33400 758.838
33500 759.313
33600 761.593
33700 762.898
33800 764.772
33900 766.489
34000 768.036
34100 769.891
34200 773.008
34300 776.665
34400 781.348
34500 786.625
34600 791.671
34700 798.702
34800 805.318
34900 811.38
35000 816.393
35100 820.572
35200 824.607
35300 828.185
35400 832.654
35500 837.585
35600 840.936
35700 843.074
35800 844.794
35900 845.762
36000 847.104
36100 848.993
36200 851.444
36300 854.967
36400 857.889
36500 860.243
36600 862.623
36700 863.769
36800 864.745
36900 866.123
37000 867.744
37100 868.433
37200 869.147
37300 868.534
37400 867.889
37500 867.303
37600 866.164
37700 864.663
37800 862.555
37900 860.295
38000 857.349
38100 855.124
38200 853.762
38300 852.288
38400 851.663
38500 852.247
38600 856.016
38700 860.637
38800 864.576
38900 868.606
39000 872.896
39100 877.36
39200 882.19
39300 888.268
39400 894.019
39500 898.821
39600 902.465
39700 907.244
39800 911.238
39900 914.196
40000 915.075
40100 918.727
40200 921.704
40300 923.857
40400 927.39
40500 930.319
40600 932.602
40700 934.41
40800 938.172
40900 942.963
41000 946.745
41100 951.245
41200 955.315
41300 959.242
41400 960.936
41500 961.79
41600 962.694
41700 963.361
41800 963.822
41900 963.548
42000 963.583
42100 964.359
42200 965.461
42300 966.557
42400 968.205
42500 968.689
42600 970.021
42700 972.04
42800 975.96
42900 978.706
43000 981.588
43100 987.188
43200 992.702
43300 996.887
43400 1002.43
43500 1006.74
43600 1009.72
43700 1012.28
43800 1016.82
43900 1022.51
44000 1027.96
44100 1031.62
44200 1034.46
44300 1037.18
44400 1040.35
44500 1043.28
44600 1047.36
44700 1053.09
44800 1058.99
44900 1064.47
45000 1070.33
45100 1075.96
45200 1082.24
45300 1087.19
45400 1091.27
45500 1095.8
45600 1099.45
45700 1101.86
45800 1104.06
45900 1106.52
46000 1109.62
46100 1113.23
46200 1118.1
46300 1122.37
46400 1125.76
46500 1127.73
46600 1130.81
46700 1133.04
46800 1135.29
46900 1137.57
47000 1139.85
47100 1142.32
47200 1144.86
47300 1147.27
47400 1148.98
47500 1152.97
47600 1157.47
47700 1162.77
47800 1167.39
47900 1170.02
48000 1172.34
48100 1171.49
48200 1168.47
48300 1166.98
48400 1164.9
48500 1163.35
48600 1164.49
48700 1166.23
48800 1169.13
48900 1173.76
49000 1178.3
49100 1183.13
49200 1188.28
49300 1193.68
49400 1198.66
49500 1203.68
49600 1208.39
49700 1212.89
49800 1215.63
49900 1217.03
50000 1219.2
50100 1220.87
50200 1222.19
50300 1223.73
50400 1223.05
50500 1220.47
50600 1217.52
50700 1216.66
50800 1215.92
50900 1216.5
51000 1219.08
51100 1222.36
51200 1225.52
51300 1229.32
51400 1233.05
51500 1233.83
51600 1234.61
51700 1233.87
51800 1235.35
