# Time-averaged data for fix msd
# TimeStep c_msd[4]
1000 1.43421
2000 6.88741
3000 16.3119
4000 28.6576
5000 46.2557
6000 69.1843
7000 92.3586
8000 115.783
9000 141.668
10000 167.568
11000 191.048
12000 211.005
13000 222.368
14000 228.94
15000 238.403
16000 254.897
17000 271.964
18000 293.939
19000 313.223
20000 328.956
21000 344.368
22000 372.178
23000 402.276
24000 426.312
25000 448.429
26000 470.069
27000 491.775
28000 518.841
29000 544.173
30000 566.859
31000 596.68
32000 630.942
33000 673.893
34000 711.337
35000 740.064
36000 758.943
37000 767.236
38000 784.933
39000 805.568
40000 825.241
41000 845.985
42000 867.308
43000 896.092
44000 926.146
45000 958.955
46000 989.494
47000 1020.41
48000 1037.56
49000 1054.24
50000 1075.18
51000 1095.02
52000 1103.45
53000 1110.79
54000 1117.96
55000 1136.12
56000 1153.65
57000 1158.07
58000 1166.44
59000 1186.02
60000 1216.51
61000 1254.18
62000 1283.91
63000 1295.97
64000 1314.08
65000 1340.05
66000 1358.53
67000 1366.29
68000 1374.22
69000 1387.31
70000 1416
71000 1448.36
72000 1473.38
73000 1494.61
74000 1510
75000 1523.42
76000 1537.19
77000 1549.77
78000 1558.77
79000 1582.96
80000 1607.75
81000 1627.93
82000 1649.1
83000 1682.16
84000 1723.57
85000 1771
86000 1817.59
87000 1856.57
88000 1894.5
89000 1927.91
90000 1948.85
91000 1961.68
92000 1976.93
93000 2000.81
94000 2029.64
95000 2065.78
96000 2114.52
97000 2150.84
98000 2173.82
99000 2188.24
100000 2203.9
101000 2244.44
102000 2277.83
103000 2297.06
104000 2327.26
105000 2360.43
106000 2392.49
107000 2424.26
108000 2459.8
109000 2507.98
110000 2544.22
111000 2551.07
112000 2543.01
113000 2553.66
114000 2576.23
115000 2592.63
116000 2613.11
117000 2630.56
118000 2647.44
119000 2681.97
120000 2713.99
121000 2733.83
122000 2751.45
123000 2750.89
124000 2739.71
125000 2705.69
126000 2679.2
127000 2667.12
128000 2660.21
129000 2659.14
130000 2659.08
131000 2659.46
132000 2667.93
133000 2694.23
134000 2729
135000 2754.63
136000 2775.71
137000 2806.16
138000 2828.55
139000 2825.52
140000 2843
141000 2870.19
142000 2898.45
143000 2921.05
144000 2945.61
145000 2975.28
146000 3002.25
147000 3020.04
148000 3039.29
149000 3059.03
150000 3093.81
151000 3123.52
152000 3152.17
153000 3184.75
154000 3204.34
155000 3224.98
156000 3217.74
157000 3223.77
158000 3228.36
159000 3216.12
160000 3211.29
161000 3224.73
162000 3259.01
163000 3299.15
164000 3333.56
165000 3362.75
166000 3396.73
167000 3425.72
168000 3454.38
169000 3474.83
170000 3479.7
171000 3492.09
172000 3479.14
173000 3483.15
174000 3495.72
175000 3519.33
176000 3553.68
177000 3567.8
178000 3574.77
179000 3569.48
180000 3557.08
181000 3539.22
182000 3524.3
183000 3527.66
184000 3535.29
185000 3551.69
186000 3551.48
187000 3564.64
188000 3586.51
189000 3607.9
190000 3621.62
191000 3662.03
192000 3701.56
193000 3737.4
194000 3770.89
195000 3792.17
196000 3820.96
197000 3851.7
198000 3886.5
199000 3915.38
200000 3967.75
201000 4028.93
202000 4066.69
203000 4075.08
204000 4098.31
205000 4126.52
206000 4159.03
207000 4176.51
208000 4202.31
209000 4238.18
210000 4271.03
211000 4303.65
212000 4292.56
213000 4267.11
214000 4259.81
215000 4282.57
216000 4288.31
217000 4298.28
218000 4314.62
219000 4329.73
220000 4348.89
221000 4353.78
222000 4334.92
223000 4319.95
224000 4322.74
225000 4324.61
226000 4339.78
227000 4355.8
228000 4377.95
229000 4377.95
230000 4379.84
231000 4385.25
232000 4379.64
233000 4384.11
234000 4374.67
235000 4377.45
236000 4393.51
237000 4401.4
238000 4415.63
239000 4433.72
240000 4440.81
241000 4451.42
242000 4457.48
243000 4453.66
244000 4460.42
245000 4479.11
246000 4513.45
247000 4553.58
248000 4590.1
249000 4635.93
250000 4640.32
251000 4616.68
252000 4598.03
253000 4620.9
254000 4649.17
255000 4669.83
256000 4683.81
257000 4697.38
258000 4708.15
259000 4696.83
260000 4695.89
261000 4714.04
262000 4737.39
263000 4757.95
264000 4771.79
265000 4789.76
266000 4810.27
267000 4822.02
268000 4800.83
269000 4786.8
270000 4764.01
271000 4738.55
272000 4712.31
273000 4675.96
274000 4646.91
275000 4641.88
276000 4657.47
277000 4661.77
278000 4675.75
279000 4711.2
280000 4739.61
281000 4767.72
282000 4775.12
283000 4777.1
284000 4765.68
285000 4746.79
286000 4745.15
287000 4750.2
288000 4757.13
289000 4765.5
290000 4794.11
291000 4829.28
292000 4845.15
293000 4861.89
294000 4882.44
295000 4914.69
296000 4957.08
297000 4971.48
298000 5023.62
299000 5080.08
300000 5124.07
301000 5145.83
302000 5129.83
303000 5113.27
304000 5099.17
305000 5067.41
306000 5020.56
307000 4991.84
308000 5001.32
309000 5014.49
310000 4999.39
311000 5023.02
312000 5056.4
313000 5089.42
314000 5123.37
315000 5123.63
316000 5132.08
317000 5161.13
318000 5199.67
319000 5239.21
320000 5284.9
321000 5321.69
322000 5342.24
323000 5365.03
324000 5401.42
325000 5421.85
326000 5419.82
327000 5426.5
328000 5447.49
329000 5449.27
330000 5432.46
331000 5407.31
332000 5418.14
333000 5424.7
334000 5421.05
335000 5406.32
336000 5382.78
337000 5362.01
338000 5369.46
339000 5394.18
340000 5400.21
341000 5427.83
342000 5463.46
343000 5506.22
344000 5530.08
345000 5535.53
346000 5535.94
347000 5537.32
348000 5545.71
349000 5560.62
350000 5562.52
351000 5589.74
352000 5619.92
353000 5636.94
354000 5641.59
355000 5643.73
356000 5652.75
357000 5662.59
358000 5659.14
359000 5665.33
360000 5679.4
361000 5687.42
362000 5690.63
363000 5689.2
364000 5676.41
365000 5665.29
366000 5660.59
367000 5672.45
368000 5684.52
369000 5718.97
370000 5744.79
371000 5773.54
372000 5785.01
373000 5768.36
374000 5760.94
375000 5774.96
376000 5803.49
377000 5836.56
378000 5874.84
379000 5903.86
380000 5930.14
381000 5977.44
382000 6025.75
383000 6065.1
384000 6089.48
385000 6121.26
386000 6161.63
387000 6171.79
388000 6185.19
389000 6235.26
390000 6277.07
391000 6296.72
392000 6304.78
393000 6305.29
394000 6331.21
395000 6339.06
396000 6330.02
397000 6314.71
398000 6288.17
399000 6258.14
400000 6221.31
401000 6206.49
402000 6176.94
403000 6150.37
404000 6128.33
405000 6124.84
406000 6125
407000 6121.39
408000 6106.48
409000 6092.18
410000 6108.02
411000 6153.47
412000 6195.88
413000 6214.53
414000 6208.16
415000 6205.28
416000 6240.85
417000 6272.12
418000 6301.73
419000 6336.85
420000 6358.65
421000 6368.53
422000 6378.1
423000 6404.04
424000 6409.64
425000 6413.63
426000 6427.32
427000 6440.9
428000 6442.56
429000 6415.41
430000 6366.57
431000 6331.08
432000 6301.59
433000 6278.2
434000 6266.59
435000 6263.25
436000 6300.95
437000 6349.82
438000 6379.94
439000 6417.42
440000 6460.42
441000 6508.6
442000 6552.69
443000 6592.11
444000 6661.35
445000 6749.74
446000 6807.07
447000 6845.96
448000 6867.66
449000 6874.43
450000 6920.04
451000 6955.45
452000 6966.7
453000 6971.61
454000 6975.45
455000 6990.84
456000 7014.96
457000 7041.59
458000 7038.52
459000 7044.76
460000 7063.51
461000 7116.76
462000 7159.45
463000 7198.47
464000 7205.14
465000 7221.63
466000 7259.16
467000 7304.68
468000 7325.64
469000 7328.03
470000 7332.87
471000 7323.37
472000 7328.72
473000 7332.02
474000 7361.59
475000 7411.54
476000 7476.63
477000 7540.68
478000 7605.33
479000 7660.11
480000 7707.92
481000 7756.47
482000 7786.76
483000 7814.32
484000 7838.73
485000 7880.37
486000 7892.46
487000 7887.19
488000 7881.38
489000 7893.31
490000 7917.32
491000 7953.35
492000 7985.12
493000 8029.12
494000 8093.14
495000 8155.68
496000 8200.77
497000 8236.14
498000 8242.72
499000 8244.85
500000 8241.87
501000 8240.97
502000 8278.58
503000 8330.56
504000 8382.4
505000 8424.47
506000 8486
507000 8548.44
508000 8586.89
509000 8616.29
510000 8605.28
511000 8581.06
512000 8562.07
513000 8540.76
514000 8492.96
515000 8450.2
516000 8403.78
517000 8375.93
518000 8321
519000 8256.87
520000 8226.29
521000 8235.99
522000 8250.05
523000 8253.09
524000 8258.67
525000 8288.18
526000 8317.79
527000 8336.14
528000 8362.69
529000 8397.36
530000 8435.54
531000 8487.73
532000 8538.88
533000 8618.93
534000 8694.97
535000 8770.15
536000 8825.47
537000 8880.09
538000 8941.04
539000 9023.24
540000 9086.07
541000 9109.76
542000 9156.8
543000 9230.96
544000 9281.82
545000 9335.81
546000 9397.07
547000 9422.32
548000 9450.49
549000 9503.03
550000 9570.02
551000 9646.14
552000 9675.35
553000 9695.06
554000 9705.7
555000 9711.72
556000 9748.81
557000 9834.95
558000 9868.11
559000 9903.32
560000 9936.9
561000 9953.63
562000 9956.26
563000 9922.53
564000 9898
565000 9861.64
566000 9845.74
567000 9854.74
568000 9863.14
569000 9857.51
570000 9855.66
571000 9862.38
572000 9872.6
573000 9901.82
574000 9961.29
575000 9992.44
576000 10010.5
577000 10049
578000 10082.7
579000 10117.6
580000 10142.4
581000 10174.5
582000 10202.1
583000 10239.5
584000 10280.7
585000 10318.2
586000 10328.1
587000 10341.2
588000 10359.8
589000 10377.2
590000 10381.4
591000 10399
592000 10441.1
593000 10473.1
594000 10493.2
595000 10478.5
596000 10478.1
597000 10473.8
598000 10504
599000 10558.5
600000 10588.2
601000 10615.5
602000 10616.2
603000 10634.8
604000 10682.2
605000 10707.3
606000 10706.2
607000 10707.7
608000 10708.9
609000 10729.9
610000 10755
611000 10769.5
612000 10763.1
613000 10757.7
614000 10744
615000 10736.6
616000 10747.1
617000 10785.6
618000 10848.6
619000 10934.4
620000 11021.1
621000 11083.4
622000 11170.8
623000 11266.8
624000 11338
625000 11410.7
626000 11490
627000 11517.9
628000 11542.9
629000 11573.8
630000 11652.9
631000 11754.4
632000 11817.6
633000 11879.9
634000 11950
635000 12031.6
636000 12108.5
637000 12146.2
638000 12183.5
639000 12217.1
640000 12249.2
641000 12260.1
642000 12292.4
643000 12336.8
644000 12366.6
645000 12406.3
646000 12471.9
647000 12563.2
648000 12636.3
649000 12719.8
650000 12784
651000 12849.5
652000 12889.2
653000 12950.8
654000 13024.9
655000 13089
656000 13125.4
657000 13164.2
658000 13219.8
659000 13259.3
660000 13282.1
661000 13330.3
662000 13368.4
663000 13417.3
664000 13447
665000 13455.1
666000 13466.3
667000 13473.5
668000 13475.9
669000 13508.5
670000 13553.4
671000 13564.8
672000 13563.3
673000 13549
674000 13527.1
675000 13511.6
676000 13473.3
677000 13473.6
678000 13518.5
679000 13584.8
680000 13645.7
681000 13713.4
682000 13740.5
683000 13785.4
684000 13830.1
685000 13861.4
686000 13870.5
687000 13918.2
688000 13968.2
689000 13997.8
690000 14027.5
691000 14080.1
692000 14132.4
693000 14157.8
694000 14160.7
695000 14174.3
696000 14194.3
697000 14199.9
698000 14234.9
699000 14291.6
700000 14352.8
701000 14385.2
702000 14447.2
703000 14490.3
704000 14530.2
705000 14552.6
706000 14512.4
707000 14439.7
708000 14364.6
709000 14301.5
710000 14274.5
711000 14261.7
712000 14250.1
713000 14244.4
714000 14255.5
715000 14273.5
716000 14336.9
717000 14405.6
718000 14415.5
719000 14460.1
720000 14524.6
721000 14612.8
722000 14666.4
723000 14739.7
724000 14853.4
725000 14961.4
726000 15033.8
727000 15112.6
728000 15156
729000 15207.3
730000 15254.2
731000 15281.1
732000 15300.1
733000 15329.9
734000 15323.1
735000 15289.5
736000 15233.8
737000 15279.5
738000 15356.2
739000 15435.7
740000 15477.3
741000 15503.1
742000 15542.5
743000 15593.4
744000 15582.5
745000 15556.8
746000 15523.6
747000 15465.1
748000 15425.1
749000 15399.6
750000 15409.7
751000 15470.1
752000 15530.3
753000 15564.6
754000 15624.6
755000 15682.8
756000 15727.9
757000 15758.8
758000 15772.3
759000 15758.6
760000 15739.8
761000 15740.5
762000 15717.6
763000 15742.2
764000 15772.4
765000 15810
766000 15853.8
767000 15847.3
768000 15824.7
769000 15792.4
770000 15810.8
771000 15825.6
772000 15857.1
773000 15888.4
774000 15929.2
775000 15919.7
776000 15892.7
777000 15869
778000 15846.9
779000 15870
780000 15924.1
781000 15979.5
782000 16020.1
783000 16072.8
784000 16087.7
785000 16065.4
786000 16065.6
787000 16092.3
788000 16153.2
789000 16198.5
790000 16234.8
791000 16247.3
792000 16268.4
793000 16253.6
794000 16298.4
795000 16358.9
796000 16405.5
797000 16423.8
798000 16455.2
799000 16515.7
800000 16536.5
801000 16519.6
802000 16557.1
803000 16645.4
804000 16747.3
805000 16812.2
806000 16872.1
807000 16925.9
808000 17010.2
809000 17104
810000 17099
811000 17145
812000 17217.7
813000 17258.4
814000 17290.8
815000 17330.9
816000 17387.9
817000 17428
818000 17480.9
819000 17552.6
820000 17578.2
821000 17590.2
822000 17613.7
823000 17635.4
824000 17667.7
825000 17744.2
826000 17832.1
827000 17879.4
828000 17909.7
829000 17989.2
830000 18056.7
831000 18147.5
832000 18238.2
833000 18323.8
834000 18381.1
835000 18393.5
836000 18359.9
837000 18339.5
838000 18401.8
839000 18493.5
840000 18568.5
841000 18651.5
842000 18720.7
843000 18737.5
844000 18753.6
845000 18802.5
846000 18886.8
847000 18919.2
848000 18912.6
849000 18901.1
850000 18888.8
851000 18868.9
852000 18827.4
853000 18792.5
854000 18765.1
855000 18744.3
856000 18747.3
857000 18754.1
858000 18735.6
859000 18748.2
860000 18790.5
861000 18846.1
862000 18907.2
863000 18994
864000 19059.7
865000 19054.7
866000 19091.4
867000 19115.2
868000 19130.2
869000 19131.4
870000 19126
871000 19152.2
872000 19198.5
873000 19237.9
874000 19299.8
875000 19370.3
876000 19363.9
877000 19369.8
878000 19353.2
879000 19333.9
880000 19308.1
881000 19290.5
882000 19307.3
883000 19386.2
884000 19480.1
885000 19581.8
886000 19654.4
887000 19703.9
888000 19775.9
889000 19800.6
890000 19771.1
891000 19749.9
892000 19719.6
893000 19652.4
894000 19607.9
895000 19543.5
896000 19461.4
897000 19398.3
898000 19357.8
899000 19348.1
900000 19381.4
901000 19402.8
902000 19498.5
903000 19593.8
904000 19673
905000 19709.7
906000 19746.2
907000 19801.5
908000 19790
909000 19778.9
910000 19736.2
911000 19740
912000 19736.3
913000 19734.6
914000 19750.9
915000 19750.9
916000 19747.5
917000 19737.6
918000 19768.7
919000 19814.5
920000 19872.2
921000 19925.3
922000 19929.6
923000 19931
924000 19914.1
925000 19889.1
926000 19866
927000 19854.6
928000 19863
929000 19842.7
930000 19792.7
931000 19787.5
932000 19849.5
933000 19898.6
934000 19935.6
935000 19997.4
936000 20042.6
937000 20068.3
938000 20096
939000 20099.3
940000 20089.3
941000 20123.1
942000 20158
943000 20194.3
944000 20262.3
945000 20341.5
946000 20430.2
947000 20521.1
948000 20576.1
949000 20625.6
950000 20683.3
951000 20743.3
952000 20782.5
953000 20809.2
954000 20864.1
955000 20894.5
956000 20925.7
957000 20959.1
958000 20925.6
959000 20892
960000 20857.4
961000 20890.1
962000 20961.6
963000 21045.5
964000 21095.2
965000 21137.3
966000 21158.4
967000 21192.8
968000 21174.8
969000 21147.2
970000 21121.7
971000 21086.7
972000 21047.7
973000 21015.3
974000 21020.7
975000 21020.3
976000 20969.4
977000 20933.7
978000 20906.6
979000 20900.6
980000 20894.6
981000 20892.5
982000 20868.5
983000 20849.8
984000 20846.9
985000 20805.5
986000 20737.5
987000 20643.3
988000 20570.7
989000 20512.2
990000 20530.9
991000 20537.4
992000 20483.9
993000 20458
994000 20504.7
995000 20641.6
996000 20721.7
997000 20782.1
998000 20839.3
999000 20796.7
1000000 20687.9
