# Time-averaged data for fix msd
# TimeStep c_msd[4]
1000 0.592855
2000 1.80956
3000 3.07106
4000 4.67483
5000 6.35633
6000 8.29102
7000 10.056
8000 12.3714
9000 14.4467
10000 17.1892
11000 18.7868
12000 18.2895
13000 19.9853
14000 19.792
15000 20.6913
16000 22.3589
17000 23.4617
18000 24.4403
19000 25.6315
20000 27.0071
21000 28.3477
22000 27.9864
23000 30.0588
24000 29.3265
25000 29.6841
26000 28.3814
27000 29.5899
28000 31.9841
29000 32.8964
30000 33.342
31000 34.519
32000 36.0204
33000 36.9755
34000 37.8261
35000 39.3631
36000 39.4257
37000 40.6318
38000 43.0913
39000 44.5267
40000 47.7701
41000 49.4491
42000 50.4685
43000 52.6279
44000 52.1588
45000 55.3756
46000 59.8235
47000 62.6719
48000 65.7356
49000 68.5948
50000 71.0138
51000 70.2704
52000 71.7503
53000 72.512
54000 74.5509
55000 77.1457
56000 76.0615
57000 77.0419
58000 77.4535
59000 81.2746
60000 84.4818
61000 85.3381
62000 86.8718
63000 84.8003
64000 85.0502
65000 87.9547
66000 90.2419
67000 95.1328
68000 97.1596
69000 101.99
70000 106.063
71000 109.455
72000 111.521
73000 112
74000 114.275
75000 116.502
76000 119.62
77000 121.888
78000 127.061
79000 130.799
80000 130.872
81000 131.16
82000 132.525
83000 134.621
84000 131.723
85000 132.575
86000 133.421
87000 132.475
88000 132.255
89000 132.561
90000 132.661
91000 133.928
92000 137.78
93000 139.929
94000 139.931
95000 138.918
96000 138.263
97000 143.049
98000 143.323
99000 144.897
100000 144.805
101000 144.651
102000 146.852
103000 151.147
104000 152.987
105000 154.359
106000 156.948
107000 160.753
108000 161.126
109000 161.959
110000 162.921
111000 159.902
112000 158.253
113000 158.044
114000 161.163
115000 166.791
116000 167.452
117000 168.195
118000 168.754
119000 171.34
120000 173.855
121000 174.556
122000 176.929
123000 181.235
124000 184.846
125000 186.488
126000 185.947
127000 186.066
128000 189.726
129000 192.489
130000 192.652
131000 194.649
132000 197.1
133000 200.062
134000 202.328
135000 205.766
136000 207.35
137000 204.151
138000 206.257
139000 207.244
140000 206.78
141000 204.911
142000 204.088
143000 202.88
144000 202.703
145000 206.252
146000 210.722
147000 211.726
148000 216.886
149000 216.863
150000 218.815
151000 218.019
152000 217.167
153000 216.324
154000 217.173
155000 218.909
156000 217.897
157000 225.24
158000 232.066
159000 235.738
160000 244.197
161000 245.692
162000 244.096
163000 241.427
164000 241.249
165000 241.762
166000 243.675
167000 242.636
168000 242.745
169000 244.419
170000 243.41
171000 245.902
172000 250.253
173000 254.26
174000 256.312
175000 258.161
176000 259.687
177000 263.482
178000 261.337
179000 271.949
180000 274.381
181000 273.48
182000 275.42
183000 273.433
184000 272.973
185000 275.954
186000 276.72
187000 277.261
188000 278.493
189000 282.076
190000 288.634
191000 292.055
192000 291.968
193000 293.365
194000 292.423
195000 292.876
196000 298.88
197000 296.333
198000 296.829
199000 300.121
200000 303.383
201000 301.118
202000 307.356
203000 308.048
204000 307.801
205000 309.276
206000 311.509
207000 310.462
208000 311.304
209000 313.695
210000 318.842
211000 317.114
212000 315.344
213000 314.021
214000 311.543
215000 310.375
216000 308.235
217000 309.939
218000 312.389
219000 310.117
220000 309.383
221000 310.233
222000 314.035
223000 312.997
224000 313.297
225000 313.567
226000 321.108
227000 327.102
228000 329.814
229000 330.799
230000 328.006
231000 335.127
232000 338.023
233000 335.392
234000 339.596
235000 339.325
236000 342.5
237000 338.986
238000 338.523
239000 343.527
240000 346.932
241000 351.836
242000 352.968
243000 360.684
244000 364.804
245000 366.493
246000 358.74
247000 361.113
248000 371.52
249000 368.192
250000 366.422
251000 365.916
252000 365.524
253000 365.536
254000 363.631
255000 364.191
256000 371.127
257000 372.095
258000 373.988
259000 371.451
260000 371.446
261000 370.268
262000 375.52
263000 374.648
264000 378.374
265000 379.962
266000 382.434
267000 387.278
268000 389.864
269000 387.702
270000 388.436
271000 386.998
272000 391.245
273000 397.162
274000 403.782
275000 401.471
276000 399.122
277000 401.669
278000 405.278
279000 411.024
280000 413.637
281000 416.572
282000 420.257
283000 424.289
284000 426.972
285000 432.556
286000 430.861
287000 431.498
288000 436.312
289000 443.613
290000 445.723
291000 442.167
292000 434.108
293000 430.9
294000 436.279
295000 441.893
296000 448.951
297000 452.487
298000 452.595
299000 455.532
300000 460.565
301000 467.184
302000 468.715
303000 469.997
304000 466.978
305000 463.324
306000 465.215
307000 454.075
308000 455.527
309000 459.186
310000 459.081
311000 457.548
312000 456.549
313000 461.816
314000 467.056
315000 477.424
316000 488.031
317000 492.906
318000 496.249
319000 502.674
320000 501.076
321000 503.851
322000 506.4
323000 508.562
324000 512.715
325000 517.628
326000 523.646
327000 530.145
328000 531.169
329000 534.204
330000 535.695
331000 541.435
332000 544.863
333000 539.424
334000 542.215
335000 545.77
336000 549.116
337000 551.809
338000 550.103
339000 556.252
340000 561.352
341000 558.37
342000 561.98
343000 557.785
344000 559.791
345000 557.109
346000 564.831
347000 572.264
348000 569.27
349000 576.002
350000 572.614
351000 575.714
352000 574.24
353000 578.883
354000 581.139
355000 578.513
356000 581.133
357000 583.132
358000 584.946
359000 585.806
