# Time-averaged data for fix msd
# TimeStep c_msd[4]
1000 1.37286
2000 4.66059
3000 7.83788
4000 11.1249
5000 13.9719
6000 17.595
7000 20.6227
8000 25.2152
9000 29.9875
10000 33.8643
11000 38.2044
12000 40.5906
13000 42.3589
14000 43.6842
15000 47.2764
16000 52.619
17000 56.1436
18000 60.3303
19000 63.6198
20000 68.7805
21000 72.7602
22000 77.7914
23000 83.7896
24000 89.548
25000 92.9015
26000 93.5703
27000 95.9825
28000 99.9505
29000 104.662
30000 110.496
31000 116.843
32000 123.47
33000 129.07
34000 131.988
35000 137.975
36000 141.812
37000 145.89
38000 152.255
39000 155.998
40000 159.406
41000 167.588
42000 177.074
43000 187.712
44000 197.797
45000 204.129
46000 206.212
47000 210.774
48000 215.11
49000 226.541
50000 230.599
51000 230.036
52000 229.861
53000 233.787
54000 234.889
55000 243.523
56000 252.878
57000 261.688
58000 264.861
59000 269.862
60000 278.011
61000 284.226
62000 291.181
63000 295.193
64000 302.571
65000 305.257
66000 307.515
67000 307.913
68000 312.389
69000 319.497
70000 326.525
71000 329.278
72000 333.68
73000 339.538
74000 354.605
75000 362.784
76000 366.741
77000 371.032
78000 382.352
79000 397.706
80000 414.794
81000 424.097
82000 423.72
83000 427.508
84000 433.146
85000 429.943
86000 427.662
87000 424.91
88000 427.432
89000 435.621
90000 438.125
91000 435.453
92000 434.72
93000 437.668
94000 440.497
95000 442.225
96000 441.948
97000 444.052
98000 447.585
99000 462.207
100000 470.393
101000 473.319
102000 469.736
103000 469.87
104000 473.731
105000 483.65
106000 490.218
107000 492.103
108000 493.118
109000 502.783
110000 507.911
111000 507.734
112000 512.718
113000 519.82
114000 525.333
115000 521.498
116000 521.395
117000 528.169
118000 532.606
119000 534.567
120000 539.528
121000 546.895
122000 553.337
123000 562.722
124000 563.399
125000 563.231
126000 564.015
127000 573.52
128000 577.491
129000 572.701
130000 572.976
131000 580.366
132000 584.628
133000 589.248
134000 590.889
135000 593.406
136000 601.582
137000 604.889
138000 606.907
139000 608.142
140000 613.566
141000 614.906
142000 613.695
143000 615.994
144000 616.718
145000 617.058
146000 620.894
147000 629.558
148000 630.096
149000 627.929
150000 629.551
151000 631.731
152000 629.186
153000 640.079
154000 646.147
155000 654.677
156000 654.402
157000 666.036
158000 676.96
159000 680.605
160000 679.127
161000 681.179
162000 691.558
163000 698.703
164000 698.193
165000 694.88
166000 698.969
167000 695.943
168000 692.44
169000 696.873
170000 704.157
171000 709.395
172000 716.697
173000 725.002
174000 736.369
175000 740.529
176000 747.593
177000 757.183
178000 760.369
179000 764.915
180000 769.039
181000 771.819
182000 769.638
183000 780.792
184000 783.097
185000 786.058
186000 767.517
187000 768.188
188000 774.102
189000 767.234
190000 767.262
191000 771.227
192000 772.679
193000 782.813
194000 793.125
195000 801.592
196000 811.492
197000 815.068
198000 812.608
199000 809.239
200000 813.062
201000 824.735
202000 834.957
203000 841.571
204000 848.668
205000 853.707
206000 865.107
207000 869.487
208000 873.839
209000 880.011
210000 887.017
211000 887.961
212000 882.723
213000 887.426
214000 893.508
215000 903.255
216000 915.78
217000 930.869
218000 941.573
219000 954.642
220000 968.971
221000 977.183
222000 982.327
223000 981.632
224000 976.539
225000 974.533
226000 980.644
227000 988.215
228000 987.796
229000 983.819
230000 979.065
231000 974.836
232000 971.931
233000 965.219
234000 968.333
235000 973.299
236000 974.117
237000 981.247
238000 986.015
239000 972.988
240000 963.347
241000 961.041
242000 967.589
243000 972.207
244000 983.456
245000 989.143
246000 1009.03
247000 1026.65
248000 1030.82
249000 1041.29
250000 1058.33
251000 1078.29
252000 1092.01
253000 1099.99
254000 1105.66
255000 1118.16
256000 1124.86
257000 1124.57
258000 1122.93
259000 1123.21
260000 1123.15
261000 1128.31
262000 1141.57
263000 1144.96
264000 1161.06
265000 1178.75
266000 1176.15
267000 1174.35
268000 1174.14
269000 1181.54
270000 1192.62
271000 1213.42
272000 1224.62
273000 1228.23
274000 1241.72
275000 1260.78
276000 1271.2
277000 1281.25
278000 1272.56
279000 1266.18
280000 1263.22
281000 1257.83
282000 1255.63
283000 1250.85
284000 1256.12
285000 1263.33
286000 1281.44
287000 1280.69
288000 1280.51
289000 1278.31
290000 1281.2
291000 1290.21
292000 1311.56
293000 1335.82
294000 1352.12
295000 1351.82
296000 1356.82
297000 1370.16
298000 1378.59
299000 1398.9
300000 1416.16
301000 1439.22
302000 1447.55
303000 1445.21
304000 1451.4
305000 1458.56
306000 1468.71
307000 1475.03
