# Time-averaged data for fix avgcoord
# TimeStep c_ac50 c_ac75 c_ac100 c_ac125
10000 0 0.08 2.6 6.88
20000 0 0.12 3.2 7
30000 0 0.44 3.08 6.36
40000 0 0.16 2.24 6.52
50000 0 0.12 2.72 6.32
60000 0 0.24 2.68 6.68
70000 0 0.36 2.88 7.2
80000 0 0.12 2.72 6.56
90000 0 0.12 2.44 6.28
100000 0 0.16 2.64 6.36
110000 0 0.12 2.52 6.8
120000 0 0.08 2.6 6.84
130000 0 0.28 2.76 6.48
140000 0 0.08 2.64 6.6
150000 0 0.12 3.08 6.6
160000 0 0.16 2.4 6.8
170000 0 0.2 2.28 6.4
180000 0 0.12 2.6 6.64
190000 0 0.2 2.72 6.36
200000 0 0.16 2.6 6.72
210000 0 0.24 2.56 6.68
220000 0 0.28 2.72 6.52
230000 0 0.4 2.52 6.84
240000 0 0.08 2.36 6.4
250000 0 0.2 2.52 6.48
260000 0 0.2 2.72 6.84
270000 0 0.28 2.24 6.24
280000 0 0.12 2.6 6.16
290000 0 0.12 2.6 6.4
300000 0 0.16 2.64 6.64
310000 0 0.12 2.68 6.72
320000 0 0.04 2.4 6.44
330000 0 0.04 2.36 6.56
340000 0 0.08 2.52 6.32
350000 0 0.04 2.16 6.36
360000 0 0.2 2.88 6.64
370000 0 0.12 2.4 6.6
380000 0 0.04 2.48 6.64
390000 0 0.16 1.96 6.24
400000 0 0.12 2.64 6.68
410000 0 0.16 2.6 6.04
420000 0 0.08 2.76 6.36
430000 0 0.2 2.44 6.32
440000 0 0.16 2.48 6.56
450000 0 0 3.16 6.68
460000 0 0.08 2.52 6.36
470000 0 0.2 2.72 6.36
480000 0 0.2 2.36 6.24
490000 0 0.04 2.28 6.64
500000 0 0.04 2.72 6.64
510000 0 0.08 2.8 6.52
520000 0 0.08 2.56 6.52
530000 0 0.2 2.6 6.16
540000 0 0 3 6.92
550000 0 0.24 2.88 6.76
560000 0 0.2 2.68 6.24
570000 0 0.28 2.64 6.48
580000 0 0.32 2.48 6.56
590000 0 0.12 3.24 6.88
600000 0 0.12 2.6 6.36
610000 0 0.08 2.6 6.4
620000 0 0.24 2.6 6.64
630000 0 0.24 2.48 6.04
640000 0 0.08 2.64 5.96
650000 0 0.12 2.6 6.64
660000 0 0.04 2.52 6.4
670000 0 0.16 2.64 6.64
680000 0 0.04 2.28 6.44
690000 0 0.2 2 6.52
700000 0 0.04 3.08 6.68
710000 0 0.16 3.04 6.96
720000 0 0.08 2.36 6.48
730000 0 0.08 2.56 6.4
740000 0 0.08 2.36 6.12
750000 0 0.32 2.56 6.6
760000 0 0.16 2.56 6.96
770000 0 0.16 2.48 6.04
780000 0 0.08 2.4 6.12
790000 0 0.04 2.48 7.04
800000 0 0.12 2.64 6.88
810000 0 0.24 2.72 6.36
820000 0 0.24 2.6 6.28
830000 0 0.12 2.4 6.64
840000 0 0.12 2.72 6.12
850000 0 0.08 2.56 6.44
860000 0 0.08 2.72 6.8
870000 0 0.12 2.68 6.4
880000 0 0.12 2.64 6.28
890000 0 0.12 2.56 6.04
900000 0 0.2 2.76 6.2
910000 0 0.04 2.84 6.36
920000 0 0.08 2.16 6.28
930000 0 0.12 2.52 6.4
940000 0 0.2 2.8 6.28
950000 0 0.2 2.96 6.76
960000 0 0.24 2.32 6.4
970000 0 0.12 2.64 6.72
980000 0 0.08 2.64 6.32
990000 0 0.16 2.44 6.56
1000000 0 0.08 2.44 6.12
1010000 0 0.08 2.56 6
1020000 0 0.12 2.72 6.52
1030000 0 0.12 2.16 6.52
1040000 0 0.32 2.96 6.56
1050000 0 0.16 2.84 6.68
1060000 0 0.16 2.28 6.08
1070000 0 0.08 2.92 7
1080000 0 0.12 2.64 6.92
1090000 0 0.16 2.48 6.68
1100000 0 0.08 2.6 6.36
1110000 0 0.2 2.48 6.12
1120000 0 0.16 2.88 6.44
1130000 0 0.12 2.68 6.56
1140000 0 0.16 2.4 6.4
1150000 0 0.2 2.32 6.2
1160000 0 0.2 2.68 6.36
