# Time-averaged data for fix com
# TimeStep c_com[1] c_com[2] c_com[3]
10000 1.75416 2.00551 2.20702
20000 1.75416 2.00551 2.20702
30000 1.75416 2.00551 2.20702
40000 1.75416 2.00551 2.20702
50000 1.75416 2.00551 2.20702
60000 1.75416 2.00551 2.20702
70000 1.75416 2.00551 2.20702
80000 1.75416 2.00551 2.20702
90000 1.75416 2.00551 2.20702
100000 1.75416 2.00551 2.20702
110000 1.75416 2.00551 2.20702
120000 1.75416 2.00551 2.20702
130000 1.75416 2.00551 2.20702
140000 1.75416 2.00551 2.20702
150000 1.75416 2.00551 2.20702
160000 1.75416 2.00551 2.20702
170000 1.75416 2.00551 2.20702
180000 1.75416 2.00551 2.20702
190000 1.75416 2.00551 2.20702
200000 1.75416 2.00551 2.20702
210000 1.75416 2.00551 2.20702
220000 1.75416 2.00551 2.20702
230000 1.75416 2.00551 2.20702
240000 1.75416 2.00551 2.20702
250000 1.75416 2.00551 2.20702
260000 1.75416 2.00551 2.20702
270000 1.75416 2.00551 2.20702
280000 1.75416 2.00551 2.20702
290000 1.75416 2.00551 2.20702
300000 1.75416 2.00551 2.20702
310000 1.75416 2.00551 2.20702
320000 1.75416 2.00551 2.20702
330000 1.75416 2.00551 2.20702
340000 1.75416 2.00551 2.20702
350000 1.75416 2.00551 2.20702
360000 1.75416 2.00551 2.20702
370000 1.75416 2.00551 2.20702
380000 1.75416 2.00551 2.20702
390000 1.75416 2.00551 2.20702
400000 1.75416 2.00551 2.20702
410000 1.75416 2.00551 2.20702
420000 1.75416 2.00551 2.20702
430000 1.75416 2.00551 2.20702
440000 1.75416 2.00551 2.20702
450000 1.75416 2.00551 2.20702
460000 1.75416 2.00551 2.20702
470000 1.75416 2.00551 2.20702
480000 1.75416 2.00551 2.20702
490000 1.75416 2.00551 2.20702
500000 1.75416 2.00551 2.20702
510000 1.75416 2.00551 2.20702
520000 1.75416 2.00551 2.20702
530000 1.75416 2.00551 2.20702
540000 1.75416 2.00551 2.20702
550000 1.75416 2.00551 2.20702
560000 1.75416 2.00551 2.20702
570000 1.75416 2.00551 2.20702
580000 1.75416 2.00551 2.20702
590000 1.75416 2.00551 2.20702
600000 1.75416 2.00551 2.20702
610000 1.75416 2.00551 2.20702
620000 1.75416 2.00551 2.20702
630000 1.75416 2.00551 2.20702
640000 1.75416 2.00551 2.20702
650000 1.75416 2.00551 2.20702
660000 1.75416 2.00551 2.20702
670000 1.75416 2.00551 2.20702
680000 1.75416 2.00551 2.20702
690000 1.75416 2.00551 2.20702
700000 1.75416 2.00551 2.20702
710000 1.75416 2.00551 2.20702
720000 1.75416 2.00551 2.20702
730000 1.75416 2.00551 2.20702
740000 1.75416 2.00551 2.20702
750000 1.75416 2.00551 2.20702
760000 1.75416 2.00551 2.20702
770000 1.75416 2.00551 2.20702
780000 1.75416 2.00551 2.20702
790000 1.75416 2.00551 2.20702
800000 1.75416 2.00551 2.20702
810000 1.75416 2.00551 2.20702
820000 1.75416 2.00551 2.20702
830000 1.75416 2.00551 2.20702
840000 1.75416 2.00551 2.20702
850000 1.75416 2.00551 2.20702
860000 1.75416 2.00551 2.20702
870000 1.75416 2.00551 2.20702
880000 1.75416 2.00551 2.20702
890000 1.75416 2.00551 2.20702
900000 1.75416 2.00551 2.20702
910000 1.75416 2.00551 2.20702
920000 1.75416 2.00551 2.20702
930000 1.75416 2.00551 2.20702
940000 1.75416 2.00551 2.20702
950000 1.75416 2.00551 2.20702
960000 1.75416 2.00551 2.20702
970000 1.75416 2.00551 2.20702
980000 1.75416 2.00551 2.20702
990000 1.75416 2.00551 2.20702
1000000 1.75416 2.00551 2.20702
1010000 1.75416 2.00551 2.20702
1020000 1.75416 2.00551 2.20702
1030000 1.75416 2.00551 2.20702
1040000 1.75416 2.00551 2.20702
1050000 1.75416 2.00551 2.20702
1060000 1.75416 2.00551 2.20702
1070000 1.75416 2.00551 2.20702
1080000 1.75416 2.00551 2.20702
1090000 1.75416 2.00551 2.20702
1100000 1.75416 2.00551 2.20702
1110000 1.75416 2.00551 2.20702
1120000 1.75416 2.00551 2.20702
1130000 1.75416 2.00551 2.20702
