# Time-averaged data for fix msd
# TimeStep c_msd[4]
10000 13.9863
20000 29.6508
30000 39.438
40000 49.5264
50000 66.732
60000 79.1022
70000 93.3111
80000 115.917
90000 135.721
100000 145.708
110000 148.27
120000 169.39
130000 190.081
140000 218.41
150000 229.82
160000 233.989
170000 264.15
180000 270.305
190000 279.905
200000 295.67
210000 307.421
220000 327.488
230000 330.846
240000 365.987
250000 371.939
260000 405.647
270000 430.153
280000 441.346
290000 450.729
300000 472.536
310000 465.225
320000 497.2
330000 506.264
340000 530.949
350000 554.62
360000 599.735
370000 617.577
380000 641.603
390000 632.461
400000 670.007
410000 690.654
420000 660.744
430000 657.32
440000 694.302
450000 724.544
460000 736.072
470000 752.324
480000 766.658
490000 793.572
500000 810.663
510000 822.08
520000 818.947
530000 814.401
540000 831.163
550000 834.08
560000 842.396
570000 852.489
580000 868.729
590000 889.4
600000 878.637
610000 868.289
620000 887.099
630000 878.065
640000 917.489
650000 946.262
660000 940.557
670000 928.398
680000 924.759
690000 906.252
700000 932.604
710000 971.164
720000 985.817
730000 1008.48
740000 1009.46
750000 1000.7
760000 1002.09
770000 990.143
780000 1016.65
790000 1050.02
800000 1072.45
810000 1078.81
820000 1115.03
830000 1098.43
840000 1124.93
850000 1104.88
860000 1132.5
870000 1143.96
880000 1140.73
890000 1120.3
900000 1158.75
910000 1172.93
920000 1169.56
930000 1190.11
940000 1183.33
950000 1134.95
960000 1136.92
970000 1157.85
980000 1152.17
990000 1163.74
1000000 1147.49
1010000 1165.58
1020000 1174.34
1030000 1196.8
1040000 1209.01
1050000 1213.58
1060000 1255.61
1070000 1234.41
1080000 1258.97
1090000 1281.69
1100000 1255.33
1110000 1281.34
1120000 1305.77
1130000 1308.09
1140000 1284.86
1150000 1266.45
1160000 1278.22
1170000 1291.34
1180000 1331.45
1190000 1382.59
1200000 1405.16
1210000 1412.47
1220000 1380.28
1230000 1372.69
1240000 1383.43
1250000 1395.1
1260000 1454.85
1270000 1512.96
1280000 1541.86
1290000 1562.74
1300000 1562.4
1310000 1595.64
1320000 1608.19
1330000 1615.95
1340000 1636.49
1350000 1661.8
1360000 1672.27
1370000 1683.77
1380000 1685.31
1390000 1719.72
1400000 1740.36
1410000 1724.3
1420000 1734.28
1430000 1746.22
1440000 1775.24
1450000 1813.86
1460000 1871.46
1470000 1875.11
1480000 1874.81
1490000 1895.09
1500000 1949.29
1510000 1968.11
1520000 1931.3
1530000 1901.59
1540000 1902.16
1550000 1910.5
1560000 1956.72
1570000 2007.69
1580000 1990.42
1590000 2043.3
1600000 2053.69
1610000 2109.12
1620000 2158.38
1630000 2202.76
1640000 2205.76
1650000 2223.16
1660000 2198.15
1670000 2202.79
1680000 2192.33
1690000 2250.3
1700000 2276.99
1710000 2319.68
1720000 2315.01
1730000 2342.85
1740000 2354.41
1750000 2398.58
1760000 2417.35
1770000 2493.22
1780000 2562.11
1790000 2560.26
1800000 2529.77
1810000 2548.02
1820000 2535.51
1830000 2602.79
1840000 2644.54
1850000 2680.72
1860000 2691.64
1870000 2710.4
1880000 2646.3
1890000 2632.45
1900000 2654.9
1910000 2655.89
1920000 2672.61
1930000 2683.15
1940000 2666.1
1950000 2642.45
1960000 2702.31
1970000 2683.25
1980000 2645.76
1990000 2711.85
2000000 2761.46
2010000 2841.85
2020000 2856.17
2030000 2889
2040000 2887.19
2050000 2919.68
2060000 2913.21
2070000 2938.75
2080000 2975.77
2090000 3040.18
2100000 3008.07
2110000 3061.93
2120000 3024.93
2130000 3035.09
2140000 3038.83
2150000 3091.9
2160000 3111.51
2170000 3180.45
2180000 3192.14
2190000 3188.8
2200000 3224.33
2210000 3200.81
2220000 3183.26
2230000 3117.12
2240000 3151.3
2250000 3160.02
2260000 3178.9
2270000 3160.69
2280000 3228.45
2290000 3187.79
2300000 3181.73
2310000 3136.62
2320000 3071.74
2330000 3150.71
2340000 3137.48
2350000 3203.98
2360000 3209.2
2370000 3268.14
2380000 3291.53
2390000 3405.65
2400000 3477.28
2410000 3498.35
2420000 3477.53
2430000 3556.69
2440000 3557.94
2450000 3542.6
2460000 3597.03
2470000 3598.74
2480000 3632.99
2490000 3660.68
2500000 3733.4
2510000 3747.57
2520000 3736.74
2530000 3818.98
2540000 3813.95
2550000 3771.59
2560000 3845.19
2570000 3844.96
2580000 3845.05
2590000 3874.64
2600000 3821.57
2610000 3781.99
2620000 3782.06
2630000 3848.38
2640000 3901.96
2650000 3908.04
2660000 3828.21
2670000 3801.15
2680000 3809.99
2690000 3792.96
2700000 3793.99
2710000 3781.73
2720000 3786.17
2730000 3800.56
2740000 3749
2750000 3708.41
2760000 3704.8
2770000 3627.88
2780000 3658.2
2790000 3668.49
2800000 3623.12
2810000 3603.4
2820000 3600.85
2830000 3607.82
2840000 3620.65
2850000 3602.24
2860000 3596.92
2870000 3605.27
2880000 3615.82
2890000 3654.75
2900000 3702.59
2910000 3690.41
2920000 3662.48
2930000 3715.07
2940000 3760.35
2950000 3734.04
2960000 3819.65
2970000 3847.96
2980000 3809.07
2990000 3813.19
3000000 3823.67
3010000 3844.82
3020000 3801.2
3030000 3744.67
3040000 3768.36
3050000 3767.72
3060000 3737.71
3070000 3739.24
3080000 3695.03
3090000 3687.47
3100000 3642.26
3110000 3621.75
3120000 3627.32
3130000 3569.12
3140000 3582.65
3150000 3545.26
3160000 3535.97
3170000 3563.27
3180000 3656.75
3190000 3639.68
3200000 3632.28
3210000 3690.95
3220000 3691.96
3230000 3712.7
3240000 3699.61
3250000 3718.51
3260000 3736.88
3270000 3800.58
3280000 3804.94
3290000 3798.88
3300000 3781.11
3310000 3780.32
3320000 3839.36
3330000 3885.99
3340000 3898.92
3350000 3906.03
3360000 3935.09
3370000 3945.5
3380000 3985.45
3390000 4009.7
3400000 4060.26
3410000 4092.98
3420000 4124.49
3430000 4157.25
3440000 4092.11
3450000 4142.34
3460000 4178.92
3470000 4239.5
3480000 4297.42
3490000 4279.89
3500000 4308.61
3510000 4340.09
3520000 4302.4
3530000 4271.67
3540000 4243.39
3550000 4209.8
3560000 4191.79
3570000 4144
3580000 4196.01
3590000 4231.95
3600000 4206.74
3610000 4279.54
3620000 4284.12
3630000 4349.03
3640000 4322.74
3650000 4300.71
3660000 4405.27
3670000 4440.55
3680000 4497.78
3690000 4554.36
3700000 4596
3710000 4681.35
3720000 4739.33
3730000 4758.06
3740000 4813.69
3750000 4781.33
3760000 4774.22
3770000 4717.24
3780000 4710.8
3790000 4665.76
3800000 4756.82
3810000 4754.64
3820000 4799.85
3830000 4829.1
3840000 4817.67
3850000 4766.94
3860000 4735.42
3870000 4712.11
3880000 4718.78
3890000 4853
3900000 4880.57
3910000 4950.54
3920000 4948.66
3930000 4939.51
3940000 4920.58
3950000 5001.17
3960000 4972.52
3970000 5027.94
3980000 5010.12
3990000 5045.06
4000000 5051.96
4010000 5027.16
4020000 4965.6
4030000 4954.86
4040000 4866.13
4050000 4847.52
4060000 4826.93
4070000 4851.47
4080000 4790.64
4090000 4778.89
4100000 4807.25
4110000 4795.01
4120000 4813.21
4130000 4815.65
4140000 4797.65
4150000 4700.88
4160000 4779.52
4170000 4809.74
4180000 4883.88
4190000 4871.96
4200000 4868.16
4210000 4845.47
4220000 4846.72
4230000 4869.84
4240000 4881.38
4250000 4869.78
4260000 4851.82
4270000 4904.42
4280000 4805.85
4290000 4731.56
4300000 4728.82
4310000 4704.33
4320000 4743.96
4330000 4788.84
4340000 4794.56
4350000 4743.68
4360000 4768.29
4370000 4718.18
4380000 4716.22
4390000 4809.32
4400000 4851.85
4410000 4875.38
4420000 4933.16
4430000 4949.04
4440000 4993.32
4450000 4946.49
4460000 4976.07
4470000 4994.3
4480000 5105.2
4490000 5182.81
4500000 5282.65
4510000 5337.82
4520000 5358.21
4530000 5412.96
4540000 5477.75
4550000 5474.52
4560000 5454.83
4570000 5428.16
4580000 5430.35
4590000 5364.65
4600000 5307.83
4610000 5305.47
4620000 5296.13
4630000 5353.29
4640000 5488.55
4650000 5608.72
4660000 5642.49
4670000 5700.26
4680000 5699.87
4690000 5677.97
4700000 5751.13
4710000 5742.9
4720000 5763.94
4730000 5802.07
4740000 5802.59
4750000 5784.29
4760000 5762.67
4770000 5834.31
4780000 5825.5
4790000 5876.75
4800000 5842.18
4810000 5883.75
4820000 5927.47
4830000 5947.67
4840000 5950.83
4850000 5974.51
4860000 5992.1
4870000 5982.9
4880000 5963.92
4890000 5959.53
4900000 6031.75
4910000 6114.65
4920000 6143.78
4930000 6040.35
4940000 6067.44
4950000 6106.78
4960000 6059.15
4970000 6135.82
4980000 6139.21
4990000 6238.97
5000000 6267.02
5010000 6312.72
5020000 6360.3
5030000 6336.19
5040000 6321.29
5050000 6399.76
5060000 6491.32
5070000 6571.44
5080000 6613.05
5090000 6590.22
5100000 6645.02
5110000 6673.53
5120000 6639.21
5130000 6625.38
5140000 6720.51
5150000 6708.59
5160000 6705.72
5170000 6806.05
5180000 6895.87
5190000 6985.73
5200000 6958.21
5210000 6975.72
5220000 6957.09
5230000 6939.5
5240000 6901.58
5250000 6877.11
5260000 6908.92
5270000 6927.27
5280000 6849.07
5290000 6756.83
5300000 6711.98
5310000 6640.71
5320000 6692.08
5330000 6614.9
5340000 6686.58
5350000 6585.08
5360000 6536.95
5370000 6553.85
5380000 6659.16
5390000 6746.95
5400000 6687.12
5410000 6626.98
5420000 6654.73
5430000 6748.36
5440000 6770.96
5450000 6820.94
5460000 6798.59
5470000 6751.5
5480000 6755.25
5490000 6722.51
5500000 6729.89
5510000 6761.93
5520000 6815.37
5530000 6758.81
5540000 6819.4
5550000 6865.69
5560000 6853.53
5570000 6959.46
5580000 7033.8
5590000 7051.67
5600000 7032.32
5610000 7006.1
5620000 7046.34
5630000 7112.29
5640000 7079.41
5650000 7128.22
5660000 7100.59
5670000 7123.44
5680000 7060.05
5690000 7082.62
5700000 7144.89
5710000 7153.62
5720000 7127.11
5730000 7103.67
5740000 7116.53
5750000 7105.6
5760000 7039.14
5770000 6987.51
5780000 7035
5790000 7051.87
5800000 7098.24
5810000 7190.13
5820000 7177.59
5830000 7225.52
5840000 7248.07
5850000 7314.03
5860000 7321.95
5870000 7364.94
5880000 7327.78
5890000 7281.67
5900000 7291.59
5910000 7321.61
5920000 7352.92
5930000 7352.84
5940000 7410.65
5950000 7454.18
5960000 7396.77
5970000 7451.16
5980000 7516.02
5990000 7472.07
6000000 7494.12
6010000 7550.12
6020000 7539.96
6030000 7609.45
6040000 7602.14
6050000 7556.93
6060000 7578.7
6070000 7608.92
6080000 7691.17
6090000 7717.84
6100000 7711.44
6110000 7754.23
6120000 7830.96
6130000 7877.6
6140000 7909.32
6150000 7982.66
6160000 7947.02
6170000 7928.55
6180000 7948.37
6190000 7941.11
6200000 7965.42
6210000 7939.5
6220000 8041.73
6230000 8116.54
6240000 8102.92
6250000 8134.37
6260000 8121.44
6270000 8243.07
6280000 8232.37
6290000 8293.7
6300000 8263.76
6310000 8340.12
6320000 8316.72
6330000 8339.17
6340000 8415.97
6350000 8387.19
6360000 8466.17
6370000 8514.47
6380000 8479.38
6390000 8509.05
6400000 8548.11
6410000 8523.91
6420000 8564.18
6430000 8582.59
6440000 8614.1
6450000 8562.87
6460000 8564.57
6470000 8501.91
6480000 8487.21
6490000 8507.68
6500000 8562.68
6510000 8553.24
6520000 8546.18
6530000 8550.71
6540000 8590.99
6550000 8642.94
6560000 8657.95
6570000 8620.11
6580000 8580.86
6590000 8481.7
6600000 8564.99
6610000 8551.38
6620000 8539.73
6630000 8565.25
6640000 8573.91
6650000 8528.27
6660000 8547.76
6670000 8600.67
6680000 8578.84
6690000 8596.58
6700000 8572.09
6710000 8572.57
6720000 8671.63
6730000 8568.89
6740000 8564.62
6750000 8672.23
6760000 8717.1
6770000 8840.28
6780000 8880.34
6790000 8973.73
6800000 9039.85
6810000 8979.55
6820000 8981.96
6830000 9043.04
6840000 9043.02
6850000 9065.11
6860000 9208.28
6870000 9223.03
6880000 9153.99
6890000 9165.48
6900000 9265.97
6910000 9194.18
6920000 9266.81
6930000 9252.48
6940000 9271.44
6950000 9300.57
6960000 9323.63
6970000 9393.89
6980000 9391.86
6990000 9443.02
7000000 9460.5
7010000 9492.85
7020000 9519.54
7030000 9444.14
7040000 9514.45
7050000 9555.43
7060000 9439.22
7070000 9334.72
7080000 9375.74
7090000 9372.8
7100000 9357.52
7110000 9324.36
7120000 9372.07
7130000 9553.98
7140000 9533.48
7150000 9607.05
7160000 9645.43
7170000 9706.48
7180000 9632.69
7190000 9518.25
7200000 9463.47
7210000 9490.09
7220000 9506.85
7230000 9590.6
7240000 9605.33
7250000 9615.77
7260000 9558.04
7270000 9577.81
7280000 9730.62
7290000 9727.37
7300000 9734.73
7310000 9722
7320000 9664.4
7330000 9548.48
7340000 9591.83
7350000 9683.15
7360000 9659.48
7370000 9727.06
7380000 9738.97
7390000 9707.66
7400000 9714.96
7410000 9742.25
7420000 9748.63
7430000 9731.94
7440000 9785.08
7450000 9877.89
7460000 10002.1
7470000 10054.8
7480000 10051
7490000 9942.36
7500000 9934.79
7510000 9927.72
7520000 10028.9
7530000 10032.5
7540000 9986.91
7550000 10070.8
7560000 10126.7
7570000 10120.1
7580000 10158.2
7590000 10042
7600000 10160.2
7610000 10172.1
7620000 10189.4
7630000 10231.6
7640000 10211
7650000 10225.7
7660000 10194.3
7670000 10183.6
7680000 10208.5
7690000 10278.2
7700000 10272.3
7710000 10312.5
7720000 10455.2
7730000 10421
7740000 10387.6
7750000 10389
7760000 10445.4
7770000 10421.2
7780000 10509.1
7790000 10602
7800000 10652.7
7810000 10643.4
7820000 10693
7830000 10654.3
7840000 10620.3
7850000 10570.4
7860000 10583.4
7870000 10525.6
7880000 10493.5
7890000 10471.8
7900000 10544.1
7910000 10657
7920000 10763.1
7930000 10699.5
7940000 10725
7950000 10731.1
7960000 10767.7
7970000 10686.8
7980000 10599.4
7990000 10628.6
8000000 10569.5
8010000 10607.8
8020000 10659.5
8030000 10538.4
8040000 10547
8050000 10597.3
8060000 10607.3
8070000 10772.7
