# Time-averaged data for fix avgcoord
# TimeStep c_ac50 c_ac75 c_ac100 c_ac125
1000 0 0 2.04 7.12
2000 0 0.04 2.2 7
3000 0 0 2.12 6.88
4000 0 0 2 7.08
5000 0 0 2.16 7.12
6000 0 0 2.44 6.8
7000 0 0 2.16 7.24
8000 0 0 2.12 7.36
9000 0 0 1.68 7.48
10000 0 0 2.76 6.84
11000 0 0 2.36 7.52
12000 0 0 2.08 7.32
13000 0 0 2.4 6.96
14000 0 0 2.4 7.16
15000 0 0 2.36 7
16000 0 0 2.16 7
17000 0 0 2.2 7.28
18000 0 0 2.56 7.2
19000 0 0 2.24 7.4
20000 0 0 1.96 6.92
21000 0 0 2.64 7.24
22000 0 0 2.4 7.2
23000 0 0 2.8 7.12
24000 0 0 2.76 7.36
25000 0 0 2.2 7.52
26000 0 0 2.52 7.2
27000 0 0 2.24 7.12
28000 0 0 2.32 7.72
29000 0 0 2.36 7.48
30000 0 0 2.36 7.4
31000 0 0 2.56 7.08
32000 0 0 2.64 7.44
33000 0 0.04 2.88 7.56
34000 0 0 2.36 7.32
35000 0 0 2.68 7.24
36000 0 0.04 1.8 7.52
37000 0 0 2.32 7.48
38000 0 0 2.4 7.36
39000 0 0 2.24 7.72
40000 0 0 2.6 7.2
41000 0 0 2.8 7.04
42000 0 0 2.12 7.32
43000 0 0 2.16 7.44
44000 0 0.04 2.64 7.24
45000 0 0 2.32 7.36
46000 0 0 2.56 7.24
47000 0 0 2.36 7.16
48000 0 0 2.48 7.28
49000 0 0 2.48 7.48
50000 0 0 2.4 7.08
51000 0 0 2.24 7.24
52000 0 0 2.52 7.48
53000 0 0 2.24 7.16
54000 0 0 2.64 7.28
55000 0 0 2.4 7.48
56000 0 0 2.64 7.48
57000 0 0 2.84 7.44
58000 0 0.04 2 7.44
59000 0 0 2.48 7.08
60000 0 0 2.76 7.2
61000 0 0 2.76 7.32
62000 0 0 2.48 6.96
63000 0 0 2.36 6.92
64000 0 0 2.44 6.92
65000 0 0 2.36 7.56
66000 0 0 2.56 7.56
67000 0 0 2.4 7.44
68000 0 0 2.72 7
69000 0 0 2.44 7
70000 0 0 2.32 6.92
71000 0 0 1.84 7.12
72000 0 0 2.2 7.04
73000 0 0 2 7.28
74000 0 0 2.16 6.8
75000 0 0 2.48 6.92
76000 0 0 1.92 7.36
77000 0 0 2.76 7.2
78000 0 0 2.12 7.04
79000 0 0.04 2.12 7.4
80000 0 0 2.32 7.24
81000 0 0 2.28 7.12
82000 0 0 2 7.16
83000 0 0 2.28 7.32
84000 0 0 2.88 7.68
85000 0 0 2.32 7.52
86000 0 0 2.48 7.32
87000 0 0 2.44 7.24
88000 0 0 1.92 7.12
89000 0 0 2.36 7.04
90000 0 0 2.28 7.4
91000 0 0 2.48 7.28
92000 0 0 2.32 7.4
93000 0 0 2.52 7.28
94000 0 0 2.36 7.36
95000 0 0 2.08 7.44
96000 0 0 2.44 7.88
97000 0 0 2.6 7.52
98000 0 0 2.32 7.24
99000 0 0.04 1.8 7.2
100000 0 0 2.56 7.28
101000 0 0 2.48 7.32
102000 0 0 2.52 7.8
103000 0 0 2.6 7.32
104000 0 0.04 2.28 6.72
105000 0 0 2.36 7.2
106000 0 0.04 2.12 7.12
107000 0 0 2.32 7.04
108000 0 0 2.2 7.76
109000 0 0 2.44 7.28
110000 0 0 2.48 7.2
111000 0 0 1.92 7.08
112000 0 0 2.08 6.88
113000 0 0 2.16 7.04
114000 0 0 2.44 6.8
115000 0 0 2.2 6.84
116000 0 0 2.12 6.88
117000 0 0 2.56 6.92
118000 0 0.04 2.24 7.08
119000 0 0 2.52 7.36
120000 0 0 1.88 7.36
121000 0 0 2.28 7.44
122000 0 0 2.32 7.52
123000 0 0 2.08 7.24
124000 0 0 2.28 7.2
125000 0 0 2.56 7.28
126000 0 0 2.32 7.24
127000 0 0 2.6 7.44
128000 0 0 2.48 7.76
129000 0 0 2.52 7.28
130000 0 0 2.24 7.36
131000 0 0 2.24 7.12
132000 0 0 2.12 7.08
133000 0 0 2.52 7.4
134000 0 0 2.28 7.24
135000 0 0 2.08 7.08
136000 0 0 2.16 7.4
137000 0 0 2 7.32
138000 0 0 2.04 7.2
139000 0 0 2.24 7.08
140000 0 0 2.64 7.2
141000 0 0 2.32 7.28
142000 0 0 2.4 6.84
143000 0 0 2.12 7.04
144000 0 0 2.48 7.48
145000 0 0 2.36 7.04
146000 0 0 2.08 7.16
147000 0 0 1.88 6.76
148000 0 0 2 7.08
149000 0 0 1.96 6.92
150000 0 0 2.48 7.44
151000 0 0 2.2 7.4
152000 0 0 2.44 7.52
153000 0 0.04 1.96 7.4
154000 0 0 2 6.8
155000 0 0 2.76 7.16
156000 0 0 2.12 7.12
157000 0 0 2.2 7
158000 0 0 2.2 7.08
159000 0 0 2.08 7
160000 0 0 2.04 7.4
161000 0 0.04 2.36 7.16
162000 0 0 2.16 7
163000 0 0 2.04 7.12
164000 0 0 2.76 7
165000 0 0 2.16 7.44
166000 0 0 2.44 6.84
167000 0 0 2.76 6.88
168000 0 0 2.44 7
169000 0 0 2.28 7.28
170000 0 0 2.2 7.28
171000 0 0 2.08 7.12
172000 0 0 2.56 7.12
173000 0 0 2.76 7
174000 0 0 2.04 7.04
175000 0 0 2.2 7.4
176000 0 0 2.52 7.32
177000 0 0.04 1.88 7.32
178000 0 0 2.52 6.96
179000 0 0 2.4 7.24
180000 0 0 2.28 7.28
181000 0 0 2.48 7.36
182000 0 0.04 2.04 7.52
183000 0 0 2.52 7.36
184000 0 0.04 2.72 7.36
185000 0 0 2.16 7
186000 0 0 2.24 7.44
187000 0 0 2.36 8
188000 0 0 2.32 7.44
189000 0 0 2.2 6.8
190000 0 0 2.36 7.16
191000 0 0 2.04 7
192000 0 0 2.6 7.08
193000 0 0 2.12 6.96
194000 0 0 2.08 7
195000 0 0 1.92 6.88
196000 0 0 2.44 7.08
197000 0 0 2.32 7.12
198000 0 0 2.04 7
199000 0 0 2.32 7.32
200000 0 0 2.56 6.96
201000 0 0 2.36 7.16
202000 0 0.04 2.48 7.28
203000 0 0 2.8 6.88
204000 0 0.04 2.68 7.44
205000 0 0 2.52 7.32
206000 0 0 2.36 7.08
207000 0 0 2.28 7.36
208000 0 0 2.28 7.2
209000 0 0 2.72 7.12
210000 0 0 2.4 7.4
211000 0 0 1.84 7.28
212000 0 0 2.96 7.36
213000 0 0 2.32 7.88
214000 0 0 2.36 7.08
215000 0 0 2.2 7.24
216000 0 0 2.4 7.4
217000 0 0 2.56 7.2
218000 0 0 2.36 7.48
219000 0 0.04 2.36 7.24
220000 0 0 2.24 7.04
221000 0 0 2.56 7.28
222000 0 0 2.08 6.92
223000 0 0.04 2.2 7.32
224000 0 0 2.56 7.32
225000 0 0 2.48 7.28
226000 0 0 2.48 7.08
227000 0 0 2.24 7.12
228000 0 0 2.56 7.32
229000 0 0 2.36 7.32
230000 0 0 1.96 7.24
231000 0 0 2.32 7.08
232000 0 0 2.2 6.8
233000 0 0 2.4 7.56
234000 0 0.04 2.4 7.28
235000 0 0 2.04 6.96
236000 0 0 2.56 6.72
237000 0 0 2.48 7.16
238000 0 0 2.4 7.2
239000 0 0.04 2.56 7.32
240000 0 0 2.68 7.28
241000 0 0 2.24 7.12
242000 0 0 2.72 7.4
243000 0 0 2.2 7.36
244000 0 0.04 2.52 7.6
245000 0 0 2.68 7.72
246000 0 0 2.24 7.4
247000 0 0 2.48 7.12
248000 0 0 2.4 7.4
249000 0 0 2.16 7.24
250000 0 0 2.44 7.44
251000 0 0 2 7.2
252000 0 0 2.36 7.16
253000 0 0 2.56 7.72
254000 0 0 2.4 7.32
255000 0 0 2.44 7.24
256000 0 0 2.04 7.44
257000 0 0 1.92 7.24
258000 0 0.04 2.6 7.44
259000 0 0.04 2.4 7.32
260000 0 0 2.4 7.4
261000 0 0 2.24 7.28
262000 0 0 2 7.52
263000 0 0 2.36 7.72
264000 0 0 2.24 7.12
265000 0 0 2.24 7.28
266000 0 0 2.56 7.16
267000 0 0.04 2.08 7.4
268000 0 0.04 2.32 7.56
269000 0 0 2.4 6.8
270000 0 0 2.24 7.2
271000 0 0 2.36 7.16
272000 0 0.04 2.64 7.36
273000 0 0 2.48 7.28
274000 0 0 2.6 7.56
275000 0 0 2.2 7.2
276000 0 0 2.4 7.12
277000 0 0 2.2 7.32
278000 0 0 2.48 7.56
279000 0 0 2.56 7.24
280000 0 0 2.6 7.16
281000 0 0 2.16 7.16
282000 0 0 2.6 7.04
283000 0 0 2.92 7.44
284000 0 0 1.92 7
285000 0 0 2.36 7.24
286000 0 0 2.32 7.4
287000 0 0 2.56 7.48
288000 0 0 2.16 7.6
289000 0 0 2.12 7.68
290000 0 0 2.48 7.28
291000 0 0 2.6 7.44
292000 0 0 2.48 7.28
293000 0 0 2.56 7.52
294000 0 0 1.76 7.56
295000 0 0 2.72 6.88
296000 0 0 2.08 7.28
297000 0 0 1.6 7.12
298000 0 0.04 2.2 7.08
299000 0 0 2 7.4
300000 0 0 2.44 7.2
301000 0 0 2.24 7.6
302000 0 0 2.44 7.48
303000 0 0 2.72 7.36
304000 0 0 2.32 7.4
305000 0 0 2.24 7.12
306000 0 0 2.68 7.28
307000 0 0 2.08 7.44
308000 0 0 2.16 7.52
