# Time-averaged data for fix com
# TimeStep c_com[1] c_com[2] c_com[3]
1000 1.66743 1.8776 2.03393
2000 1.66743 1.8776 2.03393
3000 1.66743 1.8776 2.03393
4000 1.66743 1.8776 2.03393
5000 1.66743 1.8776 2.03393
6000 1.66743 1.8776 2.03393
7000 1.66743 1.8776 2.03393
8000 1.66743 1.8776 2.03393
9000 1.66743 1.8776 2.03393
10000 1.66743 1.8776 2.03393
11000 1.66743 1.8776 2.03393
12000 1.66743 1.8776 2.03393
13000 1.66743 1.8776 2.03393
14000 1.66743 1.8776 2.03393
15000 1.66743 1.8776 2.03393
16000 1.66743 1.8776 2.03393
17000 1.66743 1.8776 2.03393
18000 1.66743 1.8776 2.03393
19000 1.66743 1.8776 2.03393
20000 1.66743 1.8776 2.03393
21000 1.66743 1.8776 2.03393
22000 1.66743 1.8776 2.03393
23000 1.66743 1.8776 2.03393
24000 1.66743 1.8776 2.03393
25000 1.66743 1.8776 2.03393
26000 1.66743 1.8776 2.03393
27000 1.66743 1.8776 2.03393
28000 1.66743 1.8776 2.03393
29000 1.66743 1.8776 2.03393
30000 1.66743 1.8776 2.03393
31000 1.66743 1.8776 2.03393
32000 1.66743 1.8776 2.03393
33000 1.66743 1.8776 2.03393
34000 1.66743 1.8776 2.03393
35000 1.66743 1.8776 2.03393
36000 1.66743 1.8776 2.03393
37000 1.66743 1.8776 2.03393
38000 1.66743 1.8776 2.03393
39000 1.66743 1.8776 2.03393
40000 1.66743 1.8776 2.03393
41000 1.66743 1.8776 2.03393
42000 1.66743 1.8776 2.03393
43000 1.66743 1.8776 2.03393
44000 1.66743 1.8776 2.03393
45000 1.66743 1.8776 2.03393
46000 1.66743 1.8776 2.03393
47000 1.66743 1.8776 2.03393
48000 1.66743 1.8776 2.03393
49000 1.66743 1.8776 2.03393
50000 1.66743 1.8776 2.03393
51000 1.66743 1.8776 2.03393
52000 1.66743 1.8776 2.03393
53000 1.66743 1.8776 2.03393
54000 1.66743 1.8776 2.03393
55000 1.66743 1.8776 2.03393
56000 1.66743 1.8776 2.03393
57000 1.66743 1.8776 2.03393
58000 1.66743 1.8776 2.03393
59000 1.66743 1.8776 2.03393
60000 1.66743 1.8776 2.03393
61000 1.66743 1.8776 2.03393
62000 1.66743 1.8776 2.03393
63000 1.66743 1.8776 2.03393
64000 1.66743 1.8776 2.03393
65000 1.66743 1.8776 2.03393
66000 1.66743 1.8776 2.03393
67000 1.66743 1.8776 2.03393
68000 1.66743 1.8776 2.03393
69000 1.66743 1.8776 2.03393
70000 1.66743 1.8776 2.03393
71000 1.66743 1.8776 2.03393
72000 1.66743 1.8776 2.03393
73000 1.66743 1.8776 2.03393
74000 1.66743 1.8776 2.03393
75000 1.66743 1.8776 2.03393
76000 1.66743 1.8776 2.03393
77000 1.66743 1.8776 2.03393
78000 1.66743 1.8776 2.03393
79000 1.66743 1.8776 2.03393
80000 1.66743 1.8776 2.03393
81000 1.66743 1.8776 2.03393
82000 1.66743 1.8776 2.03393
83000 1.66743 1.8776 2.03393
84000 1.66743 1.8776 2.03393
85000 1.66743 1.8776 2.03393
86000 1.66743 1.8776 2.03393
87000 1.66743 1.8776 2.03393
88000 1.66743 1.8776 2.03393
89000 1.66743 1.8776 2.03393
90000 1.66743 1.8776 2.03393
91000 1.66743 1.8776 2.03393
92000 1.66743 1.8776 2.03393
93000 1.66743 1.8776 2.03393
94000 1.66743 1.8776 2.03393
95000 1.66743 1.8776 2.03393
96000 1.66743 1.8776 2.03393
97000 1.66743 1.8776 2.03393
98000 1.66743 1.8776 2.03393
99000 1.66743 1.8776 2.03393
100000 1.66743 1.8776 2.03393
101000 1.66743 1.8776 2.03393
102000 1.66743 1.8776 2.03393
103000 1.66743 1.8776 2.03393
104000 1.66743 1.8776 2.03393
105000 1.66743 1.8776 2.03393
106000 1.66743 1.8776 2.03393
107000 1.66743 1.8776 2.03393
108000 1.66743 1.8776 2.03393
109000 1.66743 1.8776 2.03393
110000 1.66743 1.8776 2.03393
111000 1.66743 1.8776 2.03393
112000 1.66743 1.8776 2.03393
113000 1.66743 1.8776 2.03393
114000 1.66743 1.8776 2.03393
115000 1.66743 1.8776 2.03393
116000 1.66743 1.8776 2.03393
117000 1.66743 1.8776 2.03393
118000 1.66743 1.8776 2.03393
119000 1.66743 1.8776 2.03393
120000 1.66743 1.8776 2.03393
121000 1.66743 1.8776 2.03393
122000 1.66743 1.8776 2.03393
123000 1.66743 1.8776 2.03393
124000 1.66743 1.8776 2.03393
125000 1.66743 1.8776 2.03393
126000 1.66743 1.8776 2.03393
127000 1.66743 1.8776 2.03393
128000 1.66743 1.8776 2.03393
129000 1.66743 1.8776 2.03393
130000 1.66743 1.8776 2.03393
131000 1.66743 1.8776 2.03393
132000 1.66743 1.8776 2.03393
133000 1.66743 1.8776 2.03393
134000 1.66743 1.8776 2.03393
135000 1.66743 1.8776 2.03393
136000 1.66743 1.8776 2.03393
137000 1.66743 1.8776 2.03393
138000 1.66743 1.8776 2.03393
139000 1.66743 1.8776 2.03393
140000 1.66743 1.8776 2.03393
141000 1.66743 1.8776 2.03393
142000 1.66743 1.8776 2.03393
143000 1.66743 1.8776 2.03393
144000 1.66743 1.8776 2.03393
145000 1.66743 1.8776 2.03393
146000 1.66743 1.8776 2.03393
147000 1.66743 1.8776 2.03393
148000 1.66743 1.8776 2.03393
149000 1.66743 1.8776 2.03393
150000 1.66743 1.8776 2.03393
151000 1.66743 1.8776 2.03393
152000 1.66743 1.8776 2.03393
153000 1.66743 1.8776 2.03393
154000 1.66743 1.8776 2.03393
155000 1.66743 1.8776 2.03393
156000 1.66743 1.8776 2.03393
157000 1.66743 1.8776 2.03393
158000 1.66743 1.8776 2.03393
159000 1.66743 1.8776 2.03393
160000 1.66743 1.8776 2.03393
161000 1.66743 1.8776 2.03393
