# Time-averaged data for fix avgcoord
# TimeStep c_ac50 c_ac75 c_ac100 c_ac125
1000 0 0 1.2 7.72
2000 0 0 1.8 7.8
3000 0 0 2.08 8
4000 0 0 1.96 8.16
5000 0 0 1.88 8.32
6000 0 0 1.92 8.32
7000 0 0 2.24 8.48
8000 0 0 1.84 8.32
9000 0 0 2.48 8.4
10000 0 0 2.08 8.16
11000 0 0 2.32 8.56
12000 0 0 2.16 8.32
13000 0 0 2.08 8.4
14000 0 0 2.16 8.48
15000 0 0 1.8 8.4
16000 0 0 2.08 8.44
17000 0 0 1.76 8.52
18000 0 0 2.24 8.44
19000 0 0 2.2 8.52
20000 0 0 2.04 8.44
21000 0 0 2.36 8.6
22000 0 0 2.44 8.44
23000 0 0 1.84 8.48
24000 0 0 2.2 8.48
25000 0 0 2.24 8.44
26000 0 0 2.28 8.56
27000 0 0 2 8.52
28000 0 0 2.04 8.44
29000 0 0 1.76 8.48
30000 0 0 2.24 8.52
31000 0 0 2.36 8.6
32000 0 0 2.24 8.52
33000 0 0 2.28 8.56
34000 0 0 1.96 8.48
35000 0 0 2.32 8.6
36000 0 0 1.8 8.44
37000 0 0 2.32 8.52
38000 0 0 2.32 8.4
39000 0 0 2.24 8.56
40000 0 0 2.12 8.56
41000 0 0 1.76 8.68
42000 0 0 2.2 8.6
43000 0 0 2.44 8.56
44000 0 0 1.96 8.64
45000 0 0 2.16 8.56
46000 0 0 2.28 8.52
47000 0 0 1.96 8.56
48000 0 0 2.08 8.48
49000 0 0 2.32 8.6
50000 0 0 1.84 8.56
51000 0 0 2.36 8.6
52000 0 0 2.04 8.76
53000 0 0 2.52 8.72
54000 0 0 2.4 8.68
55000 0 0 2.4 8.6
56000 0 0 2.2 8.76
57000 0 0 2.16 8.76
58000 0 0 1.8 8.72
59000 0 0 1.96 8.76
60000 0 0 2.2 8.6
61000 0 0 2.08 8.52
62000 0 0 1.64 8.6
63000 0 0 2.2 8.64
64000 0 0 2 8.56
65000 0 0 2.12 8.48
66000 0 0 2.32 8.6
67000 0 0 2.32 8.48
68000 0 0 2.2 8.48
69000 0 0 1.96 8.52
70000 0 0 2.08 8.6
71000 0 0 1.84 8.72
72000 0 0 2.12 8.68
73000 0 0 1.8 8.6
74000 0 0 2.04 8.6
75000 0 0 2.16 8.56
76000 0 0 2.04 8.64
77000 0 0 2.36 8.44
78000 0 0 1.84 8.44
79000 0 0 2.12 8.52
80000 0 0 1.96 8.6
81000 0 0 2.16 8.56
82000 0 0 2.64 8.4
83000 0 0 2.12 8.52
84000 0 0 2.08 8.56
85000 0 0 1.84 8.64
86000 0 0 1.96 8.68
87000 0 0 1.76 8.52
88000 0 0 1.72 8.6
89000 0 0 2.12 8.64
90000 0 0 1.84 8.76
91000 0 0 2.08 8.84
92000 0 0 1.84 8.84
93000 0 0 2.36 8.56
94000 0 0 2.28 8.72
95000 0 0 2.16 8.56
96000 0 0 1.88 8.64
97000 0 0 2.4 8.56
98000 0 0 1.68 8.84
99000 0 0 2.24 8.52
100000 0 0 1.96 8.68
101000 0 0 1.72 8.8
102000 0 0 1.84 8.72
103000 0 0 1.84 8.56
104000 0 0 1.8 8.68
105000 0 0 2.08 8.52
106000 0 0 1.96 8.6
107000 0 0 2.32 8.56
108000 0 0 2 8.72
109000 0 0 2.32 8.72
110000 0 0 2.2 8.68
111000 0 0 2 8.76
112000 0 0 2.16 8.72
113000 0 0 2.56 8.68
114000 0 0 2.2 8.72
115000 0 0 2.12 8.68
116000 0 0 2.48 8.52
117000 0 0 1.88 8.8
118000 0 0 1.76 8.72
119000 0 0 2.36 8.52
120000 0 0 2 8.56
121000 0 0 2.24 8.64
122000 0 0 2.12 8.56
123000 0 0 2.04 8.8
124000 0 0 1.96 8.6
125000 0 0 2.08 8.6
126000 0 0 2.16 8.68
127000 0 0 2.32 8.6
128000 0 0 2.4 8.68
129000 0 0 2.24 8.6
130000 0 0 2.36 8.72
131000 0 0 2.36 8.64
132000 0 0 2.76 8.6
133000 0 0 1.96 8.68
134000 0 0 2.28 8.68
135000 0 0 2.12 8.64
136000 0 0 2 8.56
137000 0 0 1.92 8.72
138000 0 0 2.24 8.72
139000 0 0 1.96 8.6
140000 0 0 2.24 8.76
141000 0 0 2.48 8.52
142000 0 0 2.36 8.56
143000 0 0 2.12 8.8
144000 0 0 2.08 8.84
145000 0 0 2.72 8.72
146000 0 0 2.68 8.68
147000 0 0 2.16 8.64
148000 0 0 2.6 8.64
149000 0 0 2.04 8.8
150000 0 0 1.96 8.68
151000 0 0 2.2 8.84
152000 0 0 2.68 8.8
153000 0 0 2.28 8.88
154000 0 0 2.4 8.76
155000 0 0 2.4 8.68
156000 0 0 2.64 8.64
157000 0 0 1.88 8.88
158000 0 0 2.4 8.64
159000 0 0 2.2 8.68
160000 0 0 2.12 8.68
161000 0 0 2.44 8.84
162000 0 0 2.28 8.72
163000 0 0 2.4 8.76
164000 0 0 2.24 8.6
165000 0 0 2.2 8.6
166000 0 0 2.12 8.56
167000 0 0 1.84 8.8
168000 0 0 2.48 8.84
169000 0 0 2.28 8.68
170000 0 0 2.24 8.6
171000 0 0 2.16 8.76
172000 0 0 2.88 8.6
173000 0 0 2.08 8.72
174000 0 0 2.08 8.48
175000 0 0 2.36 8.8
176000 0 0 2.08 8.56
177000 0 0 2.6 8.56
178000 0 0 2.24 8.64
179000 0 0 2.04 8.64
180000 0 0 2.04 8.72
181000 0 0 2.12 8.68
182000 0 0 2.16 8.68
183000 0 0 1.92 8.84
184000 0 0 2.08 8.76
185000 0 0 2.12 8.68
186000 0 0 2.24 8.56
187000 0 0 1.96 8.64
188000 0 0 2.6 8.56
189000 0 0 2.36 8.68
190000 0 0 2.48 8.56
191000 0 0 2.16 8.56
192000 0 0 2.12 8.68
193000 0 0 2.08 8.56
194000 0 0 2.68 8.64
195000 0 0 2.16 8.68
196000 0 0 2.16 8.68
197000 0 0 2.24 8.76
198000 0 0 2.44 8.64
199000 0 0 2 8.52
200000 0 0 2.24 8.52
201000 0 0 2.48 8.72
202000 0 0 2.24 8.6
203000 0 0 2.28 8.64
204000 0 0 2.48 8.68
205000 0 0 2.28 8.4
206000 0 0 2.12 8.72
207000 0 0 2.16 8.64
208000 0 0 2.12 8.6
209000 0 0 2.56 8.68
210000 0 0 2.72 8.72
211000 0 0 2.32 8.72
212000 0 0 2.2 8.8
213000 0 0 2.16 8.72
214000 0 0 2.24 8.52
215000 0 0 2.36 8.72
216000 0 0 2.32 8.56
217000 0 0 2.28 8.68
218000 0 0 2.24 8.68
219000 0 0 2.24 8.64
220000 0 0 2.48 8.6
221000 0 0 2.28 8.8
222000 0 0 2.16 8.6
223000 0 0 2.12 8.72
224000 0 0 2.48 8.64
225000 0 0 2.88 8.64
226000 0 0 2.24 8.72
227000 0 0 2.04 8.6
228000 0 0 2.08 8.72
229000 0 0 2.48 8.64
230000 0 0 2.28 8.56
231000 0 0 2.44 8.64
232000 0 0 2.4 8.68
233000 0 0 2.24 8.68
234000 0 0 2.32 8.68
235000 0 0 2.72 8.64
236000 0 0 2.4 8.56
237000 0 0 2.16 8.64
238000 0 0 2.28 8.72
239000 0 0 2.4 8.68
240000 0 0 2 8.72
241000 0 0 2.48 8.56
242000 0 0 1.96 8.72
243000 0 0 2.32 8.48
244000 0 0 2.36 8.76
245000 0 0 2.2 8.8
246000 0 0 2.44 8.76
247000 0 0 2.36 8.88
248000 0 0 2.56 8.76
249000 0 0 2.32 8.8
250000 0 0 2.12 8.72
251000 0 0 2.4 8.64
252000 0 0 2.12 8.72
253000 0 0 2.04 8.56
254000 0 0 2.16 8.72
255000 0 0 2.04 8.76
256000 0 0 2.28 8.72
257000 0 0 2.24 8.84
258000 0 0 2.64 8.68
259000 0 0 2.2 8.68
260000 0 0 2.56 8.64
261000 0 0 2.44 8.68
262000 0 0 2.6 8.68
263000 0 0 2.36 8.76
264000 0 0 2.6 8.72
265000 0 0 2.32 8.72
266000 0 0 2 8.76
267000 0 0 2.12 8.72
268000 0 0 2.76 8.56
269000 0 0 2.36 8.68
270000 0 0 2.36 8.76
271000 0 0 2.32 8.68
272000 0 0 2.12 8.56
273000 0 0 2.36 8.72
274000 0 0 2.24 8.64
275000 0 0 2.36 8.68
276000 0 0 2.4 8.72
277000 0 0 2.16 8.8
278000 0 0 2.4 8.8
279000 0 0 1.88 8.76
280000 0 0 2.16 8.84
281000 0 0 2.16 8.64
282000 0 0 2.44 8.76
283000 0 0 2.08 8.84
284000 0 0 2.16 8.72
285000 0 0 2.08 8.8
286000 0 0 2.64 8.68
287000 0 0 2.6 8.72
288000 0 0 2.2 8.76
289000 0 0 2.36 8.84
290000 0 0 2.6 8.76
291000 0 0 2.2 8.8
292000 0 0 2.12 8.68
293000 0 0 2 8.8
294000 0 0 1.88 8.68
295000 0 0 2.4 8.6
296000 0 0 2.48 8.64
297000 0 0 1.92 8.8
298000 0 0 2 8.64
299000 0 0 2.44 8.8
300000 0 0 2.36 8.76
301000 0 0 2.24 8.84
302000 0 0 2.24 8.64
303000 0 0 2.36 8.76
