# Time-averaged data for fix msd
# TimeStep c_msd[4]
1000 0.0938172
2000 0.1494
3000 0.19398
4000 0.227746
5000 0.27506
6000 0.285128
7000 0.31199
8000 0.326836
9000 0.327824
10000 0.350448
11000 0.356756
12000 0.365352
13000 0.381756
14000 0.395856
15000 0.379084
16000 0.336601
17000 0.354434
18000 0.362613
19000 0.377805
20000 0.348657
21000 0.390034
22000 0.377399
23000 0.379618
24000 0.41986
25000 0.429162
26000 0.412233
27000 0.44181
28000 0.47056
29000 0.43695
30000 0.452463
31000 0.450861
32000 0.445423
33000 0.469632
34000 0.457696
35000 0.493227
36000 0.51949
37000 0.493589
38000 0.472127
39000 0.491298
40000 0.481196
41000 0.458385
42000 0.496565
43000 0.497983
44000 0.506146
45000 0.482792
46000 0.526301
47000 0.536921
48000 0.518073
49000 0.513473
50000 0.525368
51000 0.473547
52000 0.535821
53000 0.517641
54000 0.498463
55000 0.483113
56000 0.485295
57000 0.488378
58000 0.524843
59000 0.497221
60000 0.491695
61000 0.528656
62000 0.506092
63000 0.5321
64000 0.506984
65000 0.479663
66000 0.50387
67000 0.542179
68000 0.569167
69000 0.540912
70000 0.541785
71000 0.513464
72000 0.541969
73000 0.492069
74000 0.506508
75000 0.564994
76000 0.551552
77000 0.561349
78000 0.56471
79000 0.569513
80000 0.565989
81000 0.584703
82000 0.56474
83000 0.51842
84000 0.51344
85000 0.518282
86000 0.546175
87000 0.567901
88000 0.5549
89000 0.569887
90000 0.568569
91000 0.512656
92000 0.533801
93000 0.5461
94000 0.542919
95000 0.527069
96000 0.546581
97000 0.541797
98000 0.528187
99000 0.513995
100000 0.517066
101000 0.532517
102000 0.52228
103000 0.550109
104000 0.568287
105000 0.528293
106000 0.54452
107000 0.548806
108000 0.603357
109000 0.563615
110000 0.586548
111000 0.552888
112000 0.571593
113000 0.599553
114000 0.613983
115000 0.576519
116000 0.603781
117000 0.569906
118000 0.567542
119000 0.613333
120000 0.586666
121000 0.564328
122000 0.574706
123000 0.571156
124000 0.603117
125000 0.56943
126000 0.583711
127000 0.555074
128000 0.559074
129000 0.58901
130000 0.578939
131000 0.583295
132000 0.606867
133000 0.589325
134000 0.561062
135000 0.603096
136000 0.579434
137000 0.576663
138000 0.59888
139000 0.628981
140000 0.657815
141000 0.559558
142000 0.617
143000 0.638977
144000 0.613859
145000 0.587977
146000 0.57663
147000 0.610329
148000 0.580129
149000 0.567308
150000 0.593576
151000 0.589056
152000 0.565102
153000 0.591871
154000 0.57452
155000 0.586959
156000 0.605269
157000 0.576204
158000 0.602549
159000 0.566968
160000 0.576742
161000 0.555584
162000 0.610503
163000 0.596476
164000 0.592256
165000 0.605595
166000 0.598228
167000 0.629856
168000 0.572313
169000 0.635922
170000 0.620684
171000 0.593924
172000 0.596606
173000 0.577323
174000 0.612712
175000 0.600953
176000 0.606006
177000 0.586607
178000 0.599972
179000 0.587924
180000 0.59273
181000 0.588784
182000 0.582683
183000 0.577516
184000 0.599112
185000 0.604606
186000 0.6102
187000 0.612238
188000 0.611815
189000 0.626551
190000 0.577115
191000 0.590353
192000 0.630046
193000 0.578149
194000 0.594621
195000 0.6372
196000 0.566841
197000 0.609947
198000 0.609388
199000 0.583446
200000 0.628241
201000 0.62648
202000 0.627893
203000 0.613982
204000 0.60511
205000 0.594019
206000 0.630391
207000 0.625818
208000 0.610942
209000 0.630325
210000 0.631253
211000 0.608434
212000 0.654756
213000 0.667005
214000 0.641958
215000 0.639974
216000 0.681849
217000 0.64466
218000 0.627724
219000 0.648489
220000 0.641349
221000 0.641034
222000 0.640222
223000 0.652497
224000 0.643766
225000 0.63197
226000 0.640688
227000 0.647364
228000 0.645199
229000 0.646608
230000 0.64243
231000 0.629713
232000 0.63602
233000 0.653769
234000 0.655779
235000 0.66257
236000 0.659681
237000 0.682109
238000 0.649238
239000 0.614061
240000 0.712229
241000 0.719937
242000 0.732421
243000 0.716373
244000 0.714864
245000 0.727938
246000 0.726905
247000 0.706003
248000 0.694181
249000 0.724635
250000 0.708712
251000 0.641584
252000 0.688766
253000 0.670997
254000 0.68915
255000 0.682195
256000 0.657593
257000 0.675101
258000 0.642837
259000 0.665285
260000 0.668385
261000 0.661581
262000 0.678494
263000 0.660714
264000 0.673126
265000 0.642078
266000 0.659642
267000 0.66296
268000 0.676468
269000 0.666378
270000 0.661651
271000 0.648794
272000 0.639821
273000 0.675749
274000 0.638575
275000 0.636306
276000 0.609875
277000 0.618437
278000 0.628535
279000 0.660206
280000 0.670082
281000 0.648602
282000 0.645979
283000 0.645138
284000 0.649793
285000 0.653462
286000 0.651634
287000 0.641273
288000 0.66584
289000 0.637997
290000 0.627447
291000 0.65879
292000 0.648782
293000 0.631978
