# Time-averaged data for fix avgcoord
# TimeStep c_ac50 c_ac75 c_ac100 c_ac125
1000 0 0 1.8 8.12
2000 0 0 1.8 8.2
3000 0 0 2.36 8.32
4000 0 0 2.08 8.16
5000 0 0 1.92 8.4
6000 0 0 2.12 8.4
7000 0 0 1.56 8.68
8000 0 0 1.68 8.56
9000 0 0 1.92 8.64
10000 0 0 1.76 8.56
11000 0 0 1.64 8.48
12000 0 0 2.36 8.44
13000 0 0 2.2 8.52
14000 0 0 1.8 8.68
15000 0 0 1.72 8.64
16000 0 0 1.92 8.52
17000 0 0 2.2 8.76
18000 0 0 1.6 8.64
19000 0 0 1.88 8.64
20000 0 0 1.96 8.64
21000 0 0 2.04 8.6
22000 0 0 1.84 8.52
23000 0 0 1.92 8.64
24000 0 0 2.04 8.48
25000 0 0 2.08 8.52
26000 0 0 1.84 8.68
27000 0 0 2.4 8.64
28000 0 0 2.32 8.76
29000 0 0 2.28 8.72
30000 0 0 2.28 8.68
31000 0 0 2.44 8.72
32000 0 0 2.44 8.8
33000 0 0 2.72 8.72
34000 0 0 2.24 8.72
35000 0 0 2.52 8.8
36000 0 0 2.56 8.8
37000 0 0 2.4 8.8
38000 0 0 2.16 8.68
39000 0 0 3 8.72
40000 0 0 2.4 8.76
41000 0 0 2.52 8.8
42000 0 0 2.76 8.8
43000 0 0 2.32 8.8
44000 0 0 2.68 8.8
45000 0 0 2.72 8.8
46000 0 0 2.32 8.84
47000 0 0 2.24 8.84
48000 0 0 2.2 8.8
49000 0 0 2.52 8.84
50000 0 0 2.36 8.76
51000 0 0 2.32 8.8
52000 0 0 2.28 8.8
53000 0 0 2.52 8.76
54000 0 0 2.4 8.8
55000 0 0 2.56 8.76
56000 0 0 2.32 8.68
57000 0 0 2.44 8.76
58000 0 0 2.28 8.84
59000 0 0 2.56 8.72
60000 0 0 2.64 8.76
61000 0 0 2.48 8.8
62000 0 0 2.76 8.84
63000 0 0 2.4 8.88
64000 0 0 2.28 8.84
65000 0 0 2.4 8.8
66000 0 0 2.16 8.8
67000 0 0 2.08 8.8
68000 0 0 2.28 8.84
69000 0 0 2.44 8.88
70000 0 0 2.56 8.88
71000 0 0 2.44 8.88
72000 0 0 2.6 8.72
73000 0 0 2.76 8.84
74000 0 0 2.52 8.84
75000 0 0 2.56 8.88
76000 0 0 2.2 8.8
77000 0 0 2.08 8.84
78000 0 0 2.48 8.92
79000 0 0 2.32 8.88
80000 0 0 3 8.88
81000 0 0 2.52 8.84
82000 0 0 2.2 8.8
83000 0 0 2.48 8.84
84000 0 0 2.68 8.84
85000 0 0 2.56 8.92
86000 0 0 2.8 8.84
87000 0 0 2.16 8.88
88000 0 0 2.4 8.84
89000 0 0 2.84 8.76
90000 0 0 2.08 8.84
91000 0 0 2.44 8.8
92000 0 0 2.6 8.8
93000 0 0 2.48 8.8
94000 0 0 2.48 8.84
95000 0 0 2.72 8.92
96000 0 0 2.24 8.8
97000 0 0 2.76 8.84
98000 0 0 2.68 8.88
99000 0 0 2.36 8.96
100000 0 0 2.44 8.8
101000 0 0 2.32 8.76
102000 0 0 2.44 8.84
103000 0 0 2.6 8.92
104000 0 0 2.12 8.88
105000 0 0 2.68 9
106000 0 0 2.4 8.96
107000 0 0 2.16 9
108000 0 0 2.24 8.92
109000 0 0 1.96 9
110000 0 0 2.56 9
111000 0 0 2.68 8.92
112000 0 0 2.36 8.96
113000 0 0 2.16 8.92
114000 0 0 2.64 8.96
115000 0 0 2.2 9.04
116000 0 0 2.4 8.88
117000 0 0 2.36 8.88
118000 0 0 2.32 8.96
119000 0 0 2.56 8.8
120000 0 0 2.24 8.92
121000 0 0 2.28 9
122000 0 0 2.52 8.92
123000 0 0 2.64 8.88
124000 0 0 2.28 9
125000 0 0 2.8 8.92
