# Time-averaged data for fix msd
# TimeStep c_msd[4]
400 0.013106
500 0.0963002
600 0.235747
700 0.415472
800 0.626868
900 0.863502
1000 1.11798
1100 1.3879
1200 1.67296
1300 1.96879
1400 2.27169
1500 2.58285
1600 2.90618
1700 3.23628
1800 3.56885
1900 3.90752
2000 4.25048
2100 4.58911
2200 4.92925
2300 5.27298
2400 5.61554
2500 5.95744
2600 6.30017
2700 6.64755
2800 6.99723
2900 7.34029
3000 7.68612
3100 8.03413
3200 8.37879
3300 8.72583
3400 9.07371
3500 9.41865
3600 9.7569
3700 10.0969
3800 10.4368
3900 10.7826
4000 11.1219
4100 11.465
4200 11.8109
4300 12.1536
4400 12.5038
4500 12.8576
4600 13.216
4700 13.5715
4800 13.9251
4900 14.2827
5000 14.6325
5100 14.9829
5200 15.3462
5300 15.7026
5400 16.066
5500 16.4271
5600 16.7837
5700 17.1449
5800 17.5148
5900 17.8689
6000 18.2282
6100 18.5957
6200 18.9632
6300 19.3373
6400 19.7216
6500 20.1085
6600 20.4908
6700 20.8643
6800 21.223
6900 21.5744
7000 21.927
7100 22.2764
7200 22.6308
7300 22.9658
7400 23.3131
7500 23.6791
7600 24.037
7700 24.3935
7800 24.7582
7900 25.1312
8000 25.5079
8100 25.8767
8200 26.2231
8300 26.5642
8400 26.9007
8500 27.2462
8600 27.6183
8700 27.9939
8800 28.365
8900 28.7342
9000 29.106
9100 29.4721
9200 29.8388
9300 30.2025
9400 30.5822
9500 30.9623
9600 31.3567
9700 31.7418
9800 32.1124
9900 32.4941
10000 32.8665
10100 33.2343
10200 33.5958
10300 33.9697
10400 34.3427
10500 34.7101
10600 35.0746
10700 35.441
10800 35.8074
10900 36.1521
11000 36.51
11100 36.8815
11200 37.2503
11300 37.612
11400 37.9627
11500 38.3099
11600 38.6516
11700 38.9873
11800 39.3183
11900 39.6487
12000 39.9884
12100 40.3395
12200 40.6959
12300 41.0494
12400 41.4019
12500 41.782
12600 42.1442
12700 42.4906
12800 42.8342
12900 43.1691
13000 43.5064
13100 43.8572
13200 44.2164
13300 44.5738
13400 44.9331
13500 45.2798
13600 45.6146
13700 45.9461
13800 46.2746
13900 46.6004
14000 46.9409
14100 47.2859
14200 47.6293
14300 47.9593
14400 48.2931
14500 48.6213
14600 48.9842
14700 49.3414
14800 49.6894
14900 50.0482
15000 50.4013
15100 50.7565
15200 51.1161
15300 51.4629
15400 51.8039
15500 52.1428
15600 52.4697
15700 52.7912
15800 53.1204
15900 53.461
16000 53.8136
16100 54.1641
16200 54.5187
16300 54.8854
16400 55.2536
16500 55.6086
16600 55.9603
16700 56.3119
16800 56.676
16900 57.039
17000 57.4044
17100 57.7686
17200 58.1353
17300 58.5035
17400 58.8748
17500 59.2453
17600 59.6286
17700 59.98
17800 60.3341
17900 60.6967
18000 61.0389
18100 61.3913
18200 61.7441
18300 62.1055
18400 62.4746
18500 62.8356
18600 63.2033
18700 63.5612
18800 63.9443
18900 64.3157
19000 64.6672
19100 64.9992
19200 65.3286
19300 65.6769
19400 66.047
19500 66.3916
19600 66.7673
19700 67.1208
19800 67.4631
19900 67.8048
20000 68.1725
20100 68.5368
20200 68.9052
20300 69.2737
20400 69.6449
20500 69.9986
20600 70.3367
20700 70.6677
20800 71.0024
20900 71.3575
21000 71.7271
21100 72.0849
21200 72.4028
21300 72.7398
21400 73.0859
21500 73.4405
21600 73.7919
21700 74.1198
21800 74.4471
21900 74.8027
22000 75.1768
22100 75.5547
22200 75.9168
22300 76.302
22400 76.7001
22500 77.1142
22600 77.4948
22700 77.8835
22800 78.2681
22900 78.6504
23000 79.0252
23100 79.3881
23200 79.758
23300 80.1328
23400 80.5055
23500 80.8777
23600 81.2423
23700 81.6116
23800 81.9938
23900 82.352
24000 82.6783
24100 83.0214
24200 83.3796
24300 83.745
24400 84.0914
24500 84.4144
24600 84.7346
24700 85.0709
24800 85.3994
24900 85.7173
25000 86.0209
25100 86.3281
25200 86.6531
25300 86.9965
25400 87.3315
25500 87.67
25600 88.0025
25700 88.3431
25800 88.6788
25900 89.0266
26000 89.3917
26100 89.7661
26200 90.1095
26300 90.4311
26400 90.7615
26500 91.1103
26600 91.4776
26700 91.8463
26800 92.2105
26900 92.5665
27000 92.9362
27100 93.3012
27200 93.6898
27300 94.0697
27400 94.4413
27500 94.8115
27600 95.1589
27700 95.52
27800 95.8624
27900 96.1919
28000 96.5308
28100 96.8777
28200 97.2205
28300 97.5534
28400 97.8949
28500 98.2186
28600 98.523
28700 98.8326
28800 99.1545
28900 99.4778
29000 99.8141
29100 100.174
29200 100.549
29300 100.907
29400 101.249
29500 101.588
29600 101.954
29700 102.319
29800 102.694
29900 103.066
30000 103.41
30100 103.762
30200 104.13
30300 104.516
30400 104.872
30500 105.257
30600 105.617
30700 105.997
30800 106.353
30900 106.709
31000 107.06
31100 107.447
31200 107.846
31300 108.225
31400 108.586
31500 108.925
31600 109.268
31700 109.611
31800 109.966
31900 110.329
32000 110.683
32100 111.051
32200 111.39
32300 111.771
32400 112.14
32500 112.516
32600 112.911
32700 113.309
32800 113.7
32900 114.077
33000 114.464
33100 114.88
33200 115.304
33300 115.685
33400 116.028
33500 116.387
33600 116.743
33700 117.128
33800 117.537
33900 117.905
34000 118.25
34100 118.586
34200 118.912
34300 119.231
34400 119.581
34500 119.943
34600 120.294
34700 120.66
34800 121.015
34900 121.365
35000 121.7
35100 122.049
35200 122.408
35300 122.753
35400 123.071
35500 123.399
35600 123.722
35700 124.069
35800 124.422
35900 124.797
36000 125.16
36100 125.523
36200 125.912
36300 126.302
36400 126.692
36500 127.076
36600 127.45
36700 127.839
36800 128.227
36900 128.632
37000 129.013
37100 129.384
37200 129.758
37300 130.149
37400 130.546
37500 130.915
37600 131.269
37700 131.604
37800 131.94
37900 132.294
38000 132.675
38100 133.064
38200 133.449
38300 133.846
38400 134.249
38500 134.632
38600 135.022
38700 135.39
38800 135.777
38900 136.165
39000 136.541
39100 136.909
39200 137.259
39300 137.587
39400 137.896
39500 138.201
39600 138.513
39700 138.847
39800 139.188
39900 139.552
40000 139.945
40100 140.312
40200 140.66
40300 141.048
40400 141.464
40500 141.872
40600 142.287
40700 142.66
40800 143.028
40900 143.4
41000 143.772
41100 144.121
41200 144.479
41300 144.832
41400 145.181
41500 145.548
41600 145.903
41700 146.237
41800 146.578
41900 146.946
42000 147.316
42100 147.661
42200 148.001
42300 148.3
42400 148.625
42500 148.941
42600 149.259
42700 149.598
42800 149.924
42900 150.278
43000 150.666
43100 151.062
