# Time-averaged data for fix msd
# TimeStep c_msd[4]
1000 0.29834
2000 0.538276
3000 0.68876
4000 0.760499
5000 0.870772
6000 0.892166
7000 0.945389
8000 1.0399
9000 1.1019
10000 1.09753
11000 1.12973
12000 1.17504
13000 1.17552
14000 1.17896
15000 1.25659
16000 1.29559
17000 1.21963
18000 1.28299
19000 1.2908
20000 1.32557
21000 1.32273
22000 1.35619
23000 1.38565
24000 1.42976
25000 1.42001
26000 1.37695
27000 1.40812
28000 1.44911
29000 1.42053
30000 1.47273
31000 1.50776
32000 1.50761
33000 1.54513
34000 1.49959
35000 1.54342
36000 1.59333
37000 1.5769
38000 1.58045
39000 1.61123
40000 1.61341
41000 1.61156
42000 1.67347
43000 1.66961
44000 1.68443
45000 1.7599
46000 1.73078
47000 1.74641
48000 1.78561
49000 1.84077
50000 1.84472
51000 1.86099
52000 1.84558
53000 1.91587
54000 1.92793
55000 1.90638
56000 1.90771
57000 1.9582
58000 1.89125
59000 1.91567
60000 1.94294
61000 1.9013
62000 1.9113
63000 1.94793
64000 1.93407
65000 1.90663
66000 1.9428
67000 1.89924
68000 1.92844
69000 1.91219
70000 1.9403
71000 1.9829
72000 1.98954
73000 1.9626
74000 1.94172
75000 1.90167
76000 1.93871
77000 1.94789
78000 1.9291
79000 1.93523
80000 1.95074
81000 1.96476
82000 1.97343
83000 1.94803
84000 1.98581
85000 1.99959
86000 2.0095
87000 2.00358
88000 1.95647
89000 1.99839
90000 1.97986
91000 2.0104
92000 2.02986
93000 1.98866
94000 2.01023
95000 2.01924
96000 2.05031
97000 2.09056
98000 2.12912
99000 2.13896
100000 2.09921
101000 2.13452
102000 2.1629
103000 2.21893
104000 2.14574
105000 2.13199
106000 2.19063
107000 2.25096
108000 2.2503
109000 2.256
110000 2.32184
111000 2.27511
112000 2.23301
113000 2.26462
114000 2.30726
115000 2.3002
116000 2.31893
117000 2.27195
118000 2.23925
119000 2.29722
120000 2.30065
121000 2.32309
122000 2.317
123000 2.35225
124000 2.43817
125000 2.37286
126000 2.29461
127000 2.33904
128000 2.28301
129000 2.32915
130000 2.33579
131000 2.29868
132000 2.30286
133000 2.31598
134000 2.31111
135000 2.31305
136000 2.37936
137000 2.37361
138000 2.36429
139000 2.31849
140000 2.34517
141000 2.39774
142000 2.35981
143000 2.40055
144000 2.37594
145000 2.36672
146000 2.39811
147000 2.43506
148000 2.39385
149000 2.37261
150000 2.3595
151000 2.44487
152000 2.43528
153000 2.45411
154000 2.39505
155000 2.49032
156000 2.46773
157000 2.45851
158000 2.47259
159000 2.53681
160000 2.56338
161000 2.55241
162000 2.54199
163000 2.47331
164000 2.48525
165000 2.46074
166000 2.48366
167000 2.55928
168000 2.55062
169000 2.52469
170000 2.51887
171000 2.58253
172000 2.57683
173000 2.56166
174000 2.55667
175000 2.49024
176000 2.4868
177000 2.52475
178000 2.51053
179000 2.50308
180000 2.49546
181000 2.49366
182000 2.49445
183000 2.4826
184000 2.46944
185000 2.46129
186000 2.48832
187000 2.48403
188000 2.54396
189000 2.4697
190000 2.48906
191000 2.51693
192000 2.50346
193000 2.50556
194000 2.55126
195000 2.52921
196000 2.53019
197000 2.57138
198000 2.5477
199000 2.56377
200000 2.56233
201000 2.5719
202000 2.54881
203000 2.59159
204000 2.59904
205000 2.6592
206000 2.56759
207000 2.55634
208000 2.58561
209000 2.5955
210000 2.58501
211000 2.61029
212000 2.60606
213000 2.61327
214000 2.62236
215000 2.62281
216000 2.593
217000 2.59392
218000 2.6065
219000 2.66536
220000 2.66538
221000 2.63511
222000 2.61357
223000 2.63014
224000 2.65461
225000 2.69036
226000 2.68761
227000 2.6282
228000 2.68045
229000 2.68133
230000 2.66652
231000 2.66848
232000 2.69778
233000 2.70229
234000 2.62838
235000 2.74297
236000 2.75713
237000 2.78149
238000 2.66609
239000 2.65721
240000 2.72281
241000 2.7532
242000 2.75674
243000 2.76916
244000 2.69867
245000 2.68954
246000 2.7608
247000 2.78365
248000 2.75341
249000 2.73268
250000 2.7143
251000 2.72929
252000 2.71065
253000 2.67898
254000 2.76919
255000 2.77652
256000 2.69
257000 2.63795
258000 2.70148
259000 2.72603
260000 2.73789
261000 2.82617
262000 2.74347
263000 2.74549
264000 2.83518
265000 2.83598
266000 2.84237
267000 2.77429
268000 2.74363
269000 2.79168
270000 2.77104
271000 2.71379
272000 2.72448
273000 2.72561
274000 2.75462
275000 2.69083
276000 2.72542
277000 2.76569
278000 2.80571
279000 2.73225
280000 2.79269
281000 2.76716
282000 2.81798
283000 2.77548
284000 2.80261
285000 2.81124
286000 2.81542
287000 2.82152
288000 2.78337
289000 2.71082
290000 2.74087
291000 2.77503
292000 2.75057
293000 2.71835
294000 2.73457
295000 2.7621
296000 2.79146
297000 2.77286
298000 2.76073
299000 2.78854
300000 2.75878
301000 2.82573
302000 2.76624
303000 2.7812
304000 2.80447
305000 2.87854
306000 2.79059
307000 2.75382
308000 2.76999
309000 2.8505
310000 2.85334
311000 2.85119
312000 2.82739
313000 2.90914
314000 2.85772
315000 2.85181
316000 2.8541
317000 2.85612
318000 2.88874
319000 2.86495
320000 2.87396
321000 2.85481
322000 2.85767
