# Time-averaged data for fix msd
# TimeStep c_msd[4]
1000 1.04308
2000 2.6008
3000 4.35878
4000 6.18986
5000 8.01218
6000 9.72789
7000 11.3762
8000 13.0201
9000 14.7728
10000 16.3125
11000 17.8792
12000 19.5746
13000 21.2566
14000 22.8732
15000 24.4293
16000 25.7302
17000 27.3392
18000 29.08
19000 30.8431
20000 32.5287
21000 34.4774
22000 36.1945
23000 37.8444
24000 39.9314
25000 42.0472
26000 43.606
27000 45.0996
28000 46.527
29000 48.4154
30000 50.5267
31000 52.2947
32000 53.8711
33000 55.6909
34000 57.4654
35000 59.5466
36000 61.3672
37000 63.0717
38000 64.7846
39000 66.3961
40000 68.0643
41000 69.3229
42000 71.1259
43000 73.2214
44000 75.2704
45000 77.2808
46000 79.1853
47000 80.496
48000 82.8517
49000 84.4499
50000 86.1091
51000 88.4486
52000 90.739
53000 92.4128
54000 93.9305
55000 95.2875
56000 96.3555
57000 97.5326
58000 98.6319
59000 100.644
60000 102.936
61000 105
62000 107.278
63000 109.192
64000 110.884
65000 112.369
66000 113.858
67000 115.634
68000 117.411
69000 118.574
70000 120.567
71000 122.975
72000 124.532
73000 125.735
74000 126.832
75000 128.313
76000 130.299
77000 131.976
78000 133.011
79000 134.378
80000 136.225
81000 137.873
82000 139.032
83000 140.457
84000 142.909
85000 146.213
86000 148.871
87000 151.628
88000 154.199
89000 155.852
90000 157.529
91000 158.707
92000 160.881
93000 162.921
94000 164.072
95000 165.771
96000 167.338
97000 169.606
98000 171.106
99000 172.084
100000 174.393
101000 176.167
102000 177.879
103000 178.829
104000 180.396
105000 182.212
106000 183.65
107000 184.83
108000 186.301
109000 187.463
110000 189.194
111000 190.986
112000 193.295
113000 194.736
114000 196.654
115000 198.628
116000 200.348
117000 201.89
118000 203.615
119000 205.822
120000 206.971
121000 208.82
122000 210.55
123000 212.359
124000 214.115
125000 216.741
126000 218.743
127000 220.733
128000 223.328
129000 225.034
130000 226.714
131000 228.908
132000 230.509
133000 231.555
134000 232.679
135000 234.549
136000 236.873
137000 238.253
138000 240.588
139000 243.54
140000 245.586
141000 246.04
142000 247.592
143000 249.93
144000 251.985
145000 254.254
146000 255.609
147000 257.235
148000 260.174
149000 262.308
150000 264.121
151000 265.393
152000 267.823
153000 270.228
154000 272.14
155000 273.776
156000 274.588
157000 276.415
158000 277.762
159000 279.772
160000 282.097
161000 284.122
162000 286.067
163000 287.248
164000 289.089
165000 291.425
166000 293.174
167000 294.442
168000 297.358
169000 298.649
170000 299.67
171000 301.295
172000 304.051
173000 306.282
174000 307.979
175000 308.608
176000 311.028
177000 311.732
178000 313.337
179000 316.981
180000 319.698
181000 320.537
182000 322.386
183000 324.162
184000 326.643
185000 330.054
186000 331.678
187000 332.979
188000 334.538
189000 338.186
190000 340.604
191000 342.518
192000 344.097
193000 345.073
194000 346.211
195000 346.676
196000 347.892
197000 348.856
198000 347.992
199000 348.208
200000 348.729
201000 350.117
202000 351.904
203000 353.986
204000 356.459
205000 358.872
206000 360.466
207000 362.435
208000 363.94
209000 365.554
210000 367.369
211000 369.97
212000 372.18
213000 374.425
214000 376.739
215000 377.47
216000 379.278
217000 381.259
218000 382.823
219000 383.959
220000 384.904
221000 386.54
222000 388.609
223000 390.551
224000 393.443
225000 396.591
226000 399.731
227000 401.795
228000 402.22
229000 404.166
230000 405.558
231000 407.381
232000 409.24
233000 411.235
234000 414.483
235000 416.581
236000 418.291
237000 421.076
238000 424.88
239000 425.611
240000 426.142
241000 427.352
242000 428.621
243000 430.232
244000 431.191
245000 432.21
246000 434.793
247000 436.719
248000 439.044
249000 440.406
250000 443.627
251000 446.46
252000 449.055
253000 451.394
254000 453.054
255000 455.311
256000 457.731
257000 461.21
258000 461.588
259000 463.322
260000 464.985
261000 466.336
262000 467.802
263000 469.379
264000 471.336
265000 474.39
266000 476.413
267000 478.075
268000 479.69
269000 480.949
270000 481.572
271000 484.538
272000 486.475
273000 490.211
274000 492.994
275000 496.019
276000 497.415
277000 498.12
278000 500.521
279000 502.038
280000 505.521
281000 507.849
282000 511.634
283000 514.153
284000 516.993
285000 519.934
286000 521.495
287000 523.291
288000 524.917
289000 527.026
290000 527.327
291000 529.772
292000 531.936
293000 534.296
294000 534.967
295000 535.875
296000 537.58
297000 539.469
298000 541.443
299000 543.693
300000 545.399
301000 547.298
302000 548.496
303000 551.033
304000 553.448
305000 555.323
306000 556.19
307000 558.955
308000 561.231
309000 563.739
310000 564.345
311000 564.705
312000 563.963
313000 565.19
314000 567.68
315000 569.888
316000 572.508
317000 575.612
318000 579.082
319000 582.501
320000 585.002
321000 587.418
322000 589.898
323000 592.45
324000 595.278
325000 597.087
326000 598.871
327000 600.787
328000 601.731
329000 604.539
330000 606.982
331000 608.517
332000 610.567
333000 612.801
334000 615.25
335000 617.972
336000 621.878
337000 625.425
338000 627.2
339000 628.483
340000 629.126
341000 630.048
342000 630.859
343000 632.451
344000 635.445
345000 637.77
346000 640.315
347000 641.473
348000 643.054
349000 646.166
350000 646.089
351000 647.335
352000 650.318
353000 653.094
354000 654.995
355000 657.93
356000 660.122
357000 661.679
358000 663.373
359000 666.02
360000 666.868
361000 670.172
362000 672.406
363000 673.893
364000 676.326
365000 675.999
366000 676.676
367000 678.223
368000 679.724
369000 680.987
370000 683.659
371000 683.671
372000 685.521
373000 687.046
374000 687.966
375000 690.584
376000 692.284
377000 693.848
378000 696.754
379000 697.288
380000 697.878
381000 699.263
382000 699.904
383000 702.281
384000 705.628
385000 708.322
386000 710.872
387000 712.91
388000 714.466
389000 715.96
390000 718.673
391000 722.978
392000 727
393000 728.408
394000 731.954
395000 734.005
396000 734.59
397000 737.203
398000 739.289
399000 742.772
400000 744.803
401000 748.089
402000 750.71
403000 753.804
404000 755.905
405000 757.768
406000 759.429
407000 761.07
408000 763.085
409000 765.315
410000 765.866
411000 768.361
412000 769.965
413000 771.707
414000 774.407
415000 775.767
416000 776.16
417000 776.908
418000 779.052
419000 779.942
420000 782.126
421000 784.366
422000 785.919
423000 788.544
424000 790.642
425000 792.512
426000 794.796
427000 798.992
428000 800.047
429000 800.649
430000 804.097
431000 806.776
432000 808.655
433000 812.358
434000 813.904
435000 815.675
436000 818.108
437000 820.007
438000 821.077
439000 823.561
440000 824.041
441000 823.477
442000 823.893
443000 826.322
444000 827.132
445000 828.819
446000 831.516
447000 832.886
448000 834.896
449000 836.502
450000 838.091
451000 842.028
452000 844.556
453000 846.062
454000 847.667
455000 850.096
456000 852.897
457000 855.76
458000 860.164
459000 864.752
460000 867.364
461000 869.894
462000 871.517
463000 873.034
464000 875.174
465000 877.248
466000 878.819
467000 879.448
468000 880.998
469000 881.425
470000 884.924
471000 888.563
472000 890.874
473000 891.103
474000 892.211
475000 893.414
476000 894.808
477000 895.938
478000 898.414
479000 904.028
480000 906.511
481000 907.977
482000 907.554
483000 908.841
484000 910.307
485000 912.105
486000 912.925
487000 915.066
488000 916.637
489000 919.311
490000 921.615
491000 925.497
492000 926.996
