# Time-averaged data for fix com
# TimeStep c_com[1] c_com[2] c_com[3]
420 6.72272 7.11032 6.48689
490 6.72272 7.11032 6.48689
560 6.72272 7.11032 6.48689
630 6.72272 7.11032 6.48689
700 6.72272 7.11032 6.48689
770 6.72272 7.11032 6.48689
840 6.72272 7.11032 6.48689
910 6.72272 7.11032 6.48689
980 6.72272 7.11032 6.48689
1050 6.72272 7.11032 6.48689
1120 6.72272 7.11032 6.48689
1190 6.72272 7.11032 6.48689
1260 6.72272 7.11032 6.48689
1330 6.72272 7.11032 6.48689
1400 6.72272 7.11032 6.48689
1470 6.72272 7.11032 6.48689
1540 6.72272 7.11032 6.48689
1610 6.72272 7.11032 6.48689
1680 6.72272 7.11032 6.48689
1750 6.72272 7.11032 6.48689
1820 6.72272 7.11032 6.48689
1890 6.72272 7.11032 6.48689
1960 6.72272 7.11032 6.48689
2030 6.72272 7.11032 6.48689
2100 6.72272 7.11032 6.48689
2170 6.72272 7.11032 6.48689
2240 6.72272 7.11032 6.48689
2310 6.72272 7.11032 6.48689
2380 6.72272 7.11032 6.48689
2450 6.72272 7.11032 6.48689
2520 6.72272 7.11032 6.48689
2590 6.72272 7.11032 6.48689
2660 6.72272 7.11032 6.48689
2730 6.72272 7.11032 6.48689
2800 6.72272 7.11032 6.48689
2870 6.72272 7.11032 6.48689
2940 6.72272 7.11032 6.48689
3010 6.72272 7.11032 6.48689
3080 6.72272 7.11032 6.48689
3150 6.72272 7.11032 6.48689
3220 6.72272 7.11032 6.48689
3290 6.72272 7.11032 6.48689
3360 6.72272 7.11032 6.48689
3430 6.72272 7.11032 6.48689
3500 6.72272 7.11032 6.48689
3570 6.72272 7.11032 6.48689
3640 6.72272 7.11032 6.48689
3710 6.72272 7.11032 6.48689
3780 6.72272 7.11032 6.48689
3850 6.72272 7.11032 6.48689
3920 6.72272 7.11032 6.48689
3990 6.72272 7.11032 6.48689
4060 6.72272 7.11032 6.48689
4130 6.72272 7.11032 6.48689
4200 6.72272 7.11032 6.48689
4270 6.72272 7.11032 6.48689
4340 6.72272 7.11032 6.48689
4410 6.72272 7.11032 6.48689
4480 6.72272 7.11032 6.48689
4550 6.72272 7.11032 6.48689
4620 6.72272 7.11032 6.48689
4690 6.72272 7.11032 6.48689
4760 6.72272 7.11032 6.48689
4830 6.72272 7.11032 6.48689
4900 6.72272 7.11032 6.48689
4970 6.72272 7.11032 6.48689
5040 6.72272 7.11032 6.48689
5110 6.72272 7.11032 6.48689
5180 6.72272 7.11032 6.48689
5250 6.72272 7.11032 6.48689
5320 6.72272 7.11032 6.48689
5390 6.72272 7.11032 6.48689
5460 6.72272 7.11032 6.48689
5530 6.72272 7.11032 6.48689
5600 6.72272 7.11032 6.48689
5670 6.72272 7.11032 6.48689
