# Time-averaged data for fix msd
# TimeStep c_msd[4]
1000 0.605377
2000 1.87165
3000 2.83112
4000 4.05342
5000 5.24869
6000 5.92564
7000 7.37717
8000 9.27167
9000 10.313
10000 11.6229
11000 14.2537
12000 16.4565
13000 18.4021
14000 18.9078
15000 19.6006
16000 22.2016
17000 23.6617
18000 27.7521
19000 30.5691
20000 31.7243
21000 34.2584
22000 35.9749
23000 37.4743
24000 40.3476
25000 41.6703
26000 42.3984
27000 44.8857
28000 46.8434
29000 48.6435
30000 49.8072
31000 49.8251
32000 51.446
33000 53.3806
34000 54.6932
35000 57.0726
36000 59.8497
37000 61.1842
38000 64.6658
39000 65.8726
40000 68.3954
41000 69.0347
42000 70.3392
43000 68.7376
44000 67.8966
45000 68.9869
46000 70.3872
47000 72.9502
48000 75.7651
49000 75.8601
50000 75.8237
51000 75.442
52000 76.9378
53000 78.9686
54000 80.6152
55000 83.1509
56000 87.0235
57000 89.4559
58000 94.6376
59000 95.7736
60000 95.4965
61000 95.0614
62000 94.787
63000 93.0565
64000 93.0113
65000 94.8245
66000 95.7491
67000 98.612
68000 99.5879
69000 100.489
70000 107.587
71000 112.321
72000 114.561
73000 114.814
74000 114.953
75000 116.355
76000 117.359
77000 117.596
78000 119.21
79000 117.915
80000 120.455
81000 123.616
82000 126.179
83000 126.793
84000 125.268
85000 121.756
86000 122.621
87000 125.649
88000 128.633
89000 130.157
90000 132.082
91000 132.231
92000 134.922
93000 135.844
94000 134.991
95000 135.108
96000 136.602
97000 138.109
98000 138.792
99000 138.328
100000 138.474
101000 140.261
102000 141.933
103000 141.249
104000 141.166
105000 140.652
106000 142.452
107000 145.67
108000 148.608
109000 150.131
110000 151.615
111000 151.702
112000 152.807
113000 154.093
114000 155.112
115000 156.26
116000 153.13
117000 157.062
118000 159.872
119000 159.862
120000 163.567
121000 163.185
122000 165.539
123000 167.236
124000 165.267
125000 165.909
126000 166.899
127000 171.105
128000 174.711
129000 176.974
130000 179.375
131000 182.189
132000 183.633
133000 183.103
134000 187.071
135000 189.738
136000 192.507
137000 194.629
138000 194.626
139000 192.342
140000 197.299
141000 202.036
142000 206.339
143000 208.4
144000 208.522
145000 210.421
146000 212.708
147000 210.385
148000 214.565
149000 213.305
150000 213.85
151000 217.614
152000 217.417
153000 215.851
154000 212.074
155000 211.519
156000 214.026
157000 213.572
158000 215.62
159000 216.957
160000 218.405
161000 219.06
162000 222.6
163000 225.528
164000 226.074
165000 226.187
166000 225.633
167000 225.591
168000 222.208
169000 221.765
170000 222.686
171000 224.651
172000 224.333
173000 224.195
174000 224.462
175000 223.939
176000 226.39
