# Time-averaged data for fix com
# TimeStep c_com[1] c_com[2] c_com[3]
1000 2.03615 1.88276 2.184
2000 2.03615 1.88276 2.184
3000 2.03615 1.88276 2.184
4000 2.03615 1.88276 2.184
5000 2.03615 1.88276 2.184
6000 2.03615 1.88276 2.184
7000 2.03615 1.88276 2.184
8000 2.03615 1.88276 2.184
9000 2.03615 1.88276 2.184
10000 2.03615 1.88276 2.184
11000 2.03615 1.88276 2.184
12000 2.03615 1.88276 2.184
13000 2.03615 1.88276 2.184
14000 2.03615 1.88276 2.184
15000 2.03615 1.88276 2.184
16000 2.03615 1.88276 2.184
17000 2.03615 1.88276 2.184
18000 2.03615 1.88276 2.184
19000 2.03615 1.88276 2.184
20000 2.03615 1.88276 2.184
21000 2.03615 1.88276 2.184
22000 2.03615 1.88276 2.184
23000 2.03615 1.88276 2.184
24000 2.03615 1.88276 2.184
25000 2.03615 1.88276 2.184
26000 2.03615 1.88276 2.184
27000 2.03615 1.88276 2.184
28000 2.03615 1.88276 2.184
29000 2.03615 1.88276 2.184
30000 2.03615 1.88276 2.184
31000 2.03615 1.88276 2.184
32000 2.03615 1.88276 2.184
33000 2.03615 1.88276 2.184
34000 2.03615 1.88276 2.184
35000 2.03615 1.88276 2.184
36000 2.03615 1.88276 2.184
37000 2.03615 1.88276 2.184
38000 2.03615 1.88276 2.184
39000 2.03615 1.88276 2.184
40000 2.03615 1.88276 2.184
41000 2.03615 1.88276 2.184
42000 2.03615 1.88276 2.184
43000 2.03615 1.88276 2.184
44000 2.03615 1.88276 2.184
45000 2.03615 1.88276 2.184
46000 2.03615 1.88276 2.184
47000 2.03615 1.88276 2.184
48000 2.03615 1.88276 2.184
49000 2.03615 1.88276 2.184
50000 2.03615 1.88276 2.184
51000 2.03615 1.88276 2.184
52000 2.03615 1.88276 2.184
53000 2.03615 1.88276 2.184
54000 2.03615 1.88276 2.184
55000 2.03615 1.88276 2.184
56000 2.03615 1.88276 2.184
57000 2.03615 1.88276 2.184
58000 2.03615 1.88276 2.184
59000 2.03615 1.88276 2.184
60000 2.03615 1.88276 2.184
61000 2.03615 1.88276 2.184
62000 2.03615 1.88276 2.184
63000 2.03615 1.88276 2.184
64000 2.03615 1.88276 2.184
65000 2.03615 1.88276 2.184
66000 2.03615 1.88276 2.184
67000 2.03615 1.88276 2.184
68000 2.03615 1.88276 2.184
69000 2.03615 1.88276 2.184
70000 2.03615 1.88276 2.184
71000 2.03615 1.88276 2.184
72000 2.03615 1.88276 2.184
73000 2.03615 1.88276 2.184
74000 2.03615 1.88276 2.184
75000 2.03615 1.88276 2.184
76000 2.03615 1.88276 2.184
77000 2.03615 1.88276 2.184
78000 2.03615 1.88276 2.184
79000 2.03615 1.88276 2.184
80000 2.03615 1.88276 2.184
81000 2.03615 1.88276 2.184
82000 2.03615 1.88276 2.184
83000 2.03615 1.88276 2.184
84000 2.03615 1.88276 2.184
85000 2.03615 1.88276 2.184
86000 2.03615 1.88276 2.184
87000 2.03615 1.88276 2.184
88000 2.03615 1.88276 2.184
89000 2.03615 1.88276 2.184
90000 2.03615 1.88276 2.184
91000 2.03615 1.88276 2.184
92000 2.03615 1.88276 2.184
93000 2.03615 1.88276 2.184
94000 2.03615 1.88276 2.184
95000 2.03615 1.88276 2.184
96000 2.03615 1.88276 2.184
97000 2.03615 1.88276 2.184
98000 2.03615 1.88276 2.184
99000 2.03615 1.88276 2.184
100000 2.03615 1.88276 2.184
101000 2.03615 1.88276 2.184
102000 2.03615 1.88276 2.184
103000 2.03615 1.88276 2.184
104000 2.03615 1.88276 2.184
105000 2.03615 1.88276 2.184
106000 2.03615 1.88276 2.184
107000 2.03615 1.88276 2.184
108000 2.03615 1.88276 2.184
109000 2.03615 1.88276 2.184
110000 2.03615 1.88276 2.184
111000 2.03615 1.88276 2.184
112000 2.03615 1.88276 2.184
113000 2.03615 1.88276 2.184
114000 2.03615 1.88276 2.184
115000 2.03615 1.88276 2.184
116000 2.03615 1.88276 2.184
117000 2.03615 1.88276 2.184
118000 2.03615 1.88276 2.184
119000 2.03615 1.88276 2.184
120000 2.03615 1.88276 2.184
121000 2.03615 1.88276 2.184
122000 2.03615 1.88276 2.184
123000 2.03615 1.88276 2.184
124000 2.03615 1.88276 2.184
125000 2.03615 1.88276 2.184
126000 2.03615 1.88276 2.184
127000 2.03615 1.88276 2.184
128000 2.03615 1.88276 2.184
129000 2.03615 1.88276 2.184
130000 2.03615 1.88276 2.184
131000 2.03615 1.88276 2.184
132000 2.03615 1.88276 2.184
133000 2.03615 1.88276 2.184
134000 2.03615 1.88276 2.184
135000 2.03615 1.88276 2.184
136000 2.03615 1.88276 2.184
137000 2.03615 1.88276 2.184
138000 2.03615 1.88276 2.184
139000 2.03615 1.88276 2.184
140000 2.03615 1.88276 2.184
141000 2.03615 1.88276 2.184
142000 2.03615 1.88276 2.184
143000 2.03615 1.88276 2.184
144000 2.03615 1.88276 2.184
145000 2.03615 1.88276 2.184
146000 2.03615 1.88276 2.184
147000 2.03615 1.88276 2.184
148000 2.03615 1.88276 2.184
149000 2.03615 1.88276 2.184
150000 2.03615 1.88276 2.184
151000 2.03615 1.88276 2.184
152000 2.03615 1.88276 2.184
153000 2.03615 1.88276 2.184
154000 2.03615 1.88276 2.184
155000 2.03615 1.88276 2.184
156000 2.03615 1.88276 2.184
157000 2.03615 1.88276 2.184
158000 2.03615 1.88276 2.184
159000 2.03615 1.88276 2.184
160000 2.03615 1.88276 2.184
161000 2.03615 1.88276 2.184
162000 2.03615 1.88276 2.184
163000 2.03615 1.88276 2.184
164000 2.03615 1.88276 2.184
165000 2.03615 1.88276 2.184
166000 2.03615 1.88276 2.184
167000 2.03615 1.88276 2.184
168000 2.03615 1.88276 2.184
169000 2.03615 1.88276 2.184
170000 2.03615 1.88276 2.184
171000 2.03615 1.88276 2.184
172000 2.03615 1.88276 2.184
173000 2.03615 1.88276 2.184
174000 2.03615 1.88276 2.184
