# Time-averaged data for fix msd
# TimeStep c_msd[4]
1000 0.198219
2000 0.372357
3000 0.609889
4000 0.78749
5000 0.868719
6000 1.01167
7000 1.19441
8000 1.45567
9000 1.66081
10000 1.96208
11000 2.0909
12000 2.10478
13000 2.17657
14000 2.34776
15000 2.53299
16000 2.84569
17000 2.93213
18000 3.14005
19000 3.3666
20000 3.42279
21000 3.62594
22000 3.87619
23000 3.87589
24000 4.10629
25000 4.25116
26000 4.17988
27000 4.52465
28000 4.58558
29000 4.54579
30000 4.603
31000 4.63577
32000 4.7255
33000 4.53118
34000 4.80162
35000 4.86855
36000 5.02776
37000 5.09487
38000 5.53186
39000 5.62263
40000 5.82029
41000 6.18209
42000 6.36237
43000 6.48549
44000 6.57114
45000 6.75861
46000 7.06748
47000 7.13052
48000 7.13335
49000 7.24399
50000 7.14526
51000 7.44788
52000 7.73169
53000 7.84881
54000 7.92147
55000 7.96059
56000 8.22802
57000 8.57806
58000 8.88593
59000 9.27648
60000 9.47246
61000 9.67137
62000 9.73046
63000 9.99431
64000 9.97425
65000 10.2009
66000 10.4775
67000 10.7596
68000 10.6177
69000 10.7718
70000 11.2651
71000 11.3966
72000 11.9561
73000 11.8045
74000 12.2372
75000 11.8352
76000 12.2713
77000 12.3281
78000 12.6046
79000 12.8096
80000 12.8987
81000 12.8276
82000 12.8563
83000 12.9053
84000 12.826
85000 13.1313
86000 13.6466
87000 14.0665
88000 14.1358
89000 14.4369
90000 14.6349
91000 14.6737
92000 14.6762
93000 15.0466
94000 15.4128
95000 15.9179
96000 16.1931
97000 16.5335
98000 16.6735
99000 16.5284
100000 16.7433
101000 16.3202
102000 16.4395
103000 16.4444
104000 16.5269
105000 16.9198
106000 16.9631
107000 17.2016
108000 17.7764
109000 17.6121
110000 17.0535
111000 17.3628
112000 17.6611
113000 18.1674
114000 18.7482
115000 18.6589
116000 18.4843
117000 18.3883
118000 18.4024
119000 18.5693
120000 18.4918
121000 18.4707
122000 18.4413
123000 18.8719
124000 18.6118
125000 18.2184
126000 18.178
127000 18.738
128000 19.2602
129000 19.6034
130000 19.1924
131000 19.4013
132000 19.6701
133000 19.5094
134000 19.6325
135000 20.5009
136000 20.8135
137000 21.6211
138000 22.207
139000 22.3571
140000 22.4686
141000 22.7702
142000 22.5308
143000 22.1935
144000 23.0042
145000 23.7096
146000 23.9216
147000 23.472
148000 23.7593
149000 23.8644
150000 24.1368
151000 24.4414
152000 25.0591
153000 25.3643
154000 25.4165
155000 25.5019
156000 25.4848
157000 25.2805
158000 25.0013
159000 25.1177
160000 25.5698
161000 25.8651
162000 26.1384
163000 25.7589
164000 25.8659
165000 26.1885
166000 26.5447
167000 26.5771
168000 27.0834
169000 26.808
170000 26.4894
171000 26.714
172000 26.6476
173000 26.9876
174000 27.0681
175000 27.4725
176000 27.1835
177000 27.491
178000 27.567
179000 28.0831
180000 28.4973
181000 29.0432
182000 28.394
183000 28.5023
184000 28.842
185000 29.2863
186000 29.7481
187000 30.0471
188000 29.7467
189000 29.6448
190000 29.6854
191000 30.0325
192000 29.8345
193000 29.4806
194000 29.6937
195000 29.8584
196000 29.3851
197000 29.1683
198000 29.4263
199000 29.7792
200000 30.2857
201000 30.7962
202000 31.1794
203000 31.4556
204000 31.2848
205000 30.9897
206000 31.1794
207000 31.1567
208000 31.4709
209000 31.1165
210000 31.7257
211000 32.1629
212000 32.2708
213000 32.3583
214000 32.1815
215000 32.1668
216000 32.6483
217000 32.7088
218000 32.763
219000 33.0308
220000 33.4076
221000 33.1056
222000 33.4034
223000 33.3842
224000 32.6974
225000 32.4992
226000 32.6303
227000 32.341
228000 31.646
229000 32.0811
230000 31.6576
231000 31.4274
232000 31.6363
233000 32.2733
234000 32.5392
235000 32.6439
236000 32.3482
237000 32.2155
238000 32.8098
239000 33.2061
240000 32.8776
241000 33.0223
242000 33.479
243000 34.2628
244000 34.0676
245000 33.7608
246000 34.1841
247000 34.877
248000 34.7581
249000 35.1397
250000 35.7903
251000 35.7714
252000 36.0727
253000 35.9829
254000 35.481
255000 35.9119
256000 36.3435
257000 36.0562
258000 36.436
259000 36.6482
260000 36.1916
261000 37.0789
262000 37.1061
263000 37.9328
264000 37.7632
265000 37.978
266000 38.2322
267000 38.3474
268000 38.8272
269000 38.41
270000 38.1756
271000 38.301
272000 38.7091
273000 38.4343
274000 38.5667
275000 38.5851
276000 39.4026
277000 39.7045
278000 39.0105
279000 39.9148
280000 40.121
281000 40.197
282000 40.6552
283000 40.8563
284000 41.6762
285000 40.7266
286000 39.9446
287000 39.8643
288000 39.3857
289000 39.4182
290000 40.0397
291000 39.8874
292000 39.5153
293000 39.5047
294000 40.1492
295000 40.1346
296000 40.2329
297000 41.3723
298000 42.1529
299000 43.1859
300000 43.8287
301000 44.0984
302000 44.1095
303000 44.4733
304000 44.0902
305000 44.6624
306000 44.6278
307000 44.4358
308000 44.3953
309000 45.4888
310000 46.1487
311000 46.4372
312000 47.2273
313000 47.2518
314000 47.5502
