# Time-averaged data for fix avgcoord
# TimeStep c_ac50 c_ac75 c_ac100 c_ac125
1000 0 0 2 7.04
2000 0 0 2.2 7.32
3000 0 0 2.32 7.24
4000 0 0 2.52 7.16
5000 0 0.04 2.36 7.2
6000 0 0 2.2 7.08
7000 0 0 2.36 7.16
8000 0 0 1.96 7.08
9000 0 0.04 2.2 6.84
10000 0 0 2.08 6.96
11000 0 0 2.16 7.2
12000 0 0 2.4 7.04
13000 0 0 2.2 7.12
14000 0 0.04 1.96 6.92
15000 0 0 1.96 6.84
16000 0 0 2.56 6.92
17000 0 0 2.48 7
18000 0 0 2.08 7.64
19000 0 0 1.96 7.44
20000 0 0 2.4 6.88
21000 0 0 2.52 6.96
22000 0 0 2.8 7.28
23000 0 0.04 2.52 7.32
24000 0 0 2.32 7.44
25000 0 0.04 2.32 6.92
26000 0 0 1.8 6.88
27000 0 0 1.48 7.04
28000 0 0 2.08 7
29000 0 0 2.44 6.96
30000 0 0 2.16 7.12
31000 0 0 2.24 7.48
32000 0 0 1.92 7.24
33000 0 0 2.48 7.2
34000 0 0 2.16 7.08
35000 0 0 2.36 7.56
36000 0 0 2.36 7
37000 0 0 2.16 7.32
38000 0 0 2.28 7.24
39000 0 0 1.96 6.76
40000 0 0 2.36 7.4
41000 0 0 2.52 7.44
42000 0 0.04 2.28 7.12
43000 0 0 2.52 6.92
44000 0 0 2.4 7.4
45000 0 0 2.08 6.92
46000 0 0 1.88 6.72
47000 0 0 2.32 7.8
48000 0 0 2.44 7.04
49000 0 0 2.44 7.8
50000 0 0 1.76 7.44
51000 0 0 2.52 7.52
52000 0 0 2.28 7.48
53000 0 0 2.24 7.08
54000 0 0 2.08 7.32
55000 0 0 2.12 7.4
56000 0 0.04 1.88 7.36
57000 0 0 2.88 7.28
58000 0 0 2.32 7.2
59000 0 0 2.36 7.28
60000 0 0 2.32 7.12
61000 0 0 2.12 7.04
62000 0 0 2.52 7.28
63000 0 0 1.84 7.2
64000 0 0 2.4 7.24
65000 0 0.04 2.16 7.08
66000 0 0 2.44 7.44
67000 0 0 2.48 7.52
68000 0 0 2.6 7.36
69000 0 0 2.68 7.16
70000 0 0 2.36 6.8
71000 0 0 2.12 7.16
72000 0 0 2.12 7.56
73000 0 0 2.52 7.24
74000 0 0 2.2 7.04
75000 0 0 2.56 7.24
76000 0 0.04 1.96 7.08
77000 0 0 2.64 6.8
78000 0 0 2.16 7.16
79000 0 0 2.56 7.16
80000 0 0 2.4 7.04
81000 0 0 2.32 7.16
82000 0 0 2.24 6.92
