# Time-averaged data for fix com
# TimeStep c_com[1] c_com[2] c_com[3]
1000 2.25182 1.76441 1.96855
2000 2.25182 1.76441 1.96855
3000 2.25182 1.76441 1.96855
4000 2.25182 1.76441 1.96855
5000 2.25182 1.76441 1.96855
6000 2.25182 1.76441 1.96855
7000 2.25182 1.76441 1.96855
8000 2.25182 1.76441 1.96855
9000 2.25182 1.76441 1.96855
10000 2.25182 1.76441 1.96855
11000 2.25182 1.76441 1.96855
12000 2.25182 1.76441 1.96855
13000 2.25182 1.76441 1.96855
14000 2.25182 1.76441 1.96855
15000 2.25182 1.76441 1.96855
16000 2.25182 1.76441 1.96855
17000 2.25182 1.76441 1.96855
18000 2.25182 1.76441 1.96855
19000 2.25182 1.76441 1.96855
20000 2.25182 1.76441 1.96855
21000 2.25182 1.76441 1.96855
22000 2.25182 1.76441 1.96855
23000 2.25182 1.76441 1.96855
24000 2.25182 1.76441 1.96855
25000 2.25182 1.76441 1.96855
26000 2.25182 1.76441 1.96855
27000 2.25182 1.76441 1.96855
28000 2.25182 1.76441 1.96855
29000 2.25182 1.76441 1.96855
30000 2.25182 1.76441 1.96855
31000 2.25182 1.76441 1.96855
32000 2.25182 1.76441 1.96855
33000 2.25182 1.76441 1.96855
34000 2.25182 1.76441 1.96855
35000 2.25182 1.76441 1.96855
36000 2.25182 1.76441 1.96855
37000 2.25182 1.76441 1.96855
38000 2.25182 1.76441 1.96855
39000 2.25182 1.76441 1.96855
40000 2.25182 1.76441 1.96855
41000 2.25182 1.76441 1.96855
42000 2.25182 1.76441 1.96855
43000 2.25182 1.76441 1.96855
44000 2.25182 1.76441 1.96855
45000 2.25182 1.76441 1.96855
46000 2.25182 1.76441 1.96855
47000 2.25182 1.76441 1.96855
48000 2.25182 1.76441 1.96855
49000 2.25182 1.76441 1.96855
50000 2.25182 1.76441 1.96855
51000 2.25182 1.76441 1.96855
52000 2.25182 1.76441 1.96855
53000 2.25182 1.76441 1.96855
54000 2.25182 1.76441 1.96855
55000 2.25182 1.76441 1.96855
56000 2.25182 1.76441 1.96855
57000 2.25182 1.76441 1.96855
58000 2.25182 1.76441 1.96855
59000 2.25182 1.76441 1.96855
60000 2.25182 1.76441 1.96855
61000 2.25182 1.76441 1.96855
62000 2.25182 1.76441 1.96855
63000 2.25182 1.76441 1.96855
64000 2.25182 1.76441 1.96855
65000 2.25182 1.76441 1.96855
66000 2.25182 1.76441 1.96855
67000 2.25182 1.76441 1.96855
68000 2.25182 1.76441 1.96855
69000 2.25182 1.76441 1.96855
70000 2.25182 1.76441 1.96855
71000 2.25182 1.76441 1.96855
72000 2.25182 1.76441 1.96855
73000 2.25182 1.76441 1.96855
74000 2.25182 1.76441 1.96855
75000 2.25182 1.76441 1.96855
76000 2.25182 1.76441 1.96855
77000 2.25182 1.76441 1.96855
78000 2.25182 1.76441 1.96855
79000 2.25182 1.76441 1.96855
80000 2.25182 1.76441 1.96855
81000 2.25182 1.76441 1.96855
82000 2.25182 1.76441 1.96855
83000 2.25182 1.76441 1.96855
84000 2.25182 1.76441 1.96855
85000 2.25182 1.76441 1.96855
86000 2.25182 1.76441 1.96855
87000 2.25182 1.76441 1.96855
88000 2.25182 1.76441 1.96855
89000 2.25182 1.76441 1.96855
90000 2.25182 1.76441 1.96855
91000 2.25182 1.76441 1.96855
92000 2.25182 1.76441 1.96855
93000 2.25182 1.76441 1.96855
94000 2.25182 1.76441 1.96855
95000 2.25182 1.76441 1.96855
96000 2.25182 1.76441 1.96855
97000 2.25182 1.76441 1.96855
98000 2.25182 1.76441 1.96855
99000 2.25182 1.76441 1.96855
100000 2.25182 1.76441 1.96855
101000 2.25182 1.76441 1.96855
102000 2.25182 1.76441 1.96855
103000 2.25182 1.76441 1.96855
104000 2.25182 1.76441 1.96855
105000 2.25182 1.76441 1.96855
106000 2.25182 1.76441 1.96855
107000 2.25182 1.76441 1.96855
108000 2.25182 1.76441 1.96855
109000 2.25182 1.76441 1.96855
110000 2.25182 1.76441 1.96855
111000 2.25182 1.76441 1.96855
112000 2.25182 1.76441 1.96855
113000 2.25182 1.76441 1.96855
114000 2.25182 1.76441 1.96855
115000 2.25182 1.76441 1.96855
116000 2.25182 1.76441 1.96855
117000 2.25182 1.76441 1.96855
118000 2.25182 1.76441 1.96855
119000 2.25182 1.76441 1.96855
120000 2.25182 1.76441 1.96855
121000 2.25182 1.76441 1.96855
122000 2.25182 1.76441 1.96855
123000 2.25182 1.76441 1.96855
124000 2.25182 1.76441 1.96855
125000 2.25182 1.76441 1.96855
126000 2.25182 1.76441 1.96855
127000 2.25182 1.76441 1.96855
128000 2.25182 1.76441 1.96855
129000 2.25182 1.76441 1.96855
130000 2.25182 1.76441 1.96855
131000 2.25182 1.76441 1.96855
132000 2.25182 1.76441 1.96855
133000 2.25182 1.76441 1.96855
134000 2.25182 1.76441 1.96855
135000 2.25182 1.76441 1.96855
136000 2.25182 1.76441 1.96855
137000 2.25182 1.76441 1.96855
138000 2.25182 1.76441 1.96855
139000 2.25182 1.76441 1.96855
140000 2.25182 1.76441 1.96855
141000 2.25182 1.76441 1.96855
142000 2.25182 1.76441 1.96855
143000 2.25182 1.76441 1.96855
144000 2.25182 1.76441 1.96855
145000 2.25182 1.76441 1.96855
146000 2.25182 1.76441 1.96855
147000 2.25182 1.76441 1.96855
148000 2.25182 1.76441 1.96855
149000 2.25182 1.76441 1.96855
150000 2.25182 1.76441 1.96855
151000 2.25182 1.76441 1.96855
152000 2.25182 1.76441 1.96855
153000 2.25182 1.76441 1.96855
154000 2.25182 1.76441 1.96855
155000 2.25182 1.76441 1.96855
156000 2.25182 1.76441 1.96855
157000 2.25182 1.76441 1.96855
158000 2.25182 1.76441 1.96855
159000 2.25182 1.76441 1.96855
160000 2.25182 1.76441 1.96855
161000 2.25182 1.76441 1.96855
162000 2.25182 1.76441 1.96855
163000 2.25182 1.76441 1.96855
164000 2.25182 1.76441 1.96855
165000 2.25182 1.76441 1.96855
166000 2.25182 1.76441 1.96855
167000 2.25182 1.76441 1.96855
168000 2.25182 1.76441 1.96855
169000 2.25182 1.76441 1.96855
170000 2.25182 1.76441 1.96855
171000 2.25182 1.76441 1.96855
172000 2.25182 1.76441 1.96855
173000 2.25182 1.76441 1.96855
174000 2.25182 1.76441 1.96855
175000 2.25182 1.76441 1.96855
176000 2.25182 1.76441 1.96855
177000 2.25182 1.76441 1.96855
178000 2.25182 1.76441 1.96855
179000 2.25182 1.76441 1.96855
180000 2.25182 1.76441 1.96855
181000 2.25182 1.76441 1.96855
182000 2.25182 1.76441 1.96855
183000 2.25182 1.76441 1.96855
184000 2.25182 1.76441 1.96855
185000 2.25182 1.76441 1.96855
186000 2.25182 1.76441 1.96855
187000 2.25182 1.76441 1.96855
188000 2.25182 1.76441 1.96855
189000 2.25182 1.76441 1.96855
190000 2.25182 1.76441 1.96855
191000 2.25182 1.76441 1.96855
192000 2.25182 1.76441 1.96855
193000 2.25182 1.76441 1.96855
194000 2.25182 1.76441 1.96855
195000 2.25182 1.76441 1.96855
