# Time-averaged data for fix com
# TimeStep c_com[1] c_com[2] c_com[3]
1000 5.19701 5.09916 5.43153
2000 5.19701 5.09916 5.43153
3000 5.19701 5.09916 5.43153
4000 5.19701 5.09916 5.43153
5000 5.19701 5.09916 5.43153
6000 5.19701 5.09916 5.43153
7000 5.19701 5.09916 5.43153
8000 5.19701 5.09916 5.43153
9000 5.19701 5.09916 5.43153
10000 5.19701 5.09916 5.43153
11000 5.19701 5.09916 5.43153
12000 5.19701 5.09916 5.43153
13000 5.19701 5.09916 5.43153
14000 5.19701 5.09916 5.43153
15000 5.19701 5.09916 5.43153
16000 5.19701 5.09916 5.43153
17000 5.19701 5.09916 5.43153
18000 5.19701 5.09916 5.43153
19000 5.19701 5.09916 5.43153
20000 5.19701 5.09916 5.43153
21000 5.19701 5.09916 5.43153
22000 5.19701 5.09916 5.43153
23000 5.19701 5.09916 5.43153
24000 5.19701 5.09916 5.43153
25000 5.19701 5.09916 5.43153
26000 5.19701 5.09916 5.43153
27000 5.19701 5.09916 5.43153
28000 5.19701 5.09916 5.43153
29000 5.19701 5.09916 5.43153
30000 5.19701 5.09916 5.43153
31000 5.19701 5.09916 5.43153
32000 5.19701 5.09916 5.43153
33000 5.19701 5.09916 5.43153
34000 5.19701 5.09916 5.43153
35000 5.19701 5.09916 5.43153
36000 5.19701 5.09916 5.43153
37000 5.19701 5.09916 5.43153
38000 5.19701 5.09916 5.43153
39000 5.19701 5.09916 5.43153
40000 5.19701 5.09916 5.43153
41000 5.19701 5.09916 5.43153
42000 5.19701 5.09916 5.43153
43000 5.19701 5.09916 5.43153
44000 5.19701 5.09916 5.43153
45000 5.19701 5.09916 5.43153
46000 5.19701 5.09916 5.43153
47000 5.19701 5.09916 5.43153
48000 5.19701 5.09916 5.43153
49000 5.19701 5.09916 5.43153
50000 5.19701 5.09916 5.43153
51000 5.19701 5.09916 5.43153
52000 5.19701 5.09916 5.43153
53000 5.19701 5.09916 5.43153
54000 5.19701 5.09916 5.43153
55000 5.19701 5.09916 5.43153
56000 5.19701 5.09916 5.43153
57000 5.19701 5.09916 5.43153
58000 5.19701 5.09916 5.43153
59000 5.19701 5.09916 5.43153
60000 5.19701 5.09916 5.43153
61000 5.19701 5.09916 5.43153
62000 5.19701 5.09916 5.43153
63000 5.19701 5.09916 5.43153
64000 5.19701 5.09916 5.43153
65000 5.19701 5.09916 5.43153
66000 5.19701 5.09916 5.43153
67000 5.19701 5.09916 5.43153
68000 5.19701 5.09916 5.43153
69000 5.19701 5.09916 5.43153
