time,fx,fy,fz
10000.0,161.695,9.84068,-40.7594
20000.0,-172.345,-18.2285,45.641
30000.0,-36.7093,-28.895,-8.85099
40000.0,153.634,75.978,-6.60478
50000.0,-206.262,-141.552,-130.495
60000.0,-205.571,4.65763,-36.9073
70000.0,-84.4129,71.5059,42.3982
80000.0,88.4294,157.283,-38.7258
90000.0,-225.104,222.522,-58.6842
100000.0,71.3008,58.231,33.5048
110000.0,-62.0618,-170.935,-13.6739
120000.0,-54.9506,125.824,305.931
130000.0,15.9968,-106.847,-255.266
140000.0,-98.4676,-184.735,-328.544
150000.0,294.363,330.915,275.538
160000.0,12.1154,-23.1099,-185.194
170000.0,-136.6,100.921,-77.2772
180000.0,52.8431,230.3,100.563
190000.0,224.019,72.1137,47.539
200000.0,82.6851,66.6819,144.631
210000.0,-8.72727,58.4911,594.987
220000.0,89.5079,154.413,98.3121
230000.0,193.36,284.954,438.763
240000.0,75.6703,101.469,66.6896
250000.0,7.52526,-5.01311,174.366
260000.0,100.878,-110.542,37.8127
270000.0,10.0774,-81.399,-214.528
280000.0,24.8342,138.618,353.521
290000.0,-52.3746,35.4081,357.661
300000.0,-85.26,128.581,-283.218
310000.0,19.7333,-82.6173,197.913
320000.0,78.1197,-4.5646,-108.995
330000.0,-137.248,36.2201,22.8161
340000.0,140.665,-232.317,20.3911
350000.0,74.518,-50.9574,-15.8188
360000.0,21.86,143.919,38.9702
370000.0,1.71132,31.5292,140.562
380000.0,-48.3328,-26.6452,-43.9058
390000.0,-96.3728,-34.6003,196.374
400000.0,79.402,60.9797,-75.4313
410000.0,13.6382,12.5362,-104.035
420000.0,-93.452,106.218,-34.3797
430000.0,-47.6018,55.4686,73.6886
440000.0,-36.2877,-169.06,182.639
450000.0,148.407,-266.644,-97.4952
460000.0,-27.6109,8.94745,66.5323
470000.0,57.3005,-89.17,141.084
480000.0,58.2256,-102.7,82.0247
490000.0,45.2316,31.5594,89.5494
500000.0,57.8089,-296.173,-24.8978
510000.0,68.2156,137.012,-160.421
520000.0,-158.947,-32.3622,-50.1728
530000.0,71.5869,-155.449,106.987
540000.0,-35.969,101.989,132.085
550000.0,-15.4173,-39.9544,39.8625
560000.0,42.9188,-71.9212,323.326
570000.0,-95.6044,-45.0777,77.7412
580000.0,-11.5159,214.85,-53.7591
590000.0,60.9857,1.00743,68.6227
600000.0,35.9242,248.086,296.556
610000.0,171.899,-227.272,-90.8228
620000.0,97.7372,-8.57914,-341.708
630000.0,72.964,140.296,177.705
640000.0,23.1443,-150.814,-229.149
650000.0,-28.9693,31.4703,225.011
660000.0,-63.9042,25.8263,282.608
670000.0,7.76703,-42.7717,45.7969
680000.0,112.743,-19.7477,41.0022
690000.0,149.373,-11.349,-148.486
700000.0,-12.9789,-41.7894,-164.547
710000.0,40.6861,-155.411,47.1656
720000.0,-120.455,202.249,464.399
730000.0,-61.2264,-55.3573,59.874
740000.0,170.737,-71.2494,-99.168
750000.0,-62.7966,86.368,-285.231
760000.0,-107.262,102.338,117.773
770000.0,0.276278,-94.5633,-129.215
780000.0,-78.4416,19.5295,175.991
790000.0,-147.928,19.6393,1.21366
800000.0,-166.855,45.0154,136.265
810000.0,232.156,23.0679,-343.311
820000.0,78.4833,-42.1215,-194.184
830000.0,-128.071,165.941,176.615
840000.0,-77.0648,-14.2797,25.0759
850000.0,-195.328,71.9044,130.662
860000.0,68.7299,15.6453,62.7047
870000.0,97.4987,-125.249,-154.206
880000.0,234.255,-212.814,-338.227
890000.0,-38.2051,-35.8078,98.9962
900000.0,215.853,-47.8858,37.1136
910000.0,243.811,-131.864,-425.334
920000.0,-13.1546,127.022,354.221
930000.0,-73.015,-42.6115,330.058
940000.0,-98.6696,188.173,-36.8026
950000.0,-43.8773,-28.9212,-108.581
960000.0,329.241,-216.014,-369.694
970000.0,-35.2441,-38.1229,-50.3967
980000.0,-62.2298,-217.715,13.7545
990000.0,51.8769,103.777,130.016
1000000.0,-35.148,159.425,113.269
