# Time-averaged data for fix avgcoord
# TimeStep c_ac1 c_ac2
1000 1.292 3.912
2000 1.357 4.33
3000 1.383 4.546
4000 1.409 4.696
5000 1.422 4.809
6000 1.438 4.903
7000 1.435 4.956
8000 1.442 4.999
9000 1.454 5.061
10000 1.472 5.103
11000 1.479 5.137
12000 1.484 5.191
13000 1.473 5.223
14000 1.474 5.247
15000 1.474 5.28
16000 1.484 5.275
17000 1.492 5.302
18000 1.5 5.327
19000 1.494 5.343
20000 1.488 5.367
21000 1.498 5.382
22000 1.502 5.381
23000 1.505 5.377
24000 1.512 5.403
25000 1.523 5.409
26000 1.517 5.42
27000 1.508 5.413
28000 1.508 5.425
29000 1.511 5.441
30000 1.506 5.442
31000 1.506 5.461
32000 1.512 5.482
33000 1.518 5.458
34000 1.513 5.458
35000 1.508 5.454
36000 1.514 5.465
37000 1.516 5.449
38000 1.509 5.475
39000 1.514 5.491
40000 1.509 5.491
41000 1.514 5.482
42000 1.511 5.485
43000 1.518 5.503
44000 1.51 5.486
45000 1.52 5.487
46000 1.513 5.504
47000 1.516 5.512
48000 1.519 5.507
49000 1.524 5.492
50000 1.521 5.507
51000 1.527 5.511
52000 1.53 5.507
53000 1.517 5.506
54000 1.518 5.489
55000 1.53 5.508
56000 1.523 5.497
57000 1.524 5.494
58000 1.533 5.498
59000 1.53 5.501
60000 1.531 5.5
61000 1.524 5.497
62000 1.521 5.506
63000 1.523 5.512
64000 1.53 5.504
65000 1.534 5.526
66000 1.526 5.524
67000 1.522 5.523
68000 1.523 5.526
69000 1.525 5.542
70000 1.517 5.549
71000 1.525 5.544
72000 1.529 5.567
73000 1.528 5.556
74000 1.53 5.563
75000 1.531 5.56
76000 1.528 5.56
77000 1.525 5.57
78000 1.533 5.562
79000 1.524 5.568
80000 1.529 5.568
81000 1.523 5.559
82000 1.53 5.564
83000 1.534 5.552
84000 1.528 5.563
85000 1.53 5.563
86000 1.523 5.564
87000 1.531 5.567
88000 1.522 5.57
89000 1.526 5.585
90000 1.534 5.585
91000 1.522 5.595
92000 1.53 5.593
93000 1.528 5.582
94000 1.536 5.589
95000 1.538 5.6
96000 1.532 5.602
97000 1.526 5.594
98000 1.533 5.596
99000 1.538 5.615
100000 1.522 5.617
101000 1.534 5.612
102000 1.524 5.592
103000 1.527 5.602
104000 1.533 5.591
105000 1.54 5.603
106000 1.538 5.594
107000 1.535 5.6
108000 1.537 5.59
109000 1.533 5.597
110000 1.533 5.58
111000 1.532 5.584
112000 1.536 5.602
113000 1.537 5.585
114000 1.532 5.589
115000 1.539 5.605
116000 1.528 5.598
117000 1.53 5.604
118000 1.522 5.609
119000 1.53 5.592
120000 1.53 5.617
121000 1.538 5.606
122000 1.527 5.623
123000 1.529 5.619
124000 1.533 5.604
125000 1.54 5.627
126000 1.538 5.614
127000 1.539 5.614
128000 1.539 5.617
129000 1.534 5.625
130000 1.524 5.631
131000 1.533 5.634
132000 1.528 5.645
133000 1.536 5.653
134000 1.538 5.65
135000 1.533 5.638
136000 1.529 5.648
137000 1.532 5.649
138000 1.524 5.638
139000 1.533 5.646
140000 1.539 5.652
141000 1.535 5.634
142000 1.53 5.641
143000 1.528 5.635
144000 1.529 5.654
145000 1.523 5.652
146000 1.531 5.651
147000 1.53 5.652
148000 1.535 5.642
149000 1.534 5.637
150000 1.539 5.65
151000 1.539 5.65
152000 1.525 5.647
153000 1.531 5.638
154000 1.534 5.635
155000 1.535 5.651
156000 1.54 5.643
157000 1.538 5.638
158000 1.534 5.655
159000 1.536 5.651
160000 1.54 5.65
161000 1.54 5.658
162000 1.528 5.651
163000 1.535 5.655
164000 1.542 5.642
165000 1.535 5.637
166000 1.544 5.637
167000 1.545 5.642
168000 1.537 5.653
169000 1.535 5.633
170000 1.542 5.65
171000 1.539 5.659
172000 1.538 5.667
173000 1.544 5.672
174000 1.543 5.649
175000 1.547 5.661
176000 1.544 5.655
177000 1.544 5.661
178000 1.546 5.665
179000 1.551 5.641
180000 1.542 5.66
181000 1.542 5.657
182000 1.542 5.644
183000 1.532 5.636
184000 1.539 5.635
185000 1.541 5.665
186000 1.542 5.667
187000 1.536 5.659
188000 1.536 5.678
189000 1.532 5.676
190000 1.541 5.674
191000 1.534 5.69
192000 1.535 5.663
193000 1.539 5.682
194000 1.541 5.68
195000 1.544 5.683
196000 1.545 5.677
197000 1.54 5.681
198000 1.538 5.7
199000 1.546 5.673
200000 1.547 5.687
201000 1.543 5.674
202000 1.546 5.681
203000 1.54 5.685
204000 1.543 5.707
205000 1.544 5.703
206000 1.547 5.705
207000 1.544 5.681
208000 1.538 5.703
209000 1.543 5.698
210000 1.54 5.682
211000 1.539 5.704
212000 1.536 5.701
213000 1.542 5.709
214000 1.541 5.735
215000 1.537 5.725
216000 1.543 5.713
217000 1.539 5.718
218000 1.538 5.713
219000 1.545 5.706
220000 1.54 5.696
221000 1.538 5.704
222000 1.543 5.696
223000 1.544 5.708
224000 1.544 5.703
225000 1.543 5.685
226000 1.546 5.699
227000 1.547 5.72
228000 1.542 5.725
229000 1.54 5.711
230000 1.544 5.697
231000 1.546 5.709
232000 1.541 5.716
233000 1.536 5.717
234000 1.546 5.707
235000 1.534 5.707
236000 1.55 5.705
237000 1.541 5.706
238000 1.532 5.692
239000 1.541 5.701
240000 1.547 5.701
241000 1.542 5.706
242000 1.531 5.704
243000 1.544 5.699
244000 1.544 5.692
245000 1.546 5.702
246000 1.544 5.711
247000 1.539 5.721
248000 1.546 5.716
249000 1.548 5.721
250000 1.545 5.71
251000 1.544 5.71
252000 1.542 5.71
253000 1.549 5.716
254000 1.554 5.704
255000 1.546 5.715
256000 1.546 5.708
257000 1.545 5.713
258000 1.546 5.715
259000 1.545 5.717
260000 1.55 5.707
261000 1.543 5.724
262000 1.538 5.717
263000 1.549 5.713
264000 1.546 5.706
265000 1.546 5.727
266000 1.547 5.727
267000 1.547 5.72
268000 1.548 5.721
269000 1.548 5.724
270000 1.548 5.73
271000 1.546 5.724
272000 1.54 5.728
273000 1.546 5.729
274000 1.538 5.731
275000 1.542 5.74
276000 1.542 5.735
277000 1.542 5.735
278000 1.545 5.718
279000 1.534 5.735
280000 1.543 5.733
281000 1.532 5.74
282000 1.543 5.737
283000 1.546 5.746
284000 1.546 5.739
285000 1.535 5.73
286000 1.545 5.742
287000 1.545 5.736
288000 1.538 5.744
289000 1.539 5.718
290000 1.545 5.732
291000 1.548 5.718
292000 1.549 5.721
293000 1.545 5.734
294000 1.551 5.723
295000 1.542 5.742
296000 1.542 5.744
297000 1.537 5.734
298000 1.545 5.716
299000 1.538 5.725
300000 1.538 5.732
301000 1.542 5.737
302000 1.538 5.728
303000 1.542 5.711
304000 1.541 5.728
305000 1.538 5.716
306000 1.543 5.727
307000 1.54 5.722
308000 1.536 5.723
309000 1.543 5.72
310000 1.541 5.728
311000 1.538 5.721
312000 1.533 5.727
313000 1.535 5.711
314000 1.531 5.726
315000 1.542 5.75
316000 1.549 5.72
317000 1.55 5.717
318000 1.54 5.735
319000 1.549 5.731
320000 1.545 5.742
321000 1.543 5.738
322000 1.552 5.745
323000 1.552 5.737
324000 1.549 5.735
325000 1.55 5.737
326000 1.548 5.755
327000 1.548 5.746
328000 1.546 5.745
329000 1.548 5.738
330000 1.548 5.733
331000 1.54 5.741
332000 1.54 5.734
333000 1.546 5.746
334000 1.546 5.743
335000 1.545 5.744
336000 1.54 5.748
337000 1.545 5.749
338000 1.546 5.737
339000 1.536 5.742
340000 1.539 5.749
341000 1.56 5.747
342000 1.546 5.743
343000 1.545 5.738
344000 1.542 5.741
345000 1.54 5.726
346000 1.552 5.745
347000 1.552 5.753
348000 1.546 5.745
349000 1.541 5.734
350000 1.548 5.749
351000 1.548 5.751
352000 1.542 5.748
353000 1.546 5.749
354000 1.552 5.758
355000 1.542 5.734
356000 1.54 5.755
357000 1.539 5.764
358000 1.54 5.767
359000 1.545 5.757
360000 1.535 5.754
361000 1.541 5.775
362000 1.54 5.743
363000 1.548 5.753
364000 1.548 5.746
365000 1.532 5.768
366000 1.541 5.754
367000 1.545 5.752
368000 1.538 5.73
369000 1.543 5.734
370000 1.548 5.741
371000 1.544 5.739
372000 1.549 5.749
373000 1.542 5.758
374000 1.54 5.754
375000 1.549 5.741
376000 1.558 5.75
377000 1.549 5.762
378000 1.555 5.736
379000 1.55 5.765
380000 1.541 5.75
381000 1.542 5.757
382000 1.549 5.756
383000 1.549 5.74
384000 1.543 5.745
385000 1.54 5.754
386000 1.541 5.756
387000 1.539 5.742
388000 1.541 5.757
389000 1.536 5.757
390000 1.542 5.749
391000 1.537 5.75
392000 1.534 5.752
393000 1.546 5.756
394000 1.534 5.734
395000 1.541 5.748
396000 1.537 5.75
397000 1.542 5.749
398000 1.541 5.763
399000 1.543 5.762
400000 1.54 5.75
401000 1.547 5.758
402000 1.544 5.754
403000 1.537 5.767
404000 1.541 5.769
405000 1.533 5.756
406000 1.541 5.764
407000 1.539 5.757
408000 1.535 5.757
409000 1.545 5.751
410000 1.538 5.758
411000 1.545 5.753
412000 1.534 5.759
413000 1.545 5.774
414000 1.547 5.769
415000 1.548 5.78
416000 1.541 5.76
417000 1.538 5.758
418000 1.554 5.756
419000 1.537 5.765
420000 1.547 5.765
421000 1.546 5.765
422000 1.542 5.766
423000 1.538 5.767
424000 1.538 5.775
425000 1.532 5.766
426000 1.534 5.76
427000 1.538 5.755
428000 1.538 5.778
429000 1.537 5.768
430000 1.528 5.776
431000 1.53 5.785
432000 1.529 5.787
433000 1.541 5.778
434000 1.539 5.786
435000 1.543 5.792
436000 1.537 5.795
437000 1.535 5.779
438000 1.538 5.777
439000 1.541 5.778
440000 1.537 5.787
441000 1.542 5.779
442000 1.54 5.771
443000 1.537 5.771
444000 1.536 5.777
445000 1.541 5.777
446000 1.539 5.777
447000 1.547 5.776
448000 1.544 5.782
449000 1.535 5.784
450000 1.533 5.774
451000 1.542 5.76
452000 1.54 5.781
453000 1.54 5.77
454000 1.548 5.765
455000 1.542 5.78
456000 1.544 5.794
457000 1.538 5.79
458000 1.54 5.785
459000 1.548 5.791
460000 1.541 5.78
461000 1.544 5.785
462000 1.541 5.789
463000 1.541 5.783
464000 1.544 5.785
465000 1.543 5.788
466000 1.539 5.796
467000 1.544 5.773
468000 1.547 5.782
469000 1.549 5.787
470000 1.543 5.783
471000 1.544 5.783
472000 1.54 5.781
473000 1.546 5.786
474000 1.543 5.798
475000 1.544 5.795
476000 1.545 5.787
477000 1.54 5.786
478000 1.54 5.785
479000 1.538 5.785
480000 1.548 5.792
481000 1.535 5.789
482000 1.552 5.787
483000 1.545 5.796
484000 1.539 5.784
485000 1.542 5.808
486000 1.543 5.785
487000 1.546 5.792
488000 1.536 5.789
489000 1.541 5.785
490000 1.542 5.791
491000 1.544 5.796
492000 1.544 5.782
493000 1.539 5.783
494000 1.542 5.787
495000 1.543 5.802
496000 1.539 5.8
497000 1.548 5.802
498000 1.545 5.78
499000 1.548 5.799
500000 1.548 5.804
501000 1.55 5.799
502000 1.542 5.801
503000 1.549 5.797
504000 1.548 5.796
505000 1.539 5.809
506000 1.538 5.822
507000 1.537 5.8
508000 1.554 5.812
509000 1.539 5.809
510000 1.544 5.807
511000 1.545 5.807
512000 1.549 5.806
513000 1.542 5.8
514000 1.544 5.789
515000 1.551 5.798
516000 1.549 5.812
517000 1.543 5.799
518000 1.55 5.802
519000 1.548 5.821
520000 1.551 5.813
521000 1.546 5.803
522000 1.546 5.805
523000 1.55 5.806
524000 1.542 5.811
525000 1.549 5.798
526000 1.55 5.797
527000 1.54 5.799
528000 1.541 5.806
529000 1.542 5.825
530000 1.54 5.823
531000 1.544 5.804
532000 1.548 5.799
533000 1.552 5.799
534000 1.547 5.792
535000 1.549 5.802
536000 1.548 5.812
537000 1.544 5.806
538000 1.54 5.794
539000 1.55 5.811
540000 1.54 5.8
541000 1.542 5.811
542000 1.549 5.78
543000 1.547 5.809
544000 1.544 5.794
545000 1.554 5.817
546000 1.548 5.802
547000 1.542 5.799
548000 1.543 5.801
549000 1.548 5.806
550000 1.54 5.795
551000 1.542 5.807
552000 1.545 5.785
553000 1.544 5.793
554000 1.546 5.795
555000 1.548 5.8
556000 1.553 5.802
557000 1.549 5.8
558000 1.55 5.797
559000 1.556 5.811
560000 1.544 5.811
561000 1.549 5.802
562000 1.548 5.796
563000 1.55 5.805
564000 1.552 5.805
565000 1.552 5.807
566000 1.545 5.814
567000 1.547 5.811
568000 1.544 5.81
569000 1.54 5.825
570000 1.547 5.806
571000 1.543 5.798
572000 1.541 5.819
573000 1.54 5.813
574000 1.535 5.8
575000 1.542 5.797
576000 1.541 5.789
577000 1.549 5.789
578000 1.55 5.785
579000 1.542 5.787
580000 1.55 5.796
581000 1.541 5.81
582000 1.549 5.805
583000 1.537 5.791
584000 1.538 5.792
585000 1.542 5.793
586000 1.544 5.796
587000 1.545 5.808
588000 1.547 5.791
589000 1.543 5.797
590000 1.544 5.795
591000 1.542 5.811
592000 1.543 5.803
593000 1.532 5.81
594000 1.54 5.807
595000 1.54 5.808
596000 1.53 5.815
597000 1.538 5.79
598000 1.536 5.796
599000 1.534 5.793
600000 1.536 5.786
601000 1.541 5.793
602000 1.541 5.807
603000 1.532 5.815
604000 1.539 5.829
605000 1.545 5.808
