# Time-averaged data for fix com
# TimeStep c_com[1] c_com[2] c_com[3]
1000 4.36135 4.25875 4.2449
2000 4.36135 4.25875 4.2449
3000 4.36135 4.25875 4.2449
4000 4.36135 4.25875 4.2449
5000 4.36135 4.25875 4.2449
6000 4.36135 4.25875 4.2449
7000 4.36135 4.25875 4.2449
8000 4.36135 4.25875 4.2449
9000 4.36135 4.25875 4.2449
10000 4.36135 4.25875 4.2449
11000 4.36135 4.25875 4.2449
12000 4.36135 4.25875 4.2449
13000 4.36135 4.25875 4.2449
14000 4.36135 4.25875 4.2449
15000 4.36135 4.25875 4.2449
16000 4.36135 4.25875 4.2449
17000 4.36135 4.25875 4.2449
18000 4.36135 4.25875 4.2449
19000 4.36135 4.25875 4.2449
20000 4.36135 4.25875 4.2449
21000 4.36135 4.25875 4.2449
22000 4.36135 4.25875 4.2449
23000 4.36135 4.25875 4.2449
24000 4.36135 4.25875 4.2449
25000 4.36135 4.25875 4.2449
26000 4.36135 4.25875 4.2449
27000 4.36135 4.25875 4.2449
28000 4.36135 4.25875 4.2449
29000 4.36135 4.25875 4.2449
30000 4.36135 4.25875 4.2449
31000 4.36135 4.25875 4.2449
32000 4.36135 4.25875 4.2449
33000 4.36135 4.25875 4.2449
34000 4.36135 4.25875 4.2449
35000 4.36135 4.25875 4.2449
36000 4.36135 4.25875 4.2449
37000 4.36135 4.25875 4.2449
38000 4.36135 4.25875 4.2449
39000 4.36135 4.25875 4.2449
40000 4.36135 4.25875 4.2449
41000 4.36135 4.25875 4.2449
42000 4.36135 4.25875 4.2449
43000 4.36135 4.25875 4.2449
44000 4.36135 4.25875 4.2449
45000 4.36135 4.25875 4.2449
46000 4.36135 4.25875 4.2449
47000 4.36135 4.25875 4.2449
48000 4.36135 4.25875 4.2449
49000 4.36135 4.25875 4.2449
50000 4.36135 4.25875 4.2449
51000 4.36135 4.25875 4.2449
52000 4.36135 4.25875 4.2449
53000 4.36135 4.25875 4.2449
54000 4.36135 4.25875 4.2449
55000 4.36135 4.25875 4.2449
56000 4.36135 4.25875 4.2449
57000 4.36135 4.25875 4.2449
58000 4.36135 4.25875 4.2449
59000 4.36135 4.25875 4.2449
60000 4.36135 4.25875 4.2449
61000 4.36135 4.25875 4.2449
62000 4.36135 4.25875 4.2449
63000 4.36135 4.25875 4.2449
64000 4.36135 4.25875 4.2449
65000 4.36135 4.25875 4.2449
66000 4.36135 4.25875 4.2449
67000 4.36135 4.25875 4.2449
68000 4.36135 4.25875 4.2449
69000 4.36135 4.25875 4.2449
70000 4.36135 4.25875 4.2449
71000 4.36135 4.25875 4.2449
72000 4.36135 4.25875 4.2449
73000 4.36135 4.25875 4.2449
74000 4.36135 4.25875 4.2449
75000 4.36135 4.25875 4.2449
76000 4.36135 4.25875 4.2449
77000 4.36135 4.25875 4.2449
78000 4.36135 4.25875 4.2449
79000 4.36135 4.25875 4.2449
80000 4.36135 4.25875 4.2449
81000 4.36135 4.25875 4.2449
82000 4.36135 4.25875 4.2449
83000 4.36135 4.25875 4.2449
84000 4.36135 4.25875 4.2449
85000 4.36135 4.25875 4.2449
86000 4.36135 4.25875 4.2449
87000 4.36135 4.25875 4.2449
88000 4.36135 4.25875 4.2449
89000 4.36135 4.25875 4.2449
90000 4.36135 4.25875 4.2449
91000 4.36135 4.25875 4.2449
92000 4.36135 4.25875 4.2449
93000 4.36135 4.25875 4.2449
94000 4.36135 4.25875 4.2449
95000 4.36135 4.25875 4.2449
96000 4.36135 4.25875 4.2449
97000 4.36135 4.25875 4.2449
98000 4.36135 4.25875 4.2449
99000 4.36135 4.25875 4.2449
100000 4.36135 4.25875 4.2449
101000 4.36135 4.25875 4.2449
102000 4.36135 4.25875 4.2449
103000 4.36135 4.25875 4.2449
104000 4.36135 4.25875 4.2449
105000 4.36135 4.25875 4.2449
106000 4.36135 4.25875 4.2449
107000 4.36135 4.25875 4.2449
108000 4.36135 4.25875 4.2449
109000 4.36135 4.25875 4.2449
110000 4.36135 4.25875 4.2449
111000 4.36135 4.25875 4.2449
112000 4.36135 4.25875 4.2449
113000 4.36135 4.25875 4.2449
114000 4.36135 4.25875 4.2449
115000 4.36135 4.25875 4.2449
116000 4.36135 4.25875 4.2449
117000 4.36135 4.25875 4.2449
118000 4.36135 4.25875 4.2449
119000 4.36135 4.25875 4.2449
120000 4.36135 4.25875 4.2449
121000 4.36135 4.25875 4.2449
122000 4.36135 4.25875 4.2449
123000 4.36135 4.25875 4.2449
124000 4.36135 4.25875 4.2449
125000 4.36135 4.25875 4.2449
126000 4.36135 4.25875 4.2449
127000 4.36135 4.25875 4.2449
128000 4.36135 4.25875 4.2449
129000 4.36135 4.25875 4.2449
130000 4.36135 4.25875 4.2449
131000 4.36135 4.25875 4.2449
132000 4.36135 4.25875 4.2449
133000 4.36135 4.25875 4.2449
134000 4.36135 4.25875 4.2449
135000 4.36135 4.25875 4.2449
136000 4.36135 4.25875 4.2449
