# Time-averaged data for fix avgcoord
# TimeStep c_ac1 c_ac2
1000 0.291 1.035
2000 0.322 1.004
3000 0.32 1.004
4000 0.283 0.961
5000 0.271 0.981
6000 0.299 1.013
7000 0.292 0.94
8000 0.293 0.965
9000 0.335 1.011
10000 0.312 0.978
11000 0.315 0.967
12000 0.339 1.017
13000 0.332 1.05
14000 0.34 1.054
15000 0.289 0.961
16000 0.324 1.028
17000 0.346 1.078
18000 0.324 1.004
19000 0.304 0.98
20000 0.299 1.015
21000 0.304 1.032
22000 0.299 0.939
23000 0.337 1.093
24000 0.299 0.997
25000 0.332 0.946
26000 0.327 1.057
27000 0.319 1.027
28000 0.324 1.008
29000 0.343 0.987
30000 0.329 1.057
31000 0.316 1.042
32000 0.302 0.95
33000 0.287 0.971
34000 0.301 0.911
35000 0.32 0.994
36000 0.282 0.968
37000 0.335 1.103
38000 0.347 1.067
39000 0.327 0.969
40000 0.334 1.04
41000 0.299 0.957
42000 0.336 1.018
43000 0.312 1.052
44000 0.302 1.056
45000 0.319 1.025
46000 0.319 0.989
47000 0.323 0.989
48000 0.32 0.986
49000 0.308 1.03
50000 0.298 1.026
51000 0.312 1.016
52000 0.31 1.048
53000 0.329 1.059
54000 0.323 1.043
55000 0.326 1.042
56000 0.336 1.014
57000 0.324 1.018
58000 0.293 1.061
59000 0.293 1.077
60000 0.28 0.934
61000 0.278 0.992
62000 0.324 1.08
63000 0.332 1.074
64000 0.321 1.063
65000 0.319 0.985
66000 0.316 1
67000 0.296 0.952
68000 0.319 1.069
69000 0.3 1.062
70000 0.313 1.073
71000 0.281 0.979
72000 0.302 1.004
73000 0.318 1.058
74000 0.321 0.997
75000 0.359 1.009
76000 0.345 0.995
77000 0.33 1.042
78000 0.326 1.004
79000 0.29 0.98
80000 0.298 1.012
81000 0.316 1.046
82000 0.276 0.958
83000 0.268 0.958
84000 0.336 1.046
85000 0.336 1.03
86000 0.296 0.96
87000 0.303 1.019
88000 0.305 0.999
89000 0.296 0.99
90000 0.304 1.022
91000 0.331 1.015
92000 0.318 1.014
93000 0.293 1.001
94000 0.287 1.033
95000 0.315 1.107
96000 0.279 0.961
97000 0.298 0.986
98000 0.283 0.947
99000 0.313 1.031
100000 0.321 1.033
101000 0.313 1.065
102000 0.288 1.018
103000 0.302 0.982
104000 0.308 1.014
105000 0.301 1.017
106000 0.294 0.95
107000 0.282 0.928
108000 0.294 0.97
109000 0.301 1.023
110000 0.289 0.965
111000 0.333 1.027
112000 0.327 0.959
113000 0.327 1.005
114000 0.347 1.105
115000 0.334 1.03
116000 0.307 0.981
117000 0.297 1.015
118000 0.311 0.991
119000 0.325 1.021
120000 0.339 1.035
121000 0.308 0.992
122000 0.327 1.029
123000 0.307 1.031
124000 0.328 1.082
125000 0.296 0.902
126000 0.315 1.011
127000 0.298 1.03
128000 0.288 1.01
129000 0.301 1.057
130000 0.292 1.03
131000 0.305 1.081
132000 0.314 1.128
133000 0.311 0.967
134000 0.301 0.993
135000 0.281 0.995
136000 0.332 1.034
137000 0.32 0.994
138000 0.305 0.979
139000 0.314 0.99
140000 0.307 1.029
141000 0.31 0.994
142000 0.313 1.011
143000 0.323 1.039
144000 0.312 1.07
145000 0.305 0.979
146000 0.285 0.939
147000 0.315 1.031
148000 0.308 0.966
149000 0.282 0.986
150000 0.277 0.951
151000 0.301 1.067
152000 0.319 0.933
153000 0.308 1.064
154000 0.336 1.074
155000 0.343 1.049
156000 0.311 1.047
157000 0.296 1.068
158000 0.327 1.063
159000 0.303 0.989
160000 0.329 0.999
161000 0.341 1.035
162000 0.324 0.96
163000 0.302 0.934
164000 0.305 1.015
165000 0.32 0.992
166000 0.306 1.022
167000 0.296 0.97
168000 0.314 1.062
169000 0.296 1.036
170000 0.299 0.993
171000 0.322 1.01
172000 0.281 0.965
173000 0.284 1.018
174000 0.291 0.991
175000 0.27 0.942
176000 0.295 1.043
177000 0.293 1.009
178000 0.322 1.024
179000 0.329 1.029
180000 0.312 1.002
181000 0.29 1.022
182000 0.286 0.886
183000 0.3 0.984
184000 0.304 0.988
185000 0.309 1.023
186000 0.315 1.011
187000 0.297 0.973
188000 0.308 1.054
189000 0.287 0.969
190000 0.318 1.068
191000 0.301 0.983
192000 0.287 0.971
193000 0.288 0.998
194000 0.324 0.952
195000 0.348 0.98
196000 0.344 0.998
197000 0.335 1.031
198000 0.304 0.96
199000 0.323 1.051
200000 0.325 1.011
201000 0.331 1.051
202000 0.366 1.002
203000 0.354 1.028
204000 0.323 1.053
205000 0.313 0.977
206000 0.335 1.025
207000 0.321 1.061
208000 0.296 1.018
209000 0.318 1.048
210000 0.287 0.993
211000 0.292 0.954
212000 0.312 0.994
213000 0.325 1.061
214000 0.338 1.074
215000 0.313 0.995
216000 0.346 1.008
217000 0.315 0.985
218000 0.342 1.064
219000 0.32 0.988
220000 0.315 1.013
221000 0.3 0.968
222000 0.309 0.937
223000 0.348 1.022
224000 0.326 0.966
225000 0.33 1.004
226000 0.311 1.011
227000 0.341 1.063
228000 0.329 0.949
229000 0.283 0.981
230000 0.294 0.976
231000 0.299 0.985
232000 0.307 0.991
233000 0.315 1.029
234000 0.294 0.994
235000 0.27 0.978
236000 0.285 0.975
237000 0.286 1.054
238000 0.318 1.058
239000 0.329 1.055
240000 0.312 1.05
241000 0.306 1.048
242000 0.304 1.044
243000 0.281 1.005
244000 0.325 1.057
245000 0.347 1.047
246000 0.331 1.043
247000 0.306 1.002
248000 0.339 1.017
249000 0.306 0.986
250000 0.31 1.03
251000 0.307 1.081
252000 0.312 1.022
253000 0.286 0.98
254000 0.306 0.972
255000 0.337 1.011
256000 0.307 1.017
257000 0.294 0.978
258000 0.319 1.063
259000 0.298 1.034
260000 0.336 1.09
261000 0.337 0.989
262000 0.31 0.912
263000 0.316 1.034
264000 0.32 1.04
265000 0.304 0.996
266000 0.333 1.041
267000 0.293 1.043
268000 0.311 1.035
269000 0.289 0.995
270000 0.265 1.001
271000 0.269 1.003
272000 0.31 1.048
273000 0.302 0.976
274000 0.329 0.977
275000 0.311 1.015
276000 0.305 0.981
277000 0.31 1.062
278000 0.331 0.969
279000 0.312 0.984
280000 0.276 0.958
281000 0.288 0.948
282000 0.282 0.96
283000 0.309 1.047
284000 0.301 0.959
285000 0.308 1.012
286000 0.299 1.031
287000 0.297 0.981
288000 0.316 1.016
289000 0.323 0.925
290000 0.314 1.028
291000 0.318 1.034
292000 0.323 1.067
293000 0.345 1.031
294000 0.297 0.973
295000 0.311 0.987
296000 0.273 1.011
297000 0.325 1.047
298000 0.303 1.021
299000 0.308 1
300000 0.329 1.085
301000 0.331 1.055
302000 0.345 1.125
303000 0.316 1.016
304000 0.286 0.986
305000 0.277 0.959
306000 0.31 1.052
307000 0.297 0.971
308000 0.299 0.965
309000 0.311 0.991
310000 0.344 1.044
311000 0.298 0.996
312000 0.33 1.016
313000 0.294 1.002
314000 0.299 1.003
315000 0.325 1.013
316000 0.309 0.967
317000 0.324 0.998
318000 0.294 0.984
319000 0.274 0.918
320000 0.307 1.093
321000 0.302 1.096
322000 0.329 1.015
323000 0.322 1.01
324000 0.322 1.02
325000 0.315 1.015
326000 0.307 0.941
327000 0.308 0.952
328000 0.337 0.983
329000 0.312 1.124
330000 0.318 1.052
331000 0.338 1.014
332000 0.294 1.02
333000 0.328 1.002
334000 0.309 0.977
335000 0.292 1.042
336000 0.292 1.014
337000 0.294 1.012
338000 0.29 0.918
339000 0.31 0.968
340000 0.319 1.005
341000 0.282 1.008
342000 0.317 1.027
343000 0.298 0.992
344000 0.308 1.006
345000 0.291 0.975
346000 0.323 1.011
347000 0.314 0.994
348000 0.316 1.076
349000 0.3 1.06
350000 0.25 0.994
351000 0.274 0.96
352000 0.309 0.963
353000 0.293 0.949
354000 0.277 1.001
355000 0.293 0.997
356000 0.281 1.025
357000 0.308 1.04
358000 0.309 1.081
359000 0.29 0.94
360000 0.303 0.959
361000 0.303 1.001
362000 0.313 1.017
363000 0.305 1.073
364000 0.282 0.99
365000 0.305 1.075
366000 0.295 1.063
367000 0.313 1.015
368000 0.302 1.028
369000 0.315 1.069
370000 0.322 1.042
371000 0.334 1.066
372000 0.35 1.088
373000 0.357 1.091
374000 0.346 1.084
375000 0.339 1.049
376000 0.349 1.015
377000 0.336 1.076
378000 0.304 0.988
379000 0.29 0.988
380000 0.303 1.003
381000 0.331 1.039
382000 0.3 1.016
383000 0.314 1.004
384000 0.318 0.994
385000 0.325 1.027
386000 0.329 0.993
387000 0.358 1.03
388000 0.29 1.014
389000 0.322 0.976
390000 0.333 1.061
391000 0.325 1.031
392000 0.311 1.043
393000 0.327 1.037
394000 0.306 0.952
395000 0.321 1.061
396000 0.298 1.002
397000 0.3 0.996
398000 0.339 1.067
399000 0.336 1.046
400000 0.317 1.061
401000 0.313 1.017
402000 0.32 0.99
403000 0.287 1.045
404000 0.329 1.027
405000 0.295 0.967
406000 0.308 0.986
407000 0.32 1.064
408000 0.308 1.03
409000 0.29 0.966
410000 0.318 0.99
411000 0.318 1.016
412000 0.304 1.05
413000 0.292 0.988
414000 0.31 0.988
415000 0.306 0.96
416000 0.326 1.012
417000 0.28 1.02
418000 0.278 1.026
419000 0.312 0.996
420000 0.288 0.97
421000 0.305 1.009
422000 0.322 1.026
423000 0.282 0.98
424000 0.296 0.942
425000 0.313 0.981
426000 0.319 1.017
427000 0.305 0.999
428000 0.319 0.975
429000 0.286 0.978
430000 0.319 1.025
431000 0.334 0.992
432000 0.307 0.987
433000 0.299 1.027
434000 0.301 0.937
435000 0.305 0.943
436000 0.289 1.025
437000 0.304 1.066
438000 0.306 0.956
439000 0.312 1.054
440000 0.324 0.984
441000 0.303 0.995
442000 0.318 0.99
443000 0.324 0.998
444000 0.325 1.047
445000 0.312 0.966
446000 0.311 0.963
447000 0.319 1.083
448000 0.336 1.03
449000 0.287 1.019
450000 0.323 0.985
451000 0.303 1.089
452000 0.33 1.032
453000 0.313 0.983
454000 0.309 1.021
455000 0.334 1.032
456000 0.324 0.982
457000 0.313 1.015
458000 0.299 1.003
459000 0.316 0.992
460000 0.313 0.989
461000 0.324 1.09
462000 0.301 1.011
463000 0.31 0.992
464000 0.325 0.991
465000 0.355 1.061
466000 0.332 1.132
467000 0.304 0.968
468000 0.326 1.032
469000 0.278 0.972
470000 0.287 0.957
471000 0.318 1.024
472000 0.319 1.003
473000 0.289 0.949
474000 0.291 0.971
475000 0.305 1.007
476000 0.301 0.951
477000 0.31 0.998
478000 0.31 0.984
479000 0.318 0.992
480000 0.325 1.015
481000 0.313 1.011
482000 0.331 1.035
483000 0.299 0.979
484000 0.301 1.065
485000 0.327 1.013
486000 0.311 1.075
487000 0.285 0.957
488000 0.341 1.051
489000 0.32 0.934
490000 0.303 0.925
491000 0.298 0.958
492000 0.303 0.955
493000 0.334 1.03
494000 0.333 1.077
495000 0.319 1.035
496000 0.295 1.013
497000 0.29 0.952
498000 0.316 0.964
499000 0.324 0.976
500000 0.287 0.979
501000 0.299 0.985
502000 0.307 0.967
503000 0.301 0.935
504000 0.298 0.998
505000 0.281 0.995
506000 0.306 1.024
507000 0.308 1.002
508000 0.307 1.015
509000 0.279 0.983
510000 0.291 0.985
511000 0.29 0.942
512000 0.297 0.983
513000 0.288 0.952
514000 0.334 1.056
515000 0.324 1.028
516000 0.323 1.057
517000 0.333 0.983
518000 0.319 0.981
519000 0.287 1.023
520000 0.286 1.068
521000 0.307 0.935
522000 0.31 0.97
523000 0.283 0.957
524000 0.313 0.903
525000 0.321 1.021
526000 0.315 0.955
527000 0.315 0.947
528000 0.321 1.039
529000 0.326 1.024
530000 0.332 1.012
531000 0.311 1.063
532000 0.311 0.941
533000 0.322 0.988
534000 0.315 0.953
535000 0.306 1.036
536000 0.327 1.047
537000 0.316 1.014
538000 0.31 0.976
539000 0.353 1.091
540000 0.335 1.019
541000 0.344 1.018
542000 0.346 1.014
543000 0.331 0.999
544000 0.333 1.051
545000 0.321 1.051
546000 0.342 1.01
547000 0.308 0.982
548000 0.308 0.958
549000 0.289 1.007
550000 0.307 1.011
551000 0.283 1.015
552000 0.283 1.025
553000 0.323 0.961
554000 0.306 0.976
555000 0.279 0.967
556000 0.344 1.02
557000 0.3 0.93
558000 0.302 0.948
559000 0.289 0.987
560000 0.317 0.999
561000 0.293 1.047
562000 0.301 1.001
563000 0.303 0.973
564000 0.289 0.949
565000 0.316 1.016
566000 0.308 1.066
567000 0.311 1.025
568000 0.338 1.06
569000 0.318 1
570000 0.303 0.979
571000 0.339 1.041
572000 0.356 1.04
573000 0.338 0.96
574000 0.312 0.974
575000 0.305 1.031
576000 0.324 1.048
577000 0.311 0.967
578000 0.314 1.004
579000 0.334 1.044
580000 0.311 0.995
581000 0.316 0.942
582000 0.309 0.945
583000 0.275 0.981
584000 0.282 0.982
585000 0.312 1.05
586000 0.288 1.008
587000 0.308 1.004
588000 0.309 0.965
589000 0.305 1.029
590000 0.334 1.006
591000 0.326 1.04
592000 0.339 0.999
593000 0.327 0.983
594000 0.332 1.04
595000 0.304 0.956
596000 0.321 1.031
597000 0.287 1.001
598000 0.287 0.977
599000 0.322 1.086
600000 0.325 1.063
601000 0.331 0.973
602000 0.328 1.044
603000 0.329 1.055
604000 0.343 1.071
605000 0.333 1.053
606000 0.308 0.994
607000 0.323 1.043
608000 0.327 1.005
609000 0.32 0.976
610000 0.307 1.041
611000 0.308 1.046
612000 0.3 1.024
613000 0.317 1.055
614000 0.309 1.101
615000 0.317 1.025
616000 0.305 1.051
617000 0.322 1.05
618000 0.315 1.013
619000 0.281 0.969
620000 0.297 1.013
621000 0.284 1.026
622000 0.321 1.043
623000 0.335 1.029
624000 0.323 0.997
625000 0.348 1.046
626000 0.33 1.044
627000 0.325 1.009
628000 0.298 0.996
629000 0.312 1.008
630000 0.29 0.988
631000 0.329 1.061
632000 0.31 1.028
633000 0.28 0.968
634000 0.313 1.047
635000 0.304 1.098
636000 0.315 0.963
637000 0.317 1.041
638000 0.299 1.035
639000 0.3 1.04
640000 0.305 0.971
641000 0.31 0.986
642000 0.31 1.038
643000 0.291 0.989
644000 0.296 0.956
645000 0.329 0.989
646000 0.296 1.018
647000 0.291 0.985
648000 0.327 1.017
649000 0.314 1.112
650000 0.318 1.03
651000 0.31 1.034
652000 0.304 1.06
653000 0.295 0.985
654000 0.301 0.965
655000 0.306 1.012
656000 0.292 1.022
657000 0.323 1.041
658000 0.298 1.028
659000 0.301 0.997
660000 0.272 0.988
661000 0.278 1.008
662000 0.314 0.976
663000 0.291 0.971
664000 0.325 1.075
665000 0.285 0.947
666000 0.301 1.031
667000 0.308 1.096
668000 0.307 1.007
669000 0.346 1.102
670000 0.312 1.064
671000 0.277 0.931
672000 0.309 1.021
673000 0.31 0.98
674000 0.27 0.996
675000 0.313 1.063
676000 0.303 1.069
677000 0.313 1.117
678000 0.326 1.078
679000 0.306 1.038
680000 0.3 1.094
681000 0.285 0.947
682000 0.298 0.952
683000 0.278 0.936
684000 0.356 1.086
685000 0.332 1.016
686000 0.306 1.056
687000 0.3 1.016
688000 0.296 0.96
689000 0.288 0.992
690000 0.325 0.993
691000 0.311 1.003
692000 0.328 1.044
693000 0.311 0.923
694000 0.303 0.925
695000 0.299 0.983
696000 0.24 0.986
697000 0.262 0.95
698000 0.295 0.977
699000 0.307 1.077
700000 0.326 1.07
701000 0.278 1.024
702000 0.288 1.042
703000 0.289 1.023
704000 0.296 1
705000 0.343 1.011
706000 0.31 0.978
707000 0.335 1.041
708000 0.325 0.981
709000 0.316 1.012
710000 0.319 0.971
711000 0.331 1.083
712000 0.307 1.011
713000 0.287 0.987
714000 0.322 0.998
715000 0.326 0.98
716000 0.278 0.94
717000 0.285 0.967
718000 0.318 1.016
719000 0.324 1.02
720000 0.294 0.986
721000 0.304 0.996
722000 0.337 1.051
723000 0.299 1.005
724000 0.301 1.013
725000 0.322 1.016
726000 0.314 1.032
727000 0.319 1.053
728000 0.331 1.045
729000 0.359 1.013
730000 0.326 1.05
731000 0.31 1.01
732000 0.326 1.004
733000 0.307 1.019
734000 0.346 1.09
735000 0.333 1.015
736000 0.305 0.983
737000 0.336 1.068
738000 0.319 1.001
739000 0.326 1.022
740000 0.298 0.966
741000 0.286 0.91
742000 0.287 0.945
743000 0.317 1.071
744000 0.324 1.112
745000 0.331 1.053
746000 0.322 0.988
747000 0.332 0.998
748000 0.33 1.01
749000 0.311 0.971
750000 0.308 1.052
751000 0.287 0.991
752000 0.289 1.039
753000 0.318 1.018
754000 0.327 0.991
755000 0.296 0.968
756000 0.295 1.019
757000 0.319 1.033
758000 0.299 0.995
759000 0.311 1.055
760000 0.318 1.062
761000 0.298 1.006
762000 0.301 1.001
763000 0.305 0.983
764000 0.309 0.983
765000 0.261 0.997
766000 0.286 0.898
767000 0.323 0.983
768000 0.302 1.006
769000 0.318 1.018
770000 0.328 1.054
771000 0.321 1.063
772000 0.339 1.019
773000 0.325 1.055
774000 0.347 1.001
775000 0.315 1.009
776000 0.296 0.968
777000 0.309 1.063
778000 0.322 1.01
779000 0.314 1.052
780000 0.322 1.052
781000 0.304 1.03
782000 0.299 0.969
783000 0.317 1.033
784000 0.331 1.049
785000 0.322 1.078
786000 0.343 1.095
787000 0.334 1.086
788000 0.311 1.063
789000 0.341 1.097
790000 0.346 1.032
791000 0.285 0.953
792000 0.329 1.043
793000 0.311 0.991
794000 0.332 1.028
795000 0.333 0.911
796000 0.312 0.952
797000 0.326 0.968
798000 0.335 0.991
799000 0.32 1.042
800000 0.334 0.98
801000 0.33 1.012
802000 0.302 1.032
803000 0.337 1.015
804000 0.295 0.949
805000 0.313 0.991
806000 0.323 0.957
807000 0.319 0.961
808000 0.314 1.058
809000 0.28 1.01
810000 0.28 0.974
811000 0.297 1.007
812000 0.32 1.064
813000 0.337 1.007
814000 0.3 0.96
815000 0.332 0.99
816000 0.315 0.989
817000 0.308 1.012
818000 0.317 1.003
819000 0.312 1.006
820000 0.306 1.028
821000 0.297 1.029
822000 0.319 1.033
823000 0.318 0.988
824000 0.323 1.063
825000 0.313 1.049
826000 0.294 0.94
827000 0.315 1.005
828000 0.321 1.029
829000 0.299 1.003
830000 0.306 1.008
831000 0.302 1.008
832000 0.316 1.042
833000 0.319 1.011
834000 0.331 1.045
835000 0.324 1.03
836000 0.313 1.071
837000 0.301 1.039
838000 0.311 1.011
839000 0.328 1.034
840000 0.299 0.917
841000 0.319 0.991
842000 0.32 0.968
843000 0.311 0.969
844000 0.323 0.979
845000 0.297 0.979
846000 0.303 1.023
847000 0.325 1.017
848000 0.315 0.989
849000 0.312 1.022
850000 0.293 1.011
851000 0.297 1.013
852000 0.335 1.071
853000 0.316 0.97
854000 0.307 1.085
855000 0.328 1.026
856000 0.342 1.042
857000 0.312 1.08
858000 0.293 0.961
859000 0.315 1.007
860000 0.329 1.015
861000 0.336 1.05
862000 0.325 1.049
863000 0.304 0.96
864000 0.317 1.031
865000 0.298 1.068
866000 0.319 0.999
867000 0.31 0.966
868000 0.304 0.958
869000 0.292 1
870000 0.292 1.032
871000 0.306 0.954
872000 0.328 1.012
873000 0.314 1.042
874000 0.334 1.01
875000 0.309 0.985
876000 0.332 1.074
877000 0.321 1.015
878000 0.34 1.014
879000 0.302 0.974
880000 0.286 0.97
881000 0.324 1.04
882000 0.354 1.04
883000 0.354 1.082
884000 0.335 1.013
885000 0.321 0.975
886000 0.314 0.982
887000 0.304 0.954
888000 0.324 0.986
889000 0.306 1.014
890000 0.307 0.999
891000 0.287 0.981
892000 0.31 0.984
893000 0.329 1.009
894000 0.267 0.935
895000 0.305 0.985
896000 0.31 0.986
897000 0.327 0.971
898000 0.322 1.04
899000 0.31 0.962
900000 0.307 0.967
901000 0.285 0.947
902000 0.317 0.977
903000 0.317 1.031
904000 0.289 0.967
905000 0.29 0.99
906000 0.288 1.008
907000 0.322 1.022
908000 0.325 1.027
909000 0.307 0.993
910000 0.33 1.046
911000 0.337 0.983
912000 0.305 0.959
913000 0.307 0.929
914000 0.328 1.006
915000 0.344 0.986
916000 0.33 1.078
917000 0.37 1.078
918000 0.355 1.021
919000 0.328 0.95
920000 0.321 0.999
921000 0.333 1.061
922000 0.314 1.032
923000 0.31 0.962
924000 0.275 1.049
925000 0.324 1.05
926000 0.336 1.016
927000 0.298 0.936
928000 0.316 0.974
929000 0.305 1.017
930000 0.324 0.938
931000 0.311 1.049
932000 0.31 0.954
933000 0.304 0.998
934000 0.274 0.946
935000 0.286 0.968
936000 0.284 0.956
937000 0.285 1.019
938000 0.291 1.019
939000 0.302 1.052
940000 0.319 1.049
941000 0.312 0.968
942000 0.31 1.016
943000 0.319 1.005
944000 0.287 0.889
945000 0.292 1.044
946000 0.325 1.039
947000 0.333 1.057
948000 0.327 0.965
949000 0.318 0.992
950000 0.298 0.934
951000 0.298 0.988
952000 0.315 0.969
953000 0.321 1.065
954000 0.29 1.008
955000 0.296 1.04
956000 0.301 1.009
957000 0.313 0.965
958000 0.326 0.992
959000 0.308 0.942
960000 0.288 0.954
961000 0.341 1.111
962000 0.336 0.99
963000 0.323 1.065
964000 0.324 1.034
965000 0.271 0.937
966000 0.306 0.966
967000 0.317 1.035
968000 0.303 0.941
969000 0.293 0.983
970000 0.314 1.032
971000 0.317 1.013
972000 0.32 1.048
973000 0.314 0.986
974000 0.326 0.998
975000 0.312 1.008
976000 0.31 0.956
977000 0.331 1.071
978000 0.323 1.011
979000 0.329 1.059
980000 0.332 1.058
981000 0.342 1.06
982000 0.318 1.012
983000 0.32 1.076
984000 0.291 1.013
985000 0.32 1.05
986000 0.342 0.996
987000 0.336 1.06
988000 0.35 1.05
989000 0.347 1.027
