# Time-averaged data for fix com
# TimeStep c_com[1] c_com[2] c_com[3]
1000 4.35624 4.24296 4.23102
2000 4.35624 4.24296 4.23102
3000 4.35624 4.24296 4.23102
4000 4.35624 4.24296 4.23102
5000 4.35624 4.24296 4.23102
6000 4.35624 4.24296 4.23102
7000 4.35624 4.24296 4.23102
8000 4.35624 4.24296 4.23102
9000 4.35624 4.24296 4.23102
10000 4.35624 4.24296 4.23102
11000 4.35624 4.24296 4.23102
12000 4.35624 4.24296 4.23102
13000 4.35624 4.24296 4.23102
14000 4.35624 4.24296 4.23102
15000 4.35624 4.24296 4.23102
16000 4.35624 4.24296 4.23102
17000 4.35624 4.24296 4.23102
18000 4.35624 4.24296 4.23102
19000 4.35624 4.24296 4.23102
20000 4.35624 4.24296 4.23102
21000 4.35624 4.24296 4.23102
22000 4.35624 4.24296 4.23102
23000 4.35624 4.24296 4.23102
24000 4.35624 4.24296 4.23102
25000 4.35624 4.24296 4.23102
26000 4.35624 4.24296 4.23102
27000 4.35624 4.24296 4.23102
28000 4.35624 4.24296 4.23102
29000 4.35624 4.24296 4.23102
30000 4.35624 4.24296 4.23102
31000 4.35624 4.24296 4.23102
32000 4.35624 4.24296 4.23102
33000 4.35624 4.24296 4.23102
34000 4.35624 4.24296 4.23102
35000 4.35624 4.24296 4.23102
36000 4.35624 4.24296 4.23102
37000 4.35624 4.24296 4.23102
38000 4.35624 4.24296 4.23102
39000 4.35624 4.24296 4.23102
40000 4.35624 4.24296 4.23102
41000 4.35624 4.24296 4.23102
42000 4.35624 4.24296 4.23102
43000 4.35624 4.24296 4.23102
44000 4.35624 4.24296 4.23102
45000 4.35624 4.24296 4.23102
46000 4.35624 4.24296 4.23102
47000 4.35624 4.24296 4.23102
48000 4.35624 4.24296 4.23102
49000 4.35624 4.24296 4.23102
50000 4.35624 4.24296 4.23102
51000 4.35624 4.24296 4.23102
52000 4.35624 4.24296 4.23102
53000 4.35624 4.24296 4.23102
54000 4.35624 4.24296 4.23102
55000 4.35624 4.24296 4.23102
56000 4.35624 4.24296 4.23102
57000 4.35624 4.24296 4.23102
58000 4.35624 4.24296 4.23102
59000 4.35624 4.24296 4.23102
60000 4.35624 4.24296 4.23102
61000 4.35624 4.24296 4.23102
62000 4.35624 4.24296 4.23102
63000 4.35624 4.24296 4.23102
64000 4.35624 4.24296 4.23102
65000 4.35624 4.24296 4.23102
66000 4.35624 4.24296 4.23102
67000 4.35624 4.24296 4.23102
68000 4.35624 4.24296 4.23102
69000 4.35624 4.24296 4.23102
70000 4.35624 4.24296 4.23102
71000 4.35624 4.24296 4.23102
72000 4.35624 4.24296 4.23102
73000 4.35624 4.24296 4.23102
74000 4.35624 4.24296 4.23102
75000 4.35624 4.24296 4.23102
76000 4.35624 4.24296 4.23102
77000 4.35624 4.24296 4.23102
78000 4.35624 4.24296 4.23102
79000 4.35624 4.24296 4.23102
80000 4.35624 4.24296 4.23102
81000 4.35624 4.24296 4.23102
82000 4.35624 4.24296 4.23102
83000 4.35624 4.24296 4.23102
84000 4.35624 4.24296 4.23102
85000 4.35624 4.24296 4.23102
86000 4.35624 4.24296 4.23102
87000 4.35624 4.24296 4.23102
88000 4.35624 4.24296 4.23102
89000 4.35624 4.24296 4.23102
90000 4.35624 4.24296 4.23102
91000 4.35624 4.24296 4.23102
92000 4.35624 4.24296 4.23102
93000 4.35624 4.24296 4.23102
94000 4.35624 4.24296 4.23102
95000 4.35624 4.24296 4.23102
96000 4.35624 4.24296 4.23102
97000 4.35624 4.24296 4.23102
98000 4.35624 4.24296 4.23102
99000 4.35624 4.24296 4.23102
100000 4.35624 4.24296 4.23102
101000 4.35624 4.24296 4.23102
102000 4.35624 4.24296 4.23102
103000 4.35624 4.24296 4.23102
104000 4.35624 4.24296 4.23102
105000 4.35624 4.24296 4.23102
106000 4.35624 4.24296 4.23102
107000 4.35624 4.24296 4.23102
108000 4.35624 4.24296 4.23102
109000 4.35624 4.24296 4.23102
110000 4.35624 4.24296 4.23102
111000 4.35624 4.24296 4.23102
112000 4.35624 4.24296 4.23102
113000 4.35624 4.24296 4.23102
114000 4.35624 4.24296 4.23102
115000 4.35624 4.24296 4.23102
116000 4.35624 4.24296 4.23102
117000 4.35624 4.24296 4.23102
118000 4.35624 4.24296 4.23102
119000 4.35624 4.24296 4.23102
120000 4.35624 4.24296 4.23102
121000 4.35624 4.24296 4.23102
122000 4.35624 4.24296 4.23102
123000 4.35624 4.24296 4.23102
124000 4.35624 4.24296 4.23102
125000 4.35624 4.24296 4.23102
126000 4.35624 4.24296 4.23102
127000 4.35624 4.24296 4.23102
128000 4.35624 4.24296 4.23102
129000 4.35624 4.24296 4.23102
130000 4.35624 4.24296 4.23102
131000 4.35624 4.24296 4.23102
132000 4.35624 4.24296 4.23102
133000 4.35624 4.24296 4.23102
134000 4.35624 4.24296 4.23102
135000 4.35624 4.24296 4.23102
136000 4.35624 4.24296 4.23102
137000 4.35624 4.24296 4.23102
138000 4.35624 4.24296 4.23102
139000 4.35624 4.24296 4.23102
140000 4.35624 4.24296 4.23102
141000 4.35624 4.24296 4.23102
142000 4.35624 4.24296 4.23102
143000 4.35624 4.24296 4.23102
144000 4.35624 4.24296 4.23102
145000 4.35624 4.24296 4.23102
146000 4.35624 4.24296 4.23102
147000 4.35624 4.24296 4.23102
148000 4.35624 4.24296 4.23102
149000 4.35624 4.24296 4.23102
150000 4.35624 4.24296 4.23102
151000 4.35624 4.24296 4.23102
152000 4.35624 4.24296 4.23102
153000 4.35624 4.24296 4.23102
154000 4.35624 4.24296 4.23102
155000 4.35624 4.24296 4.23102
156000 4.35624 4.24296 4.23102
157000 4.35624 4.24296 4.23102
158000 4.35624 4.24296 4.23102
159000 4.35624 4.24296 4.23102
160000 4.35624 4.24296 4.23102
161000 4.35624 4.24296 4.23102
162000 4.35624 4.24296 4.23102
163000 4.35624 4.24296 4.23102
164000 4.35624 4.24296 4.23102
165000 4.35624 4.24296 4.23102
166000 4.35624 4.24296 4.23102
167000 4.35624 4.24296 4.23102
168000 4.35624 4.24296 4.23102
