# Time-averaged data for fix msd
# TimeStep c_msd[4]
1000 0.601196
2000 1.25733
3000 1.94379
4000 2.56769
5000 3.24095
6000 3.89448
7000 4.5827
8000 5.16079
9000 5.77225
10000 6.43603
11000 6.90049
12000 7.66384
13000 8.13945
14000 8.90166
15000 9.73561
16000 10.4385
17000 11.0569
18000 11.7339
19000 12.3419
20000 12.9692
21000 13.563
22000 14.301
23000 14.803
24000 15.4379
25000 16.1966
26000 17.0374
27000 17.6028
28000 18.3549
29000 19.0293
30000 19.7
31000 20.3276
32000 20.9925
33000 21.5833
34000 22.326
35000 22.9602
36000 23.3846
37000 24.0179
38000 24.7445
39000 25.3008
40000 25.9989
41000 26.6299
42000 27.3711
43000 27.9782
44000 28.341
45000 29.0422
46000 29.7218
47000 30.2325
48000 30.826
49000 31.6063
50000 32.3669
51000 33.0556
52000 33.6845
53000 34.4054
54000 34.8337
55000 35.4197
56000 36.2166
57000 36.6836
58000 37.1019
59000 37.8956
60000 38.0406
61000 38.8118
62000 39.5899
63000 40.0374
64000 40.9745
65000 41.614
66000 42.2947
67000 43.0534
68000 43.3381
69000 44.0026
70000 44.8395
71000 45.6453
72000 45.8848
73000 46.3749
74000 46.8505
75000 47.554
76000 48.2452
77000 48.701
78000 49.4225
79000 50.2677
80000 51.0198
81000 51.6546
82000 52.4856
83000 53.1185
84000 54.074
85000 54.4195
86000 55.1764
87000 55.7484
88000 56.4849
89000 57.4789
90000 58.4402
91000 58.8046
92000 59.3342
93000 59.7259
94000 60.7026
95000 61.2619
96000 61.7272
97000 62.1403
98000 62.3645
99000 62.9623
100000 63.7202
101000 64.1871
102000 64.8817
103000 65.1914
104000 65.9994
105000 66.7316
106000 67.2788
107000 67.8083
108000 68.5329
109000 69.2723
110000 70.0056
111000 71.2428
112000 72.3262
113000 73.1227
114000 74.0872
115000 74.3017
116000 74.7174
117000 75.5347
118000 75.9828
119000 76.6226
120000 77.8731
121000 78.908
122000 79.1038
123000 79.472
124000 80.5293
125000 81.5103
126000 81.8517
127000 82.8548
128000 83.2874
129000 83.6864
130000 84.4742
131000 84.7596
132000 85.2139
133000 85.7435
134000 86.3049
135000 86.8855
136000 87.0803
137000 88.1594
138000 88.628
139000 89.3663
140000 89.8972
141000 90.8164
142000 91.3868
143000 92.1018
144000 92.8106
145000 93.5924
146000 94.3755
147000 95.3085
148000 95.8492
149000 96.7039
150000 96.895
151000 97.7018
152000 98.4405
153000 99.1516
154000 99.5162
155000 100.035
156000 100.443
157000 101.374
158000 102.036
159000 102.349
160000 103.08
161000 103.663
162000 104.186
163000 104.65
164000 105.263
165000 105.992
166000 106.915
167000 107.71
168000 108.317
