# Time-averaged data for fix avgcoord
# TimeStep c_ac1 c_ac2
1000 0.595 1.463
2000 0.542 1.496
3000 0.552 1.48
4000 0.573 1.593
5000 0.577 1.497
6000 0.561 1.545
7000 0.581 1.525
8000 0.582 1.58
9000 0.586 1.628
10000 0.601 1.519
11000 0.624 1.576
12000 0.564 1.608
13000 0.576 1.52
14000 0.613 1.633
15000 0.584 1.594
16000 0.605 1.549
17000 0.56 1.562
18000 0.62 1.618
19000 0.553 1.571
20000 0.63 1.598
21000 0.659 1.591
22000 0.628 1.584
23000 0.587 1.545
24000 0.623 1.561
25000 0.61 1.618
26000 0.627 1.625
27000 0.628 1.574
28000 0.605 1.535
29000 0.616 1.718
30000 0.595 1.591
31000 0.613 1.579
32000 0.626 1.596
33000 0.625 1.597
34000 0.629 1.575
35000 0.622 1.624
36000 0.637 1.645
37000 0.629 1.629
38000 0.588 1.608
39000 0.6 1.646
40000 0.65 1.654
41000 0.632 1.602
42000 0.608 1.622
43000 0.648 1.674
44000 0.638 1.646
45000 0.589 1.595
46000 0.62 1.656
47000 0.65 1.6
48000 0.655 1.595
49000 0.66 1.656
50000 0.636 1.648
51000 0.659 1.629
52000 0.637 1.641
53000 0.632 1.614
54000 0.604 1.624
55000 0.633 1.541
56000 0.645 1.597
57000 0.656 1.722
58000 0.617 1.627
59000 0.621 1.655
60000 0.668 1.618
61000 0.663 1.661
62000 0.661 1.651
63000 0.608 1.642
64000 0.659 1.737
65000 0.65 1.656
66000 0.647 1.709
67000 0.672 1.608
68000 0.634 1.572
69000 0.667 1.665
70000 0.668 1.66
71000 0.628 1.636
72000 0.662 1.592
73000 0.639 1.683
74000 0.667 1.669
75000 0.67 1.672
76000 0.643 1.601
77000 0.632 1.528
78000 0.619 1.595
79000 0.645 1.579
80000 0.609 1.575
81000 0.645 1.631
82000 0.612 1.626
83000 0.617 1.557
84000 0.594 1.602
85000 0.627 1.565
86000 0.613 1.583
87000 0.584 1.606
88000 0.652 1.662
89000 0.635 1.631
90000 0.616 1.562
91000 0.614 1.544
92000 0.657 1.667
93000 0.662 1.592
94000 0.641 1.597
95000 0.643 1.557
96000 0.652 1.712
97000 0.633 1.665
98000 0.612 1.592
99000 0.642 1.646
100000 0.639 1.619
101000 0.658 1.616
102000 0.615 1.659
103000 0.621 1.613
104000 0.661 1.643
105000 0.648 1.596
106000 0.619 1.549
107000 0.649 1.695
108000 0.67 1.656
109000 0.663 1.625
110000 0.633 1.613
111000 0.645 1.669
112000 0.675 1.631
113000 0.649 1.631
114000 0.63 1.676
115000 0.684 1.624
116000 0.631 1.551
117000 0.644 1.688
118000 0.63 1.668
119000 0.624 1.614
120000 0.65 1.626
121000 0.644 1.584
122000 0.642 1.702
123000 0.619 1.577
124000 0.64 1.632
125000 0.615 1.573
126000 0.615 1.649
127000 0.572 1.578
128000 0.66 1.63
129000 0.645 1.567
130000 0.667 1.615
131000 0.593 1.593
132000 0.658 1.69
133000 0.624 1.65
134000 0.69 1.578
135000 0.662 1.714
136000 0.646 1.63
137000 0.668 1.65
138000 0.665 1.655
139000 0.639 1.597
140000 0.627 1.625
141000 0.631 1.691
142000 0.651 1.661
143000 0.631 1.665
144000 0.609 1.563
145000 0.641 1.611
146000 0.621 1.667
147000 0.639 1.667
148000 0.65 1.616
149000 0.625 1.631
150000 0.645 1.623
151000 0.616 1.684
152000 0.684 1.686
153000 0.652 1.634
154000 0.623 1.635
155000 0.666 1.656
156000 0.645 1.651
157000 0.626 1.622
158000 0.648 1.566
159000 0.642 1.672
160000 0.643 1.641
161000 0.686 1.672
162000 0.639 1.671
163000 0.632 1.584
164000 0.626 1.62
165000 0.658 1.662
166000 0.621 1.581
167000 0.632 1.63
168000 0.646 1.664
169000 0.651 1.647
170000 0.613 1.583
171000 0.613 1.601
172000 0.632 1.622
173000 0.641 1.617
174000 0.66 1.686
175000 0.641 1.605
176000 0.635 1.675
177000 0.657 1.665
178000 0.651 1.671
179000 0.637 1.627
180000 0.631 1.583
181000 0.628 1.656
182000 0.593 1.561
183000 0.639 1.677
184000 0.654 1.686
185000 0.654 1.602
186000 0.644 1.616
187000 0.585 1.575
188000 0.615 1.549
189000 0.651 1.617
190000 0.655 1.649
191000 0.629 1.635
192000 0.596 1.68
193000 0.665 1.665
194000 0.639 1.627
195000 0.617 1.595
196000 0.635 1.665
197000 0.671 1.745
198000 0.669 1.625
199000 0.628 1.584
200000 0.659 1.617
201000 0.66 1.612
202000 0.642 1.6
203000 0.604 1.582
204000 0.661 1.645
205000 0.676 1.688
206000 0.649 1.703
207000 0.657 1.715
208000 0.654 1.634
209000 0.642 1.56
210000 0.641 1.643
211000 0.645 1.585
212000 0.645 1.627
213000 0.658 1.61
214000 0.612 1.568
215000 0.692 1.634
216000 0.646 1.568
217000 0.655 1.589
218000 0.649 1.583
219000 0.623 1.615
220000 0.641 1.577
221000 0.628 1.586
222000 0.643 1.607
223000 0.656 1.592
224000 0.658 1.662
225000 0.632 1.632
226000 0.647 1.589
227000 0.659 1.647
228000 0.673 1.667
229000 0.661 1.615
230000 0.64 1.57
231000 0.643 1.593
232000 0.666 1.662
233000 0.648 1.664
234000 0.585 1.667
235000 0.625 1.603
236000 0.623 1.597
237000 0.619 1.667
238000 0.662 1.66
239000 0.647 1.571
240000 0.63 1.672
241000 0.636 1.618
242000 0.629 1.707
243000 0.604 1.598
244000 0.643 1.717
245000 0.642 1.7
246000 0.636 1.556
247000 0.642 1.646
248000 0.633 1.667
249000 0.631 1.609
250000 0.682 1.686
251000 0.624 1.574
252000 0.615 1.625
253000 0.649 1.669
254000 0.609 1.651
255000 0.69 1.666
256000 0.668 1.682
257000 0.628 1.676
258000 0.6 1.664
259000 0.635 1.629
260000 0.659 1.715
261000 0.657 1.597
262000 0.658 1.696
263000 0.658 1.63
264000 0.638 1.624
265000 0.629 1.583
266000 0.646 1.554
267000 0.65 1.634
268000 0.646 1.624
269000 0.611 1.583
270000 0.663 1.715
271000 0.634 1.578
272000 0.623 1.599
273000 0.687 1.605
274000 0.607 1.595
275000 0.641 1.617
276000 0.632 1.604
277000 0.659 1.583
278000 0.613 1.639
279000 0.622 1.604
280000 0.668 1.714
281000 0.633 1.645
282000 0.612 1.608
283000 0.648 1.698
284000 0.654 1.7
285000 0.669 1.721
286000 0.646 1.618
287000 0.646 1.618
288000 0.612 1.594
289000 0.65 1.646
290000 0.67 1.674
291000 0.639 1.587
292000 0.66 1.63
293000 0.613 1.605
294000 0.637 1.577
295000 0.634 1.648
296000 0.634 1.644
297000 0.613 1.617
298000 0.664 1.56
299000 0.639 1.617
300000 0.63 1.6
301000 0.66 1.67
302000 0.635 1.629
303000 0.665 1.661
304000 0.586 1.548
305000 0.616 1.642
306000 0.642 1.614
307000 0.632 1.624
308000 0.644 1.662
309000 0.676 1.594
310000 0.641 1.645
311000 0.635 1.639
312000 0.634 1.628
313000 0.625 1.621
314000 0.665 1.701
315000 0.655 1.623
316000 0.636 1.592
317000 0.617 1.609
318000 0.66 1.628
319000 0.654 1.634
320000 0.645 1.679
321000 0.649 1.599
322000 0.665 1.643
323000 0.64 1.678
324000 0.641 1.695
325000 0.646 1.614
326000 0.609 1.621
327000 0.636 1.6
328000 0.638 1.682
329000 0.656 1.702
330000 0.642 1.636
331000 0.665 1.621
332000 0.659 1.643
333000 0.664 1.688
334000 0.657 1.699
335000 0.663 1.639
336000 0.641 1.601
337000 0.639 1.597
338000 0.663 1.591
339000 0.618 1.606
340000 0.646 1.594
341000 0.657 1.617
342000 0.643 1.653
343000 0.654 1.676
344000 0.634 1.698
345000 0.644 1.64
346000 0.623 1.659
347000 0.633 1.683
348000 0.64 1.638
349000 0.66 1.61
350000 0.649 1.581
351000 0.611 1.607
352000 0.666 1.648
353000 0.673 1.659
354000 0.629 1.603
355000 0.67 1.604
356000 0.609 1.643
357000 0.664 1.702
358000 0.639 1.625
359000 0.62 1.602
360000 0.631 1.651
361000 0.639 1.635
362000 0.649 1.595
363000 0.633 1.707
364000 0.638 1.638
365000 0.654 1.68
366000 0.651 1.723
367000 0.673 1.753
368000 0.656 1.674
369000 0.663 1.777
370000 0.648 1.654
371000 0.62 1.6
372000 0.645 1.653
373000 0.628 1.606
374000 0.603 1.657
375000 0.619 1.659
376000 0.702 1.68
377000 0.653 1.641
378000 0.655 1.669
379000 0.634 1.65
380000 0.625 1.631
381000 0.614 1.598
382000 0.616 1.622
383000 0.645 1.649
384000 0.631 1.601
385000 0.667 1.689
386000 0.64 1.626
387000 0.646 1.642
388000 0.631 1.649
389000 0.656 1.61
390000 0.639 1.619
391000 0.684 1.648
392000 0.628 1.644
393000 0.655 1.627
394000 0.633 1.689
395000 0.663 1.633
396000 0.62 1.566
397000 0.67 1.574
398000 0.631 1.579
399000 0.611 1.529
400000 0.644 1.652
401000 0.647 1.657
402000 0.622 1.61
403000 0.681 1.613
404000 0.633 1.617
405000 0.637 1.583
406000 0.684 1.674
407000 0.662 1.628
408000 0.651 1.627
409000 0.651 1.555
410000 0.647 1.625
411000 0.653 1.679
412000 0.595 1.681
413000 0.616 1.57
414000 0.677 1.629
415000 0.636 1.594
416000 0.61 1.632
417000 0.639 1.573
418000 0.638 1.646
419000 0.677 1.633
420000 0.666 1.6
421000 0.617 1.577
422000 0.599 1.599
423000 0.664 1.678
424000 0.645 1.567
425000 0.651 1.657
426000 0.632 1.578
427000 0.636 1.692
428000 0.65 1.646
429000 0.621 1.493
430000 0.668 1.686
431000 0.676 1.576
432000 0.656 1.56
433000 0.649 1.585
434000 0.618 1.592
435000 0.659 1.577
436000 0.68 1.612
437000 0.673 1.641
438000 0.651 1.703
439000 0.676 1.602
440000 0.657 1.655
441000 0.641 1.631
442000 0.648 1.678
443000 0.703 1.695
444000 0.665 1.597
445000 0.676 1.582
446000 0.617 1.637
447000 0.616 1.614
448000 0.653 1.637
449000 0.652 1.634
450000 0.642 1.704
451000 0.645 1.635
452000 0.646 1.61
453000 0.653 1.573
454000 0.666 1.63
455000 0.621 1.647
456000 0.675 1.675
457000 0.634 1.594
458000 0.63 1.63
459000 0.646 1.582
460000 0.632 1.602
461000 0.657 1.571
462000 0.642 1.594
463000 0.641 1.619
464000 0.631 1.553
465000 0.654 1.62
466000 0.648 1.552
467000 0.661 1.693
468000 0.672 1.654
469000 0.643 1.581
470000 0.64 1.646
471000 0.627 1.619
472000 0.68 1.718
473000 0.654 1.634
474000 0.663 1.639
475000 0.6 1.636
476000 0.631 1.655
477000 0.653 1.649
478000 0.627 1.627
479000 0.641 1.657
480000 0.661 1.683
481000 0.641 1.595
482000 0.645 1.579
483000 0.634 1.654
484000 0.644 1.66
485000 0.649 1.651
486000 0.678 1.624
487000 0.62 1.632
488000 0.656 1.67
489000 0.669 1.621
490000 0.658 1.644
491000 0.632 1.66
492000 0.65 1.622
493000 0.627 1.611
494000 0.654 1.674
495000 0.625 1.665
496000 0.638 1.592
497000 0.631 1.689
498000 0.615 1.653
499000 0.624 1.612
500000 0.634 1.656
501000 0.653 1.583
502000 0.622 1.562
503000 0.64 1.644
504000 0.621 1.629
505000 0.661 1.629
506000 0.658 1.688
507000 0.616 1.622
508000 0.638 1.65
509000 0.666 1.582
510000 0.608 1.648
511000 0.688 1.698
512000 0.598 1.66
513000 0.666 1.668
514000 0.607 1.589
515000 0.618 1.564
516000 0.648 1.588
517000 0.646 1.62
518000 0.622 1.566
519000 0.67 1.634
520000 0.656 1.656
521000 0.616 1.57
522000 0.643 1.659
523000 0.625 1.679
524000 0.636 1.62
525000 0.623 1.663
526000 0.666 1.63
527000 0.618 1.648
528000 0.636 1.624
529000 0.633 1.623
530000 0.652 1.634
531000 0.641 1.649
532000 0.598 1.594
533000 0.595 1.599
534000 0.626 1.56
535000 0.659 1.633
536000 0.659 1.617
537000 0.667 1.619
538000 0.675 1.673
539000 0.638 1.668
540000 0.642 1.648
541000 0.649 1.643
542000 0.616 1.58
543000 0.618 1.656
544000 0.667 1.685
545000 0.659 1.647
546000 0.64 1.574
547000 0.62 1.506
548000 0.64 1.712
549000 0.657 1.583
550000 0.65 1.61
551000 0.652 1.64
552000 0.647 1.579
553000 0.664 1.666
554000 0.695 1.677
555000 0.656 1.604
556000 0.637 1.615
557000 0.663 1.681
558000 0.622 1.554
559000 0.611 1.505
560000 0.592 1.512
561000 0.639 1.569
562000 0.646 1.638
563000 0.656 1.702
564000 0.656 1.61
565000 0.632 1.632
566000 0.668 1.572
567000 0.631 1.655
568000 0.619 1.583
569000 0.61 1.58
570000 0.641 1.661
571000 0.637 1.559
572000 0.652 1.678
573000 0.603 1.659
574000 0.64 1.636
575000 0.624 1.61
576000 0.657 1.649
577000 0.628 1.62
578000 0.641 1.555
579000 0.648 1.592
580000 0.636 1.608
581000 0.632 1.614
582000 0.621 1.579
583000 0.617 1.599
584000 0.639 1.589
585000 0.67 1.686
586000 0.643 1.635
587000 0.624 1.632
588000 0.634 1.65
589000 0.653 1.619
590000 0.703 1.639
591000 0.669 1.613
592000 0.642 1.646
593000 0.647 1.605
594000 0.628 1.618
595000 0.645 1.579
596000 0.653 1.673
597000 0.653 1.589
