# Time-averaged data for fix msd
# TimeStep c_msd[4]
1000 0.132034
2000 0.214858
3000 0.282371
4000 0.360059
5000 0.417464
6000 0.474376
7000 0.533869
8000 0.581491
9000 0.636366
10000 0.669672
11000 0.713775
12000 0.771887
13000 0.846183
14000 0.889017
15000 0.96554
16000 1.0188
17000 1.05606
18000 1.09868
19000 1.13124
20000 1.18514
21000 1.22172
22000 1.26255
23000 1.32013
24000 1.3778
25000 1.41328
26000 1.43893
27000 1.48507
28000 1.52518
29000 1.56903
30000 1.58288
31000 1.61653
32000 1.65537
33000 1.71713
34000 1.76103
35000 1.82336
36000 1.87723
37000 1.94616
38000 1.96917
39000 2.01102
40000 2.06216
41000 2.07602
42000 2.1573
43000 2.19618
44000 2.25107
45000 2.2768
46000 2.3041
47000 2.34958
48000 2.38264
49000 2.43114
50000 2.45797
51000 2.50128
52000 2.5665
53000 2.59438
54000 2.63779
55000 2.71335
56000 2.76442
57000 2.817
58000 2.84719
59000 2.89502
60000 2.93283
61000 2.95097
62000 2.99921
63000 3.04778
64000 3.11807
65000 3.16935
66000 3.18659
67000 3.20794
68000 3.27862
69000 3.32602
70000 3.38454
71000 3.43955
72000 3.47226
73000 3.47399
74000 3.5398
75000 3.56707
76000 3.59288
77000 3.6328
78000 3.66824
79000 3.73963
80000 3.79291
81000 3.84923
82000 3.90385
83000 3.92965
84000 3.94704
85000 3.95162
86000 4.00324
87000 3.99853
88000 4.06484
89000 4.08435
90000 4.1665
91000 4.2137
92000 4.25307
93000 4.26665
94000 4.31543
95000 4.35458
96000 4.35789
97000 4.42427
98000 4.4343
99000 4.51086
100000 4.53201
101000 4.5597
102000 4.59023
103000 4.60582
104000 4.66151
105000 4.68331
106000 4.73188
107000 4.79595
108000 4.83963
109000 4.8374
110000 4.91054
111000 4.99439
112000 5.00848
113000 5.04714
114000 5.10504
115000 5.17854
116000 5.17286
117000 5.20707
118000 5.24645
119000 5.29114
120000 5.34178
121000 5.34468
122000 5.41393
123000 5.46674
124000 5.47662
125000 5.49714
126000 5.51926
127000 5.59376
128000 5.6414
129000 5.69482
130000 5.7323
131000 5.74534
132000 5.77161
133000 5.79574
134000 5.85974
135000 5.85074
136000 5.86014
137000 5.85015
138000 5.93806
139000 5.99559
140000 5.99139
141000 6.01027
142000 6.06646
143000 6.08606
144000 6.12559
145000 6.19015
146000 6.2043
147000 6.21601
148000 6.32506
149000 6.39633
150000 6.4272
151000 6.44698
152000 6.47221
153000 6.48615
154000 6.50999
155000 6.57731
156000 6.59286
157000 6.6187
158000 6.66132
159000 6.64658
160000 6.69212
161000 6.77279
162000 6.82124
163000 6.86648
164000 6.87471
165000 6.97245
166000 7.04766
167000 7.0652
168000 7.06796
169000 7.08746
170000 7.14088
171000 7.20926
172000 7.26754
173000 7.28492
174000 7.32262
175000 7.38305
176000 7.43244
177000 7.49117
178000 7.49585
179000 7.48346
180000 7.47895
181000 7.5639
182000 7.61165
183000 7.63586
