# Time-averaged data for fix avgcoord
# TimeStep c_ac50 c_ac75 c_ac100 c_ac125
1000 0 0 0.76 2.356
2000 0 0 0.782 2.534
3000 0 0 0.782 2.666
4000 0 0 0.854 2.79
5000 0 0 0.9 2.922
6000 0 0 0.886 2.996
7000 0 0 1.014 3.064
8000 0 0 1.044 3.096
9000 0 0 1.012 3.138
10000 0 0 1 3.188
11000 0 0 1.016 3.252
12000 0 0 1.104 3.29
13000 0 0 0.974 3.326
14000 0 0 1.034 3.344
15000 0 0 1.09 3.376
16000 0 0 1.05 3.394
17000 0 0 1.068 3.422
18000 0 0 1.102 3.45
19000 0 0 1.062 3.474
20000 0 0 1.136 3.516
21000 0 0 1.156 3.516
22000 0 0 1.18 3.522
23000 0 0 1.174 3.546
24000 0 0 1.21 3.558
25000 0 0 1.258 3.586
26000 0 0 1.224 3.606
27000 0 0 1.174 3.62
28000 0 0 1.232 3.632
29000 0 0 1.3 3.658
30000 0 0 1.26 3.678
31000 0 0 1.304 3.692
32000 0 0 1.238 3.724
33000 0 0 1.258 3.718
34000 0 0 1.224 3.732
35000 0 0 1.324 3.748
36000 0 0 1.302 3.74
37000 0 0 1.334 3.752
38000 0 0 1.22 3.746
39000 0 0 1.256 3.752
40000 0 0 1.306 3.764
41000 0 0 1.27 3.774
42000 0 0 1.362 3.776
43000 0 0 1.252 3.782
44000 0 0 1.29 3.792
45000 0 0 1.332 3.794
46000 0 0 1.384 3.79
47000 0 0 1.338 3.79
48000 0 0 1.314 3.8
49000 0 0 1.336 3.806
50000 0 0 1.34 3.81
51000 0 0 1.352 3.824
52000 0 0 1.302 3.812
53000 0 0 1.328 3.814
54000 0 0 1.376 3.83
55000 0 0 1.342 3.842
56000 0 0 1.338 3.834
57000 0 0 1.41 3.83
58000 0 0 1.31 3.83
59000 0 0 1.316 3.838
60000 0 0 1.338 3.84
61000 0 0 1.364 3.86
62000 0 0 1.392 3.86
63000 0 0 1.396 3.868
64000 0 0 1.376 3.872
65000 0 0 1.382 3.882
66000 0 0 1.36 3.876
67000 0 0 1.37 3.878
68000 0 0 1.342 3.878
69000 0 0 1.328 3.882
70000 0 0 1.428 3.88
71000 0 0 1.392 3.89
72000 0 0 1.372 3.886
73000 0 0 1.378 3.9
74000 0 0 1.364 3.908
75000 0 0 1.4 3.904
76000 0 0 1.352 3.914
77000 0 0 1.354 3.912
78000 0 0 1.398 3.906
79000 0 0 1.362 3.912
80000 0 0 1.302 3.922
81000 0 0 1.364 3.914
82000 0 0 1.402 3.908
83000 0 0 1.338 3.916
84000 0 0 1.336 3.92
85000 0 0 1.366 3.916
86000 0 0 1.354 3.92
87000 0 0 1.31 3.926
88000 0 0 1.342 3.92
89000 0 0 1.372 3.926
90000 0 0 1.398 3.948
91000 0 0 1.436 3.946
92000 0 0 1.38 3.956
93000 0 0 1.432 3.946
94000 0 0 1.352 3.934
95000 0 0 1.41 3.944
96000 0 0 1.326 3.954
97000 0 0 1.482 3.946
98000 0 0 1.418 3.938
99000 0 0 1.36 3.934
100000 0 0 1.396 3.94
101000 0 0 1.38 3.932
102000 0 0 1.37 3.932
103000 0 0 1.364 3.934
104000 0 0 1.342 3.928
105000 0 0 1.416 3.932
106000 0 0 1.39 3.934
107000 0 0 1.442 3.932
108000 0 0 1.434 3.934
109000 0 0 1.33 3.944
110000 0 0 1.384 3.954
111000 0 0 1.414 3.952
112000 0 0 1.454 3.95
113000 0 0 1.394 3.948
114000 0 0 1.37 3.948
115000 0 0 1.436 3.938
116000 0 0 1.406 3.95
117000 0 0 1.436 3.958
118000 0 0 1.406 3.964
119000 0 0 1.462 3.96
120000 0 0 1.402 3.97
121000 0 0 1.398 3.976
122000 0 0 1.444 3.978
123000 0 0 1.47 3.986
124000 0 0 1.39 3.992
