# Time-averaged data for fix avgcoord
# TimeStep c_ac50 c_ac75 c_ac100 c_ac125
1000 0.236 0.742 1.746 3.32
2000 0.202 0.772 1.778 3.342
3000 0.21 0.726 1.676 3.256
4000 0.186 0.654 1.74 3.242
5000 0.254 0.712 1.69 3.304
6000 0.202 0.714 1.596 3.13
7000 0.196 0.718 1.632 3.252
8000 0.2 0.686 1.616 3.17
9000 0.192 0.686 1.642 3.25
10000 0.19 0.71 1.728 3.31
11000 0.206 0.676 1.702 3.306
12000 0.24 0.71 1.77 3.32
13000 0.224 0.766 1.692 3.288
14000 0.232 0.728 1.682 3.32
15000 0.212 0.708 1.746 3.352
16000 0.22 0.744 1.696 3.338
17000 0.23 0.722 1.648 3.282
18000 0.244 0.706 1.608 3.256
19000 0.186 0.686 1.608 3.16
20000 0.178 0.682 1.598 3.132
21000 0.162 0.672 1.672 3.232
22000 0.216 0.708 1.704 3.316
23000 0.24 0.712 1.722 3.336
24000 0.248 0.746 1.676 3.362
25000 0.204 0.738 1.698 3.302
26000 0.214 0.728 1.714 3.284
27000 0.204 0.712 1.784 3.408
28000 0.23 0.798 1.816 3.428
29000 0.208 0.714 1.716 3.372
30000 0.248 0.718 1.78 3.382
31000 0.19 0.676 1.686 3.254
32000 0.224 0.704 1.636 3.226
33000 0.234 0.71 1.64 3.176
34000 0.144 0.622 1.62 3.208
35000 0.186 0.666 1.668 3.26
36000 0.228 0.726 1.75 3.258
37000 0.216 0.644 1.552 3.144
38000 0.168 0.658 1.584 3.252
39000 0.21 0.74 1.71 3.346
40000 0.23 0.724 1.648 3.32
41000 0.202 0.696 1.626 3.322
42000 0.204 0.732 1.672 3.25
43000 0.202 0.726 1.744 3.398
44000 0.202 0.728 1.678 3.282
45000 0.222 0.736 1.73 3.392
46000 0.226 0.756 1.744 3.36
47000 0.208 0.758 1.708 3.354
48000 0.238 0.78 1.762 3.342
49000 0.206 0.714 1.654 3.272
50000 0.198 0.706 1.66 3.148
51000 0.232 0.692 1.674 3.348
52000 0.192 0.708 1.742 3.354
53000 0.234 0.698 1.738 3.422
54000 0.198 0.728 1.724 3.312
55000 0.206 0.734 1.676 3.266
56000 0.234 0.726 1.702 3.292
57000 0.242 0.748 1.714 3.324
58000 0.206 0.692 1.622 3.268
59000 0.19 0.678 1.584 3.082
60000 0.174 0.668 1.59 3.168
61000 0.172 0.656 1.64 3.306
62000 0.204 0.742 1.704 3.264
63000 0.186 0.722 1.576 3.17
64000 0.17 0.674 1.624 3.222
65000 0.216 0.732 1.716 3.418
66000 0.192 0.678 1.722 3.356
67000 0.246 0.726 1.722 3.334
68000 0.202 0.71 1.674 3.248
69000 0.194 0.752 1.714 3.348
70000 0.236 0.732 1.724 3.398
71000 0.214 0.704 1.66 3.252
72000 0.226 0.696 1.604 3.134
73000 0.186 0.68 1.596 3.236
74000 0.2 0.674 1.648 3.25
75000 0.212 0.712 1.756 3.38
76000 0.24 0.708 1.692 3.336
77000 0.234 0.758 1.706 3.34
78000 0.24 0.704 1.718 3.384
79000 0.244 0.736 1.67 3.318
80000 0.184 0.67 1.598 3.212
81000 0.202 0.712 1.718 3.336
82000 0.224 0.688 1.702 3.392
83000 0.188 0.72 1.758 3.496
84000 0.204 0.726 1.728 3.26
85000 0.19 0.68 1.722 3.284
86000 0.184 0.664 1.674 3.308
87000 0.202 0.642 1.596 3.206
88000 0.164 0.63 1.57 3.168
89000 0.214 0.682 1.632 3.244
90000 0.202 0.718 1.7 3.328
91000 0.26 0.738 1.704 3.358
92000 0.246 0.73 1.714 3.292
93000 0.206 0.688 1.662 3.35
94000 0.224 0.8 1.816 3.398
95000 0.248 0.786 1.752 3.264
96000 0.24 0.728 1.694 3.232
97000 0.226 0.712 1.644 3.306
98000 0.206 0.768 1.684 3.262
99000 0.246 0.762 1.718 3.306
100000 0.224 0.738 1.708 3.306
101000 0.252 0.792 1.694 3.39
102000 0.234 0.742 1.66 3.288
103000 0.198 0.71 1.658 3.322
104000 0.194 0.712 1.674 3.26
105000 0.186 0.694 1.68 3.25
106000 0.182 0.656 1.658 3.328
107000 0.204 0.726 1.712 3.26
108000 0.204 0.704 1.772 3.388
109000 0.188 0.676 1.71 3.306
110000 0.218 0.71 1.636 3.178
111000 0.212 0.696 1.614 3.314
112000 0.19 0.692 1.694 3.406
113000 0.19 0.68 1.772 3.376
114000 0.238 0.758 1.768 3.428
115000 0.234 0.776 1.804 3.388
116000 0.184 0.678 1.66 3.286
117000 0.226 0.706 1.646 3.236
118000 0.214 0.752 1.7 3.27
119000 0.224 0.736 1.698 3.312
120000 0.232 0.742 1.726 3.318
121000 0.214 0.672 1.66 3.206
122000 0.212 0.672 1.64 3.182
