# Time-averaged data for fix com
# TimeStep c_com[1] c_com[2] c_com[3]
1000 5.36959 5.42097 5.40401
2000 5.36959 5.42097 5.40401
3000 5.36959 5.42097 5.40401
4000 5.36959 5.42097 5.40401
5000 5.36959 5.42097 5.40401
6000 5.36959 5.42097 5.40401
7000 5.36959 5.42097 5.40401
8000 5.36959 5.42097 5.40401
9000 5.36959 5.42097 5.40401
10000 5.36959 5.42097 5.40401
11000 5.36959 5.42097 5.40401
12000 5.36959 5.42097 5.40401
13000 5.36959 5.42097 5.40401
14000 5.36959 5.42097 5.40401
15000 5.36959 5.42097 5.40401
16000 5.36959 5.42097 5.40401
17000 5.36959 5.42097 5.40401
18000 5.36959 5.42097 5.40401
19000 5.36959 5.42097 5.40401
20000 5.36959 5.42097 5.40401
21000 5.36959 5.42097 5.40401
22000 5.36959 5.42097 5.40401
23000 5.36959 5.42097 5.40401
24000 5.36959 5.42097 5.40401
25000 5.36959 5.42097 5.40401
26000 5.36959 5.42097 5.40401
27000 5.36959 5.42097 5.40401
28000 5.36959 5.42097 5.40401
29000 5.36959 5.42097 5.40401
30000 5.36959 5.42097 5.40401
31000 5.36959 5.42097 5.40401
32000 5.36959 5.42097 5.40401
33000 5.36959 5.42097 5.40401
34000 5.36959 5.42097 5.40401
35000 5.36959 5.42097 5.40401
36000 5.36959 5.42097 5.40401
37000 5.36959 5.42097 5.40401
38000 5.36959 5.42097 5.40401
39000 5.36959 5.42097 5.40401
40000 5.36959 5.42097 5.40401
41000 5.36959 5.42097 5.40401
42000 5.36959 5.42097 5.40401
43000 5.36959 5.42097 5.40401
44000 5.36959 5.42097 5.40401
45000 5.36959 5.42097 5.40401
46000 5.36959 5.42097 5.40401
47000 5.36959 5.42097 5.40401
48000 5.36959 5.42097 5.40401
49000 5.36959 5.42097 5.40401
50000 5.36959 5.42097 5.40401
51000 5.36959 5.42097 5.40401
52000 5.36959 5.42097 5.40401
53000 5.36959 5.42097 5.40401
54000 5.36959 5.42097 5.40401
55000 5.36959 5.42097 5.40401
56000 5.36959 5.42097 5.40401
57000 5.36959 5.42097 5.40401
58000 5.36959 5.42097 5.40401
59000 5.36959 5.42097 5.40401
60000 5.36959 5.42097 5.40401
61000 5.36959 5.42097 5.40401
62000 5.36959 5.42097 5.40401
63000 5.36959 5.42097 5.40401
64000 5.36959 5.42097 5.40401
65000 5.36959 5.42097 5.40401
66000 5.36959 5.42097 5.40401
67000 5.36959 5.42097 5.40401
68000 5.36959 5.42097 5.40401
69000 5.36959 5.42097 5.40401
70000 5.36959 5.42097 5.40401
71000 5.36959 5.42097 5.40401
72000 5.36959 5.42097 5.40401
73000 5.36959 5.42097 5.40401
74000 5.36959 5.42097 5.40401
75000 5.36959 5.42097 5.40401
76000 5.36959 5.42097 5.40401
77000 5.36959 5.42097 5.40401
78000 5.36959 5.42097 5.40401
79000 5.36959 5.42097 5.40401
80000 5.36959 5.42097 5.40401
81000 5.36959 5.42097 5.40401
82000 5.36959 5.42097 5.40401
83000 5.36959 5.42097 5.40401
84000 5.36959 5.42097 5.40401
85000 5.36959 5.42097 5.40401
86000 5.36959 5.42097 5.40401
87000 5.36959 5.42097 5.40401
88000 5.36959 5.42097 5.40401
89000 5.36959 5.42097 5.40401
90000 5.36959 5.42097 5.40401
91000 5.36959 5.42097 5.40401
92000 5.36959 5.42097 5.40401
93000 5.36959 5.42097 5.40401
94000 5.36959 5.42097 5.40401
95000 5.36959 5.42097 5.40401
96000 5.36959 5.42097 5.40401
97000 5.36959 5.42097 5.40401
98000 5.36959 5.42097 5.40401
99000 5.36959 5.42097 5.40401
100000 5.36959 5.42097 5.40401
101000 5.36959 5.42097 5.40401
102000 5.36959 5.42097 5.40401
103000 5.36959 5.42097 5.40401
