# Time-averaged data for fix avgcoord
# TimeStep c_ac1 c_ac2
1000 0.215 0.635
2000 0.3 0.872
3000 0.299 0.971
4000 0.333 1.029
5000 0.324 1.08
6000 0.312 1.114
7000 0.303 1.083
8000 0.303 1.049
9000 0.31 1.044
10000 0.297 1.061
11000 0.316 1.036
12000 0.292 1.048
13000 0.286 1
14000 0.318 0.986
15000 0.301 1.019
16000 0.276 0.932
17000 0.271 0.891
18000 0.27 0.942
19000 0.284 0.924
20000 0.298 0.992
21000 0.238 0.962
22000 0.31 0.904
23000 0.258 0.888
24000 0.254 0.854
25000 0.268 0.872
26000 0.233 0.777
27000 0.246 0.88
28000 0.231 0.837
29000 0.262 0.778
30000 0.258 0.864
31000 0.265 0.871
32000 0.237 0.839
33000 0.247 0.835
34000 0.24 0.784
35000 0.264 0.784
36000 0.239 0.725
37000 0.217 0.681
38000 0.226 0.724
39000 0.199 0.721
40000 0.228 0.76
41000 0.228 0.736
42000 0.242 0.728
43000 0.238 0.748
44000 0.223 0.685
45000 0.214 0.698
46000 0.235 0.671
47000 0.21 0.682
48000 0.241 0.679
49000 0.221 0.745
50000 0.225 0.689
51000 0.212 0.662
52000 0.205 0.657
53000 0.212 0.61
54000 0.184 0.592
55000 0.208 0.614
56000 0.197 0.575
57000 0.187 0.557
58000 0.214 0.594
59000 0.197 0.597
60000 0.213 0.579
61000 0.184 0.55
62000 0.185 0.573
63000 0.202 0.592
64000 0.179 0.563
65000 0.193 0.581
66000 0.176 0.558
67000 0.17 0.54
68000 0.176 0.544
69000 0.188 0.64
70000 0.189 0.555
71000 0.159 0.487
72000 0.191 0.501
73000 0.171 0.513
74000 0.159 0.475
75000 0.152 0.504
76000 0.162 0.53
77000 0.151 0.427
78000 0.148 0.438
79000 0.171 0.493
80000 0.167 0.509
81000 0.155 0.473
82000 0.16 0.488
83000 0.154 0.444
84000 0.176 0.49
85000 0.149 0.487
86000 0.162 0.436
87000 0.143 0.453
88000 0.131 0.433
89000 0.155 0.467
90000 0.161 0.489
91000 0.153 0.487
92000 0.155 0.423
93000 0.146 0.486
94000 0.135 0.409
95000 0.151 0.469
96000 0.142 0.428
97000 0.134 0.464
98000 0.149 0.437
99000 0.148 0.432
100000 0.149 0.383
101000 0.134 0.474
102000 0.155 0.429
103000 0.141 0.429
104000 0.155 0.451
105000 0.151 0.415
106000 0.139 0.427
107000 0.144 0.442
108000 0.14 0.446
109000 0.132 0.378
110000 0.138 0.422
111000 0.154 0.446
112000 0.151 0.413
113000 0.129 0.455
114000 0.137 0.445
115000 0.148 0.418
116000 0.125 0.415
117000 0.123 0.417
118000 0.15 0.482
119000 0.145 0.387
120000 0.125 0.355
121000 0.147 0.447
122000 0.124 0.398
123000 0.131 0.419
124000 0.131 0.399
125000 0.131 0.429
126000 0.12 0.382
127000 0.135 0.375
128000 0.16 0.384
129000 0.139 0.391
130000 0.144 0.4
131000 0.14 0.442
132000 0.139 0.407
133000 0.147 0.401
134000 0.127 0.391
135000 0.123 0.377
136000 0.118 0.402
137000 0.136 0.388
138000 0.14 0.372
139000 0.144 0.4
140000 0.148 0.456
141000 0.117 0.367
142000 0.139 0.379
143000 0.143 0.429
144000 0.154 0.358
145000 0.131 0.449
146000 0.145 0.385
147000 0.126 0.428
148000 0.115 0.373
149000 0.144 0.402
150000 0.141 0.409
151000 0.129 0.419
152000 0.134 0.394
153000 0.12 0.368
154000 0.129 0.395
155000 0.146 0.386
156000 0.128 0.376
157000 0.139 0.385
158000 0.129 0.407
159000 0.145 0.387
160000 0.13 0.374
161000 0.135 0.407
162000 0.133 0.437
163000 0.126 0.382
164000 0.145 0.421
165000 0.142 0.4
166000 0.126 0.418
167000 0.132 0.422
168000 0.143 0.401
169000 0.143 0.407
170000 0.124 0.41
171000 0.129 0.425
172000 0.114 0.382
173000 0.121 0.391
174000 0.148 0.378
175000 0.154 0.38
176000 0.151 0.421
177000 0.126 0.412
178000 0.106 0.368
179000 0.136 0.366
180000 0.109 0.409
181000 0.132 0.398
182000 0.136 0.44
183000 0.149 0.417
184000 0.142 0.436
185000 0.11 0.366
186000 0.144 0.382
187000 0.135 0.391
188000 0.147 0.389
189000 0.124 0.396
190000 0.14 0.382
191000 0.148 0.406
192000 0.126 0.4
193000 0.132 0.438
194000 0.122 0.396
195000 0.141 0.387
196000 0.121 0.405
197000 0.118 0.382
198000 0.129 0.409
199000 0.113 0.385
200000 0.115 0.401
201000 0.13 0.398
202000 0.133 0.365
203000 0.157 0.415
204000 0.129 0.463
205000 0.132 0.454
206000 0.143 0.415
207000 0.145 0.431
208000 0.136 0.424
209000 0.153 0.403
210000 0.138 0.438
211000 0.162 0.45
212000 0.152 0.396
213000 0.149 0.419
214000 0.135 0.421
215000 0.144 0.448
216000 0.138 0.408
217000 0.153 0.441
218000 0.151 0.445
219000 0.13 0.436
220000 0.148 0.422
221000 0.128 0.364
222000 0.148 0.404
223000 0.138 0.374
224000 0.148 0.444
225000 0.125 0.431
226000 0.155 0.409
227000 0.121 0.365
228000 0.128 0.446
229000 0.15 0.376
230000 0.125 0.393
231000 0.125 0.429
232000 0.13 0.446
233000 0.15 0.428
234000 0.155 0.441
235000 0.153 0.431
236000 0.13 0.374
237000 0.143 0.421
238000 0.128 0.408
239000 0.158 0.404
240000 0.15 0.386
241000 0.132 0.392
242000 0.141 0.427
243000 0.163 0.435
244000 0.141 0.415
245000 0.121 0.429
246000 0.142 0.424
247000 0.131 0.431
248000 0.136 0.394
249000 0.158 0.444
250000 0.141 0.451
251000 0.132 0.426
252000 0.132 0.416
253000 0.114 0.392
254000 0.128 0.402
255000 0.141 0.429
256000 0.134 0.412
257000 0.169 0.455
258000 0.147 0.431
259000 0.164 0.452
260000 0.152 0.44
261000 0.151 0.435
262000 0.147 0.463
263000 0.164 0.44
264000 0.134 0.406
265000 0.15 0.48
266000 0.158 0.45
267000 0.165 0.487
268000 0.15 0.45
269000 0.165 0.451
270000 0.15 0.448
271000 0.141 0.441
