# Time-averaged data for fix com
# TimeStep c_com[1] c_com[2] c_com[3]
1000 5.20074 5.11741 5.42784
2000 5.20074 5.11741 5.42784
3000 5.20074 5.11741 5.42784
4000 5.20074 5.11741 5.42784
5000 5.20074 5.11741 5.42784
6000 5.20074 5.11741 5.42784
7000 5.20074 5.11741 5.42784
8000 5.20074 5.11741 5.42784
9000 5.20074 5.11741 5.42784
10000 5.20074 5.11741 5.42784
11000 5.20074 5.11741 5.42784
12000 5.20074 5.11741 5.42784
13000 5.20074 5.11741 5.42784
14000 5.20074 5.11741 5.42784
15000 5.20074 5.11741 5.42784
16000 5.20074 5.11741 5.42784
17000 5.20074 5.11741 5.42784
18000 5.20074 5.11741 5.42784
19000 5.20074 5.11741 5.42784
20000 5.20074 5.11741 5.42784
21000 5.20074 5.11741 5.42784
22000 5.20074 5.11741 5.42784
23000 5.20074 5.11741 5.42784
24000 5.20074 5.11741 5.42784
25000 5.20074 5.11741 5.42784
26000 5.20074 5.11741 5.42784
27000 5.20074 5.11741 5.42784
28000 5.20074 5.11741 5.42784
29000 5.20074 5.11741 5.42784
30000 5.20074 5.11741 5.42784
31000 5.20074 5.11741 5.42784
32000 5.20074 5.11741 5.42784
33000 5.20074 5.11741 5.42784
34000 5.20074 5.11741 5.42784
35000 5.20074 5.11741 5.42784
36000 5.20074 5.11741 5.42784
37000 5.20074 5.11741 5.42784
38000 5.20074 5.11741 5.42784
39000 5.20074 5.11741 5.42784
40000 5.20074 5.11741 5.42784
41000 5.20074 5.11741 5.42784
42000 5.20074 5.11741 5.42784
43000 5.20074 5.11741 5.42784
44000 5.20074 5.11741 5.42784
45000 5.20074 5.11741 5.42784
46000 5.20074 5.11741 5.42784
47000 5.20074 5.11741 5.42784
48000 5.20074 5.11741 5.42784
49000 5.20074 5.11741 5.42784
50000 5.20074 5.11741 5.42784
51000 5.20074 5.11741 5.42784
52000 5.20074 5.11741 5.42784
53000 5.20074 5.11741 5.42784
54000 5.20074 5.11741 5.42784
55000 5.20074 5.11741 5.42784
56000 5.20074 5.11741 5.42784
57000 5.20074 5.11741 5.42784
58000 5.20074 5.11741 5.42784
59000 5.20074 5.11741 5.42784
60000 5.20074 5.11741 5.42784
61000 5.20074 5.11741 5.42784
62000 5.20074 5.11741 5.42784
63000 5.20074 5.11741 5.42784
64000 5.20074 5.11741 5.42784
65000 5.20074 5.11741 5.42784
66000 5.20074 5.11741 5.42784
67000 5.20074 5.11741 5.42784
68000 5.20074 5.11741 5.42784
69000 5.20074 5.11741 5.42784
70000 5.20074 5.11741 5.42784
71000 5.20074 5.11741 5.42784
72000 5.20074 5.11741 5.42784
73000 5.20074 5.11741 5.42784
74000 5.20074 5.11741 5.42784
75000 5.20074 5.11741 5.42784
76000 5.20074 5.11741 5.42784
77000 5.20074 5.11741 5.42784
78000 5.20074 5.11741 5.42784
79000 5.20074 5.11741 5.42784
80000 5.20074 5.11741 5.42784
81000 5.20074 5.11741 5.42784
82000 5.20074 5.11741 5.42784
83000 5.20074 5.11741 5.42784
84000 5.20074 5.11741 5.42784
85000 5.20074 5.11741 5.42784
86000 5.20074 5.11741 5.42784
87000 5.20074 5.11741 5.42784
88000 5.20074 5.11741 5.42784
89000 5.20074 5.11741 5.42784
90000 5.20074 5.11741 5.42784
91000 5.20074 5.11741 5.42784
92000 5.20074 5.11741 5.42784
93000 5.20074 5.11741 5.42784
94000 5.20074 5.11741 5.42784
95000 5.20074 5.11741 5.42784
96000 5.20074 5.11741 5.42784
97000 5.20074 5.11741 5.42784
98000 5.20074 5.11741 5.42784
99000 5.20074 5.11741 5.42784
100000 5.20074 5.11741 5.42784
101000 5.20074 5.11741 5.42784
102000 5.20074 5.11741 5.42784
103000 5.20074 5.11741 5.42784
104000 5.20074 5.11741 5.42784
105000 5.20074 5.11741 5.42784
106000 5.20074 5.11741 5.42784
107000 5.20074 5.11741 5.42784
108000 5.20074 5.11741 5.42784
109000 5.20074 5.11741 5.42784
110000 5.20074 5.11741 5.42784
111000 5.20074 5.11741 5.42784
112000 5.20074 5.11741 5.42784
113000 5.20074 5.11741 5.42784
114000 5.20074 5.11741 5.42784
115000 5.20074 5.11741 5.42784
116000 5.20074 5.11741 5.42784
117000 5.20074 5.11741 5.42784
118000 5.20074 5.11741 5.42784
119000 5.20074 5.11741 5.42784
120000 5.20074 5.11741 5.42784
121000 5.20074 5.11741 5.42784
122000 5.20074 5.11741 5.42784
123000 5.20074 5.11741 5.42784
124000 5.20074 5.11741 5.42784
125000 5.20074 5.11741 5.42784
126000 5.20074 5.11741 5.42784
127000 5.20074 5.11741 5.42784
128000 5.20074 5.11741 5.42784
129000 5.20074 5.11741 5.42784
130000 5.20074 5.11741 5.42784
131000 5.20074 5.11741 5.42784
132000 5.20074 5.11741 5.42784
133000 5.20074 5.11741 5.42784
134000 5.20074 5.11741 5.42784
135000 5.20074 5.11741 5.42784
136000 5.20074 5.11741 5.42784
137000 5.20074 5.11741 5.42784
138000 5.20074 5.11741 5.42784
139000 5.20074 5.11741 5.42784
140000 5.20074 5.11741 5.42784
141000 5.20074 5.11741 5.42784
142000 5.20074 5.11741 5.42784
143000 5.20074 5.11741 5.42784
144000 5.20074 5.11741 5.42784
145000 5.20074 5.11741 5.42784
146000 5.20074 5.11741 5.42784
147000 5.20074 5.11741 5.42784
148000 5.20074 5.11741 5.42784
149000 5.20074 5.11741 5.42784
150000 5.20074 5.11741 5.42784
151000 5.20074 5.11741 5.42784
152000 5.20074 5.11741 5.42784
153000 5.20074 5.11741 5.42784
154000 5.20074 5.11741 5.42784
155000 5.20074 5.11741 5.42784
156000 5.20074 5.11741 5.42784
157000 5.20074 5.11741 5.42784
158000 5.20074 5.11741 5.42784
159000 5.20074 5.11741 5.42784
160000 5.20074 5.11741 5.42784
161000 5.20074 5.11741 5.42784
162000 5.20074 5.11741 5.42784
163000 5.20074 5.11741 5.42784
164000 5.20074 5.11741 5.42784
165000 5.20074 5.11741 5.42784
166000 5.20074 5.11741 5.42784
167000 5.20074 5.11741 5.42784
168000 5.20074 5.11741 5.42784
169000 5.20074 5.11741 5.42784
170000 5.20074 5.11741 5.42784
171000 5.20074 5.11741 5.42784
172000 5.20074 5.11741 5.42784
173000 5.20074 5.11741 5.42784
174000 5.20074 5.11741 5.42784
175000 5.20074 5.11741 5.42784
176000 5.20074 5.11741 5.42784
177000 5.20074 5.11741 5.42784
178000 5.20074 5.11741 5.42784
179000 5.20074 5.11741 5.42784
180000 5.20074 5.11741 5.42784
181000 5.20074 5.11741 5.42784
182000 5.20074 5.11741 5.42784
183000 5.20074 5.11741 5.42784
184000 5.20074 5.11741 5.42784
185000 5.20074 5.11741 5.42784
186000 5.20074 5.11741 5.42784
187000 5.20074 5.11741 5.42784
188000 5.20074 5.11741 5.42784
189000 5.20074 5.11741 5.42784
190000 5.20074 5.11741 5.42784
191000 5.20074 5.11741 5.42784
192000 5.20074 5.11741 5.42784
193000 5.20074 5.11741 5.42784
194000 5.20074 5.11741 5.42784
195000 5.20074 5.11741 5.42784
196000 5.20074 5.11741 5.42784
197000 5.20074 5.11741 5.42784
198000 5.20074 5.11741 5.42784
199000 5.20074 5.11741 5.42784
200000 5.20074 5.11741 5.42784
201000 5.20074 5.11741 5.42784
202000 5.20074 5.11741 5.42784
203000 5.20074 5.11741 5.42784
204000 5.20074 5.11741 5.42784
205000 5.20074 5.11741 5.42784
206000 5.20074 5.11741 5.42784
207000 5.20074 5.11741 5.42784
208000 5.20074 5.11741 5.42784
209000 5.20074 5.11741 5.42784
210000 5.20074 5.11741 5.42784
211000 5.20074 5.11741 5.42784
212000 5.20074 5.11741 5.42784
213000 5.20074 5.11741 5.42784
214000 5.20074 5.11741 5.42784
215000 5.20074 5.11741 5.42784
216000 5.20074 5.11741 5.42784
217000 5.20074 5.11741 5.42784
218000 5.20074 5.11741 5.42784
219000 5.20074 5.11741 5.42784
220000 5.20074 5.11741 5.42784
221000 5.20074 5.11741 5.42784
222000 5.20074 5.11741 5.42784
223000 5.20074 5.11741 5.42784
224000 5.20074 5.11741 5.42784
225000 5.20074 5.11741 5.42784
226000 5.20074 5.11741 5.42784
227000 5.20074 5.11741 5.42784
228000 5.20074 5.11741 5.42784
229000 5.20074 5.11741 5.42784
230000 5.20074 5.11741 5.42784
231000 5.20074 5.11741 5.42784
232000 5.20074 5.11741 5.42784
233000 5.20074 5.11741 5.42784
234000 5.20074 5.11741 5.42784
235000 5.20074 5.11741 5.42784
236000 5.20074 5.11741 5.42784
237000 5.20074 5.11741 5.42784
238000 5.20074 5.11741 5.42784
239000 5.20074 5.11741 5.42784
240000 5.20074 5.11741 5.42784
241000 5.20074 5.11741 5.42784
242000 5.20074 5.11741 5.42784
243000 5.20074 5.11741 5.42784
244000 5.20074 5.11741 5.42784
245000 5.20074 5.11741 5.42784
246000 5.20074 5.11741 5.42784
247000 5.20074 5.11741 5.42784
248000 5.20074 5.11741 5.42784
249000 5.20074 5.11741 5.42784
250000 5.20074 5.11741 5.42784
251000 5.20074 5.11741 5.42784
252000 5.20074 5.11741 5.42784
253000 5.20074 5.11741 5.42784
254000 5.20074 5.11741 5.42784
255000 5.20074 5.11741 5.42784
256000 5.20074 5.11741 5.42784
257000 5.20074 5.11741 5.42784
258000 5.20074 5.11741 5.42784
259000 5.20074 5.11741 5.42784
260000 5.20074 5.11741 5.42784
261000 5.20074 5.11741 5.42784
262000 5.20074 5.11741 5.42784
263000 5.20074 5.11741 5.42784
264000 5.20074 5.11741 5.42784
265000 5.20074 5.11741 5.42784
266000 5.20074 5.11741 5.42784
267000 5.20074 5.11741 5.42784
268000 5.20074 5.11741 5.42784
269000 5.20074 5.11741 5.42784
270000 5.20074 5.11741 5.42784
271000 5.20074 5.11741 5.42784
272000 5.20074 5.11741 5.42784
273000 5.20074 5.11741 5.42784
274000 5.20074 5.11741 5.42784
275000 5.20074 5.11741 5.42784
276000 5.20074 5.11741 5.42784
277000 5.20074 5.11741 5.42784
278000 5.20074 5.11741 5.42784
279000 5.20074 5.11741 5.42784
280000 5.20074 5.11741 5.42784
281000 5.20074 5.11741 5.42784
282000 5.20074 5.11741 5.42784
283000 5.20074 5.11741 5.42784
284000 5.20074 5.11741 5.42784
