time,fx,fy,fz
10000.0,-14.7934,9.86211,5.95994
20000.0,45.315,4.14032,24.1091
30000.0,-18.1848,-51.2779,30.3356
40000.0,136.332,-34.1038,-110.826
50000.0,-32.1112,-12.9895,5.59431
60000.0,-35.7464,-139.846,-71.1754
70000.0,-8.33425,-179.836,26.9349
80000.0,128.43,-145.007,56.3296
90000.0,81.1563,-0.729865,112.0
100000.0,109.963,-54.9455,90.8079
110000.0,23.6426,37.0881,-33.7736
120000.0,-11.2851,2.59676,12.1228
130000.0,-87.1793,20.0354,44.6848
140000.0,188.418,-14.9167,-51.6944
150000.0,-51.0148,-87.3151,56.9877
160000.0,93.0818,-86.2376,-91.2013
170000.0,142.59,-95.4733,-85.5466
180000.0,185.352,-227.711,-188.027
190000.0,-211.309,-41.4718,-29.6382
200000.0,-52.7838,-59.1297,44.2456
210000.0,91.5383,47.3074,-182.941
220000.0,-20.2315,-71.8215,-171.869
230000.0,-36.8016,-13.2305,7.29528
240000.0,30.4635,52.8344,88.6207
250000.0,-8.54406,283.202,214.39
260000.0,42.4779,-84.9594,-16.9981
270000.0,129.38,24.568,-26.143
280000.0,-41.0875,49.5568,-27.9861
290000.0,-109.804,90.072,-15.159
300000.0,-16.4229,28.1129,-17.2968
310000.0,69.6419,12.1225,-196.433
320000.0,124.654,-60.1389,45.7548
330000.0,-22.9199,65.3839,25.0801
340000.0,46.8864,-16.6485,-24.6616
350000.0,2.72152,-30.7786,83.4129
360000.0,6.1454,0.130408,109.107
370000.0,-28.9317,-20.2663,75.423
380000.0,132.409,-155.36,65.0439
390000.0,16.7163,4.72296,24.8072
400000.0,33.5647,-105.417,-86.2072
410000.0,-53.4857,-5.32035,-68.5282
420000.0,-28.2489,-92.6287,-12.6758
430000.0,-2.35571,-162.861,-131.606
440000.0,63.9852,17.4752,-30.3467
450000.0,105.902,-3.37119,96.5674
460000.0,-30.3612,98.4252,66.0595
470000.0,1.47918,51.4688,49.0913
480000.0,25.1978,-27.4584,128.386
490000.0,-125.297,-29.7328,31.0867
500000.0,29.5917,23.8146,11.6702
510000.0,137.169,9.14983,-75.6041
520000.0,7.93078,43.1874,50.1802
530000.0,2.29313,-144.351,-65.9003
540000.0,55.7134,27.6281,-37.94
550000.0,10.2122,5.52758,-145.702
560000.0,-92.7816,61.7938,20.2091
570000.0,63.9751,-44.6015,-7.47354
580000.0,-5.50698,-0.576053,-0.91434
590000.0,13.1106,39.9108,35.1522
600000.0,-98.9812,8.66393,-48.7508
610000.0,55.0109,-83.9916,-39.1435
620000.0,-70.0056,-31.4411,-211.358
630000.0,62.004,-8.80687,50.4125
640000.0,10.4075,208.874,-112.244
650000.0,21.7856,-75.1496,-85.7832
660000.0,-17.7584,19.3624,-29.1237
670000.0,10.0307,109.292,-42.2216
680000.0,-73.4499,-45.8236,-62.8804
690000.0,-142.585,-46.4631,-14.1776
700000.0,20.5264,62.7757,250.602
710000.0,-238.825,-86.5054,10.5919
720000.0,29.2271,105.686,46.1314
730000.0,-72.0899,135.654,2.04252
740000.0,-130.236,72.9996,71.6404
750000.0,-24.4617,-45.9408,12.7927
760000.0,114.086,172.322,-56.7493
770000.0,51.2769,-128.937,-92.4607
780000.0,10.9018,-142.638,21.1072
790000.0,0.799515,-19.8336,-3.67414
800000.0,4.79003,-51.5622,-88.7624
810000.0,89.0679,-11.5886,-29.5993
820000.0,-139.197,61.5941,192.309
830000.0,-2.24511,-59.2658,-10.0421
840000.0,-112.452,50.426,-27.1585
850000.0,-2.26264,-28.6144,56.9824
860000.0,-94.6989,7.6928,-6.40118
870000.0,-12.0927,3.18465,-112.329
880000.0,14.5183,29.1836,-18.4701
890000.0,154.994,-12.0542,114.13
900000.0,-268.557,56.0668,-102.266
910000.0,-54.4853,42.5885,-63.7168
920000.0,78.8894,70.508,-97.9287
930000.0,-107.294,94.8854,-60.9777
940000.0,-54.5107,2.30723,19.377
950000.0,101.481,43.4832,-97.2397
960000.0,284.329,-33.6223,42.492
970000.0,57.5975,98.4902,-68.2671
980000.0,-47.7573,-46.7834,-85.2438
990000.0,-77.3826,35.1004,52.761
1000000.0,-61.8037,-202.1,-17.2721
