# Time-averaged data for fix msd
# TimeStep c_msd[4]
1000 0.524785
2000 2.35484
3000 5.06218
4000 8.80658
5000 12.9509
6000 16.8722
7000 21.3859
8000 26.4775
9000 31.7408
10000 36.5865
11000 41.41
12000 47.2283
13000 53.2027
14000 58.5921
15000 64.4485
16000 69.6528
17000 75.042
18000 81.5734
19000 90.1661
20000 98.6303
21000 106.821
22000 113.972
23000 121.908
24000 128.894
25000 138.009
26000 146.034
27000 152.66
28000 160.086
29000 168.301
30000 176.58
31000 184.321
32000 193.679
33000 200.151
34000 208.653
35000 220.779
36000 231.53
37000 239.894
38000 249.32
39000 259.572
40000 269.886
41000 281.501
42000 291.818
43000 305.488
44000 318.119
45000 329.108
46000 342.287
47000 350.855
48000 362.952
49000 375.122
50000 391.385
51000 404.149
52000 418.113
53000 437.439
54000 455.987
55000 467.921
56000 484.106
57000 502.169
58000 512.325
59000 529.799
60000 554.752
61000 570.188
62000 583.15
63000 605.067
64000 621.164
65000 640.258
66000 668.488
67000 684.145
68000 694.967
69000 709.112
70000 726.626
71000 748.727
72000 777.974
73000 801.535
74000 818.257
75000 840.808
76000 856.567
77000 881.075
78000 903.273
79000 920.52
80000 941.736
81000 966.576
82000 1005.25
83000 1040.54
84000 1066.32
85000 1100.93
86000 1140.97
87000 1170.46
88000 1200.7
89000 1234.28
90000 1270.3
91000 1304.86
92000 1330.15
93000 1363.5
94000 1398.92
95000 1446.11
96000 1466.24
97000 1508
98000 1527.64
99000 1574.84
100000 1610.74
101000 1634.4
102000 1671.73
103000 1709.16
104000 1759.86
105000 1803.6
106000 1854.37
107000 1901.6
108000 1958.24
109000 1983.64
110000 2030.44
111000 2065.13
112000 2102.47
113000 2152.52
114000 2190.53
115000 2236.08
116000 2298.89
117000 2348.46
118000 2416.39
119000 2471.04
120000 2523.32
121000 2594.84
122000 2681.83
123000 2760.33
124000 2861.21
125000 2951.57
126000 2997.99
127000 3071.65
128000 3131.37
129000 3216.2
130000 3288.58
131000 3373.17
132000 3471.13
133000 3559.79
134000 3628.6
135000 3731.06
136000 3840.14
137000 3926.1
138000 4013.27
139000 4039.79
140000 4117.11
141000 4197.22
142000 4280.55
143000 4428.49
144000 4596.91
145000 4693.99
146000 4795.74
147000 4906.14
148000 5016.89
149000 5141.45
150000 5265.97
151000 5377.46
152000 5442.7
153000 5559.93
154000 5660.12
155000 5817.28
156000 5886.53
157000 5979.95
158000 6072.57
159000 6229.14
160000 6383.49
161000 6442.23
162000 6601.06
163000 6676.58
164000 6858.43
165000 7019.81
166000 7182.79
167000 7392.19
168000 7577.24
169000 7707.01
170000 7896.55
171000 7938.76
172000 8087.85
173000 8257.05
174000 8382.24
175000 8524.79
176000 8724.85
177000 8882.26
178000 9150.39
179000 9420.06
180000 9616.3
181000 9824.97
182000 10070.6
183000 10220.6
184000 10421.3
185000 10645.7
186000 10743.8
187000 10876.9
188000 11195.9
189000 11447.8
190000 11719.8
191000 12023.3
192000 12233.3
193000 12582.9
194000 12792.5
195000 13000.4
196000 13194.3
197000 13282.2
198000 13539.8
199000 13681.9
200000 14106.5
201000 14386
202000 14644.4
203000 14785.8
204000 15061.2
205000 15365.8
206000 15563.7
207000 15773.2
208000 16051.7
209000 16399.3
210000 16774.8
211000 17010.9
212000 17371.3
213000 17761.6
214000 18139.2
215000 18460.8
216000 18677.5
217000 19036.3
218000 19466.7
219000 19817
220000 20198
221000 20524.1
222000 20832.7
223000 21052.5
224000 21501.6
225000 21884.8
226000 22302.3
227000 22761.9
228000 23135.3
229000 23585
230000 23937
231000 24349.3
232000 24890.2
233000 25209.7
234000 25617.2
235000 26027.5
236000 26548.7
237000 27031.3
238000 27507.6
239000 28018.7
240000 28387.4
241000 28901.8
242000 29341.8
243000 29799.1
244000 30455.2
245000 30772.6
246000 31344.7
247000 31778.2
248000 32432.8
249000 32720.9
250000 33090.9
251000 33682.1
252000 34293.5
253000 34704.1
254000 35233.7
255000 35452.6
256000 36085.3
257000 36410.2
258000 37149.5
259000 37930.2
260000 38671.8
261000 39128.9
262000 39554.2
263000 40217.4
264000 40915.1
265000 41221.5
266000 41981.7
267000 42744.9
268000 43511.2
269000 44303.5
270000 45364.5
271000 46115.1
272000 47205.2
273000 48216.7
274000 49089
275000 49750.9
276000 50197.5
277000 50916.5
278000 51855.4
279000 52527.5
280000 53102.7
281000 53839.8
282000 54472.5
283000 55048.7
284000 55957.6
285000 56825.3
286000 57610.5
287000 58417.2
288000 59852.7
289000 60884
290000 62132.1
291000 63323.8
292000 64331.9
293000 65439.7
294000 66087
295000 66760.3
296000 67731.2
297000 68669.6
298000 69671.8
299000 70727.4
300000 71792.7
301000 72562.5
302000 73875.3
303000 75239.8
304000 76230.8
305000 77034
306000 77951
307000 79960.5
308000 81018.8
309000 81929.9
310000 83396.4
311000 84495.5
312000 85917.7
313000 86658.7
314000 87190.2
315000 87694.1
316000 88853.6
317000 89948.8
318000 91020.6
319000 91932.4
320000 93698.2
321000 95408.9
322000 97061.5
323000 98512.3
324000 100563
325000 101855
326000 103774
327000 105465
328000 106442
329000 107605
330000 109073
331000 109778
332000 110918
333000 111864
334000 113389
335000 115030
336000 116702
337000 118253
338000 119985
339000 122308
340000 124276
341000 126698
342000 128391
343000 130084
344000 132383
345000 134596
346000 137126
347000 139181
348000 141636
349000 143519
350000 145810
351000 147664
352000 150145
353000 152138
354000 154830
355000 157103
356000 158677
357000 160533
358000 163152
359000 165953
360000 167682
361000 169875
362000 172249
363000 174553
364000 176140
365000 177917
366000 180694
367000 182303
368000 184905
369000 186508
370000 187659
371000 189688
372000 191710
373000 193842
374000 195969
375000 198295
