# Time-averaged data for fix avgcoord
# TimeStep c_ac50 c_ac75 c_ac100 c_ac125
1000 0 0 1.858 8.118
2000 0 0 1.946 8.264
3000 0 0 1.918 8.356
4000 0 0 2.066 8.402
5000 0 0 2.122 8.446
6000 0 0 2.05 8.506
7000 0 0 2.098 8.48
8000 0 0 2.084 8.506
9000 0 0 2.056 8.628
10000 0 0 2.146 8.602
11000 0 0 2.088 8.574
12000 0 0 2.08 8.632
13000 0 0 2.178 8.632
14000 0 0 2.172 8.634
15000 0 0 2.128 8.628
16000 0 0 2.074 8.662
17000 0 0 2.166 8.694
18000 0 0 2.152 8.692
19000 0 0 2.096 8.728
20000 0 0 2.2 8.702
21000 0 0 2.17 8.736
22000 0 0 2.19 8.68
23000 0 0 2.27 8.688
24000 0 0 2.144 8.69
25000 0 0 2.056 8.716
26000 0 0 2.136 8.692
27000 0 0 2.166 8.694
28000 0 0 2.152 8.712
29000 0 0 2.186 8.752
30000 0 0 2.118 8.774
31000 0 0 2.206 8.732
32000 0 0 2.186 8.772
33000 0 0 2.152 8.746
34000 0 0 2.196 8.76
35000 0 0 2.138 8.746
36000 0 0 2.092 8.754
37000 0 0 2.166 8.738
38000 0 0 2.12 8.744
39000 0 0 2.134 8.738
40000 0 0 2.134 8.738
41000 0 0 2.156 8.746
42000 0 0 2.154 8.74
43000 0 0 2.172 8.758
44000 0 0 2.148 8.77
45000 0 0 2.19 8.758
46000 0 0 2.162 8.772
47000 0 0 2.23 8.754
48000 0 0 2.172 8.772
49000 0 0 2.11 8.794
50000 0 0 2.202 8.776
51000 0 0 2.168 8.784
52000 0 0 2.274 8.798
53000 0 0 2.194 8.786
54000 0 0 2.258 8.77
55000 0 0 2.106 8.78
56000 0 0 2.2 8.78
57000 0 0 2.186 8.788
58000 0 0 2.28 8.786
59000 0 0 2.238 8.8
60000 0 0 2.238 8.802
61000 0 0 2.154 8.78
62000 0 0 2.22 8.802
63000 0 0 2.134 8.83
64000 0 0 2.246 8.798
65000 0 0 2.284 8.784
66000 0 0 2.24 8.794
67000 0 0 2.222 8.804
68000 0 0 2.236 8.828
69000 0 0 2.276 8.8
70000 0 0 2.352 8.836
71000 0 0 2.346 8.82
72000 0 0 2.272 8.802
73000 0 0 2.132 8.828
74000 0 0 2.228 8.834
75000 0 0 2.286 8.818
76000 0 0 2.308 8.816
77000 0 0 2.286 8.808
78000 0 0 2.132 8.84
79000 0 0 2.182 8.842
80000 0 0 2.38 8.828
81000 0 0 2.29 8.824
82000 0 0 2.208 8.844
83000 0 0 2.244 8.826
84000 0 0 2.282 8.842
85000 0 0 2.322 8.83
86000 0 0 2.166 8.84
87000 0 0 2.232 8.83
88000 0 0 2.362 8.844
89000 0 0 2.302 8.834
90000 0 0 2.27 8.848
91000 0 0 2.264 8.828
92000 0 0 2.264 8.864
93000 0 0 2.31 8.848
94000 0 0 2.338 8.842
95000 0 0 2.274 8.874
96000 0 0 2.308 8.874
97000 0 0 2.352 8.87
98000 0 0 2.284 8.852
99000 0 0 2.304 8.856
100000 0 0 2.294 8.83
101000 0 0 2.278 8.854
102000 0 0 2.316 8.87
103000 0 0 2.378 8.85
104000 0 0 2.284 8.878
105000 0 0 2.276 8.872
106000 0 0 2.276 8.864
107000 0 0 2.312 8.878
108000 0 0 2.226 8.866
109000 0 0 2.3 8.872
110000 0 0 2.126 8.858
111000 0 0 2.292 8.852
112000 0 0 2.304 8.862
113000 0 0 2.37 8.86
114000 0 0 2.328 8.89
115000 0 0 2.266 8.872
116000 0 0 2.25 8.854
117000 0 0 2.262 8.866
118000 0 0 2.292 8.862
119000 0 0 2.318 8.882
120000 0 0 2.252 8.896
121000 0 0 2.286 8.898
122000 0 0 2.278 8.886
123000 0 0 2.256 8.886
124000 0 0 2.264 8.878
125000 0 0 2.212 8.846
126000 0 0 2.284 8.87
127000 0 0 2.238 8.878
128000 0 0 2.35 8.872
129000 0 0 2.242 8.884
130000 0 0 2.304 8.87
131000 0 0 2.278 8.868
132000 0 0 2.23 8.886
133000 0 0 2.172 8.88
134000 0 0 2.256 8.874
135000 0 0 2.248 8.896
136000 0 0 2.204 8.9
137000 0 0 2.252 8.91
138000 0 0 2.33 8.872
139000 0 0 2.256 8.892
140000 0 0 2.268 8.914
141000 0 0 2.314 8.892
142000 0 0 2.234 8.91
143000 0 0 2.288 8.894
144000 0 0 2.216 8.896
145000 0 0 2.268 8.882
146000 0 0 2.206 8.898
147000 0 0 2.242 8.928
148000 0 0 2.256 8.934
149000 0 0 2.234 8.908
150000 0 0 2.202 8.924
151000 0 0 2.312 8.894
152000 0 0 2.176 8.932
153000 0 0 2.208 8.916
154000 0 0 2.246 8.908
155000 0 0 2.25 8.902
156000 0 0 2.222 8.92
157000 0 0 2.24 8.918
158000 0 0 2.166 8.942
159000 0 0 2.23 8.928
160000 0 0 2.274 8.93
161000 0 0 2.314 8.908
162000 0 0 2.232 8.92
163000 0 0 2.28 8.938
164000 0 0 2.238 8.928
165000 0 0 2.272 8.892
166000 0 0 2.326 8.914
167000 0 0 2.2 8.928
168000 0 0 2.254 8.91
169000 0 0 2.208 8.92
170000 0 0 2.24 8.892
171000 0 0 2.296 8.906
172000 0 0 2.226 8.918
173000 0 0 2.32 8.932
174000 0 0 2.322 8.916
175000 0 0 2.302 8.896
176000 0 0 2.358 8.912
177000 0 0 2.252 8.912
178000 0 0 2.334 8.916
179000 0 0 2.21 8.934
180000 0 0 2.254 8.934
181000 0 0 2.324 8.902
182000 0 0 2.332 8.91
183000 0 0 2.276 8.92
184000 0 0 2.318 8.916
185000 0 0 2.342 8.886
186000 0 0 2.222 8.91
187000 0 0 2.252 8.906
188000 0 0 2.27 8.888
189000 0 0 2.3 8.912
190000 0 0 2.308 8.928
191000 0 0 2.226 8.926
192000 0 0 2.19 8.906
193000 0 0 2.344 8.916
194000 0 0 2.228 8.924
195000 0 0 2.3 8.906
196000 0 0 2.254 8.906
197000 0 0 2.258 8.924
198000 0 0 2.22 8.964
199000 0 0 2.252 8.954
200000 0 0 2.31 8.946
201000 0 0 2.25 8.89
202000 0 0 2.234 8.952
203000 0 0 2.284 8.944
204000 0 0 2.298 8.93
205000 0 0 2.298 8.948
206000 0 0 2.306 8.934
207000 0 0 2.084 8.94
208000 0 0 2.332 8.946
209000 0 0 2.292 8.904
210000 0 0 2.25 8.918
211000 0 0 2.196 8.934
