# Time-averaged data for fix avgcoord
# TimeStep c_ac1 c_ac2
1000 0.35 1.348
2000 0.397 1.577
3000 0.39 1.604
4000 0.392 1.642
5000 0.427 1.711
6000 0.431 1.737
7000 0.424 1.738
8000 0.39 1.76
9000 0.418 1.826
10000 0.442 1.864
11000 0.413 1.855
12000 0.422 1.916
13000 0.416 1.904
14000 0.435 1.943
15000 0.419 1.941
16000 0.443 1.981
17000 0.41 1.896
18000 0.424 1.904
19000 0.442 1.962
20000 0.436 2.02
21000 0.43 1.982
22000 0.432 1.948
23000 0.437 1.993
24000 0.443 1.991
25000 0.456 1.998
26000 0.441 1.959
27000 0.447 2.043
28000 0.47 2.006
29000 0.461 2.083
30000 0.48 2.058
31000 0.474 1.938
32000 0.462 2.022
33000 0.438 1.93
34000 0.452 1.982
35000 0.444 2.018
36000 0.463 2.001
37000 0.442 2.056
38000 0.445 1.989
39000 0.447 2.117
40000 0.443 1.975
41000 0.477 1.945
42000 0.45 2.01
43000 0.465 2.085
44000 0.447 1.959
45000 0.467 2.097
46000 0.435 1.993
47000 0.468 1.996
48000 0.443 1.977
49000 0.447 2.041
50000 0.465 2.077
51000 0.477 2.029
52000 0.457 1.989
53000 0.44 1.96
54000 0.429 2.005
55000 0.446 2.048
56000 0.49 2.06
57000 0.446 1.99
58000 0.448 2.082
59000 0.428 2.082
60000 0.439 2.085
61000 0.427 2.031
62000 0.497 2.075
63000 0.439 2.035
64000 0.438 2.018
65000 0.457 2.033
66000 0.457 2.087
67000 0.435 1.995
68000 0.501 2.099
69000 0.452 2.048
70000 0.48 2.088
71000 0.453 2.009
72000 0.429 2.041
73000 0.451 2.091
74000 0.406 1.96
75000 0.433 2.145
76000 0.447 2.009
77000 0.443 2.063
78000 0.442 2.102
79000 0.423 2.067
80000 0.433 2.081
81000 0.461 2.047
82000 0.465 2.141
83000 0.42 2.052
84000 0.44 2.09
85000 0.452 2.032
86000 0.488 2.128
87000 0.435 1.983
88000 0.454 2.142
89000 0.457 2.053
90000 0.467 2.069
91000 0.465 2.113
